
[00:00:00.000 --> 00:00:01.800]  丁師妹平安
[00:00:01.800 --> 00:00:05.380]  我們很快就來到
[00:00:05.380 --> 00:00:08.760]  離嬉米基地五港
[00:00:08.760 --> 00:00:11.760]  我想首先問大家一個問題
[00:00:11.760 --> 00:00:17.420]  你有沒有曾經按著感動
[00:00:17.420 --> 00:00:20.340]  去做一些合乎神心意的事
[00:00:20.340 --> 00:00:23.100]  或者是經常感動你要做的事
[00:00:23.100 --> 00:00:24.660]  但是被人潑冷水的
[00:00:24.660 --> 00:00:26.180]  有沒有啊
[00:00:26.180 --> 00:00:27.860]  有沒有啊
[00:00:29.400 --> 00:00:32.400]  有啊 當然有啦
[00:00:32.400 --> 00:00:34.640]  不止一次啦 很多次啦
[00:00:34.640 --> 00:00:37.880]  被人潑冷水 做一些你覺得是好的
[00:00:37.880 --> 00:00:39.120]  神感動你要做
[00:00:39.120 --> 00:00:43.240]  很簡單啦 就說「返教會」啦 這麼簡單
[00:00:43.240 --> 00:00:46.640]  你有沒有聽過人跟你說 這麼有空返教會
[00:00:46.640 --> 00:00:49.400]  不如多找一份兼職比較好
[00:00:49.400 --> 00:00:53.620]  賺多些錢比較好 生活艱難嘛
[00:00:53.620 --> 00:00:56.600]  或者你拿錢返教會奉獻的時候
[00:00:56.600 --> 00:00:57.600]  有沒有聽過
[00:00:58.140 --> 00:00:59.840]  拿那麼多錢返教會
[00:00:59.840 --> 00:01:02.300]  不如留下來旅行比較好
[00:01:02.300 --> 00:01:04.920]  世界這麼大 這麼多好的地方我們沒去過
[00:01:04.920 --> 00:01:06.440]  會不會啊
[00:01:06.440 --> 00:01:10.180]  又或者你傳福音給一個人
[00:01:10.180 --> 00:01:11.680]  傳了很久
[00:01:11.680 --> 00:01:15.500]  有人跟你說 你還跟他傳福音
[00:01:15.500 --> 00:01:18.920]  浪費唇舌 他這輩子都不會相信的
[00:01:18.920 --> 00:01:22.440]  是不是啊 你有沒有試過這樣的經歷
[00:01:22.440 --> 00:01:25.240]  我們知道我們是做一些神感動
[00:01:25.240 --> 00:01:28.320]  我們覺得是好的東西 是合神心意的時候
[00:01:28.320 --> 00:01:31.480]  但是呢 會被人潑冷水
[00:01:31.480 --> 00:01:33.320]  我們做的事呢
[00:01:33.320 --> 00:01:36.440]  很多時會遇到一些障礙
[00:01:36.440 --> 00:01:37.440]  遇到一些障礙
[00:01:37.440 --> 00:01:41.680]  好像尼西米
[00:01:41.680 --> 00:01:44.120]  我們那些事小 尼西米呢
[00:01:44.120 --> 00:01:47.120]  這樣去完成一個這麼大的任務
[00:01:47.120 --> 00:01:50.140]  這麼大的工程的時候 障礙更加是在所難免
[00:01:50.140 --> 00:01:53.220]  因為呢 我們知道
[00:01:53.320 --> 00:01:56.320]  那惡者
[00:01:56.320 --> 00:01:59.300]  那惡者一定不喜歡見到我們成功
[00:01:59.300 --> 00:02:02.840]  不想見到神的事情 是得以成就的
[00:02:02.840 --> 00:02:04.700]  我們要謹記這件事
[00:02:04.700 --> 00:02:08.200]  我第一兩個星期前呢 看到尼西米
[00:02:08.200 --> 00:02:12.400]  他在巡視過耶路撒冷的
[00:02:12.400 --> 00:02:15.520]  城牆的警況之後呢
[00:02:15.520 --> 00:02:18.820]  他就跟那些猶太人說
[00:02:18.820 --> 00:02:21.900]  讓我們重建耶路撒冷的城牆
[00:02:21.900 --> 00:02:23.980]  免得再受凌辱
[00:02:23.980 --> 00:02:27.860]  他就告訴那些猶太人
[00:02:27.860 --> 00:02:30.860]  神的手怎樣幫助他
[00:02:30.860 --> 00:02:33.700]  幫助他為他開路
[00:02:33.700 --> 00:02:36.700]  那時的猶太人的反應是很熱烈的
[00:02:36.700 --> 00:02:39.700]  他們說什麼呢
[00:02:39.700 --> 00:02:42.640]  我們起來建造吧 他們的反應全部都是這樣
[00:02:42.640 --> 00:02:43.640]  我們起來建造吧
[00:02:43.640 --> 00:02:46.860]  於是呢 二章十八節
[00:02:46.860 --> 00:02:49.860]  他們使自己的手堅強
[00:02:49.860 --> 00:02:52.880]  做著美好的工作
[00:02:52.880 --> 00:02:53.880]  他們都認為美好的
[00:02:53.880 --> 00:02:56.420]  這是神的心意 你說你起來建造吧
[00:02:56.420 --> 00:03:01.180]  但是呢
[00:03:01.180 --> 00:03:04.580]  他們還沒開始動工呢
[00:03:04.580 --> 00:03:07.980]  就已經遇到障礙了 二章十九節那裡
