
[00:00:00.000 --> 00:00:06.000]  各位頂枝妹 各位來賓 早晨
[00:00:06.000 --> 00:00:10.000]  很開心今天能夠有機會和大家分享上帝的說話
[00:00:10.000 --> 00:00:15.000]  在聆聽之前 我們一起低頭祈禱
[00:00:15.000 --> 00:00:22.000]  先祝我們多謝你 因為是你所賜予的機會
[00:00:22.000 --> 00:00:26.000]  讓我們今天能夠聚集在你的殿裏面去敬拜
[00:00:26.000 --> 00:00:30.000]  聖靈時刻與我們同在 現在更加與我們同在
[00:00:30.000 --> 00:00:32.000]  開我們的眼睛 開我們的耳朵
[00:00:32.000 --> 00:00:35.000]  讓我們能夠明白你話語中的奧秘
[00:00:35.000 --> 00:00:38.000]  願聽的和說的都同蒙你的月
[00:00:38.000 --> 00:00:42.000]  祈禱奉主耶穌基督的命求 阿們
[00:00:42.000 --> 00:00:47.000]  這個星期我們為了牛頭角的火災
[00:00:47.000 --> 00:00:50.000]  我相信很多人都很沉重 很悲痛
[00:00:50.000 --> 00:00:53.000]  因為特別是有兩位很英勇的消防員
[00:00:53.000 --> 00:00:56.000]  在行動之中殉職
[00:00:56.000 --> 00:01:00.000]  也有十幾位消防員受傷 正在醫院留醫
[00:01:00.000 --> 00:01:03.000]  他們的專業 他們的盡責 他們的捨己精神
[00:01:03.000 --> 00:01:06.000]  實在令我們敬佩
[00:01:06.000 --> 00:01:10.000]  我相信每一位消防員加入這個行列的時候
[00:01:10.000 --> 00:01:15.000]  他們都清楚知道工作的危險性
[00:01:15.000 --> 00:01:17.000]  他們願意投身這個行業
[00:01:17.000 --> 00:01:20.000]  相信都有一個共同的使命
[00:01:20.000 --> 00:01:22.000]  就是服務市民
[00:01:22.000 --> 00:01:25.000]  亦都保障市民的生命和財產
[00:01:25.000 --> 00:01:28.000]  其實不同的行業 他們都有不同的人
[00:01:28.000 --> 00:01:31.000]  在當中去履行不同的使命
[00:01:31.000 --> 00:01:33.000]  就好像做老師的
[00:01:33.000 --> 00:01:37.000]  他們的使命就是傳道 授業 解惑
[00:01:37.000 --> 00:01:40.000]  亦都值得我們的敬佩
[00:01:40.000 --> 00:01:43.000]  使命有些人稱之為理想
[00:01:43.000 --> 00:01:44.000]  我不知道大家有沒有聽過
[00:01:44.000 --> 00:01:46.000]  有一個影星曾經說
[00:01:46.000 --> 00:01:49.000]  人如果沒有理想
[00:01:49.000 --> 00:01:53.000]  下面那句是甚麼
[00:01:53.000 --> 00:01:56.000]  跟鹹魚沒甚麼分別
[00:01:56.000 --> 00:01:58.000]  每個人都需要理想
[00:01:58.000 --> 00:02:00.000]  而且理想是無界限
[00:02:00.000 --> 00:02:03.000]  不應該只不過是年青人的專利
[00:02:03.000 --> 00:02:08.000]  其實不同年齡的人都可以成就理想
[00:02:08.000 --> 00:02:09.000]  我相信大家都聽過
[00:02:09.000 --> 00:02:13.000]  愚公移山這個故事
[00:02:13.000 --> 00:02:14.000]  聽過吧
[00:02:14.000 --> 00:02:18.000]  我之前沒有去詳細找資料的時候
[00:02:18.000 --> 00:02:20.000]  我真的以為這個人太蠢了
[00:02:20.000 --> 00:02:22.000]  所以別人稱他為愚公
[00:02:22.000 --> 00:02:24.000]  原來不是
[00:02:24.000 --> 00:02:26.000]  因為這個人的年紀比較大
[00:02:26.000 --> 00:02:28.000]  所以專稱他為公
[00:02:28.000 --> 00:02:31.000]  而他的名字真的叫做愚
[00:02:31.000 --> 00:02:34.000]  他快九十歲了
[00:02:34.000 --> 00:02:37.000]  他家門口有兩座很大很大的山
[00:02:37.000 --> 00:02:39.000]  於是他每次出城的時候
[00:02:39.000 --> 00:02:43.000]  都必然要繞一個很大很遠的路
[00:02:43.000 --> 00:02:45.000]  非常之不方便
[00:02:45.000 --> 00:02:48.000]  因為愚公接受了他的家人一起商議
[00:02:48.000 --> 00:02:50.000]  怎麼辦呢
[00:02:50.000 --> 00:02:51.000]  愚公就說
[00:02:51.000 --> 00:02:52.000]  不如我們合力
[00:02:52.000 --> 00:02:54.000]  搬走前面這個大山
[00:02:54.000 --> 00:02:56.000]  開一條路
[00:02:56.000 --> 00:02:58.000]  直通省城
[00:02:58.000 --> 00:03:00.000]  以後不單方便我們
[00:03:00.000 --> 00:03:04.000]  也方便我們嘉義論社和我們的子子孫孫
[00:03:04.000 --> 00:03:07.000]  眾子孫一致贊成
[00:03:07.000 --> 00:03:09.000]  於是他們就開始開工了
[00:03:09.000 --> 00:03:11.000]  正當他們日以繼夜
[00:03:11.000 --> 00:03:13.000]  夜以繼夜在動工的時候
[00:03:13.000 --> 00:03:15.000]  那一輪又來
[00:03:15.000 --> 00:03:17.000]  當然有譏笑
[00:03:17.000 --> 00:03:18.000]  有嘲諷
[00:03:18.000 --> 00:03:20.000]  有一個更加早來說
[00:03:20.000 --> 00:03:22.000]  愚公啊愚公
[00:03:22.000 --> 00:03:25.000]  你敢不敢跪耕啊
[00:03:25.000 --> 00:03:27.000]  那山那麼大
[00:03:27.000 --> 00:03:29.000]  恐怕你死那一天
[00:03:29.000 --> 00:03:33.000]  都未能夠動得這個山的腳筋
[00:03:33.000 --> 00:03:35.000]  愚公聽了之後
[00:03:35.000 --> 00:03:37.000]  他不單不生氣
[00:03:37.000 --> 00:03:40.000]  他反而去教化這個鄉里
[00:03:40.000 --> 00:03:42.000]  你說得沒錯
[00:03:42.000 --> 00:03:44.000]  我都九十幾歲了
[00:03:44.000 --> 00:03:46.000]  今天都不知道明天的事了
[00:03:46.000 --> 00:03:49.000]  活得多一天都要感恩
[00:03:49.000 --> 00:03:51.000]  不過我死了之後
[00:03:51.000 --> 00:03:52.000]  我有我的兒子
[00:03:52.000 --> 00:03:54.000]  我的兒子也有他的兒子
[00:03:54.000 --> 00:03:56.000]  我孫生兒子
[00:03:56.000 --> 00:03:58.000]  兒子生孫子
[00:03:58.000 --> 00:04:01.000]  我們的子子孫孫不斷繁衍下去
[00:04:01.000 --> 00:04:03.000]  是無窮盡的
[00:04:03.000 --> 00:04:05.000]  不過你看眼前這兩個大山
[00:04:05.000 --> 00:04:07.000]  它沒有機會
