
[00:00:00.000 --> 00:00:02.520]  我今天繼續跟大家講父母節
[00:00:02.520 --> 00:00:04.120]  因為母親節嘛
[00:00:04.120 --> 00:00:05.920]  講父母啦
[00:00:05.920 --> 00:00:07.120]  其實子女也是
[00:00:07.120 --> 00:00:09.120]  父母和子女都是
[00:00:09.120 --> 00:00:11.080]  每個不同的
[00:00:11.080 --> 00:00:12.160]  你不要以為說
[00:00:12.160 --> 00:00:14.280]  都是那個媽生那個爸生
[00:00:14.280 --> 00:00:15.840]  這樣應該很像
[00:00:15.840 --> 00:00:18.000]  媽兒子媽女都會不同
[00:00:18.000 --> 00:00:20.800]  何況有先後次序,是不是?
[00:00:20.800 --> 00:00:23.840]  所以有時候我們不要一個模樣倒出來
[00:00:23.840 --> 00:00:24.720]  是這樣的了
[00:00:24.720 --> 00:00:26.360]  你一定要這樣的了
[00:00:26.360 --> 00:00:30.560]  我的家族就一定是要懂得彈琴的
[00:00:30.560 --> 00:00:32.560]  那吹蕭不可以嗎?
[00:00:32.560 --> 00:00:34.360]  一定要芭蕾舞的
[00:00:34.360 --> 00:00:36.560]  那他跳中國舞又不可以嗎?
[00:00:36.560 --> 00:00:38.280]  一定要長頭髮的
[00:00:38.280 --> 00:00:40.600]  那他真的喜歡短頭髮又不可以嗎?
[00:00:40.600 --> 00:00:45.160]  我們為什麼要去將神所創造的
[00:00:45.160 --> 00:00:47.560]  可能有牧師的廣告講到神所創造
[00:00:47.560 --> 00:00:49.960]  其實我很喜歡去看一件事
[00:00:49.960 --> 00:00:51.680]  究竟神怎麼做事的?
[00:00:51.680 --> 00:00:55.680]  神怎麼做事呢?
[00:00:56.760 --> 00:01:00.520]  其實聖經裡面我們看得到神怎麼做事,是不是?
[00:01:00.520 --> 00:01:03.320]  那些是很清晰的、很清楚的
[00:01:03.320 --> 00:01:04.440]  那些叫做
[00:01:04.440 --> 00:01:06.520]  Special Revelation
[00:01:06.520 --> 00:01:08.040]  特殊啟示
[00:01:08.040 --> 00:01:09.200]  神的啟示
[00:01:09.200 --> 00:01:10.360]  我們分開叫做
[00:01:10.360 --> 00:01:11.800]  特殊啟示
[00:01:11.800 --> 00:01:13.000]  Special Revelation
[00:01:13.000 --> 00:01:14.400]  和General Revelation
[00:01:14.400 --> 00:01:16.320]  General就是一般性的
[00:01:16.320 --> 00:01:18.960]  好像自然界就是一般性的啟示
[00:01:18.960 --> 00:01:22.120]  我們研究大自然
[00:01:22.120 --> 00:01:23.680]  研究植物
[00:01:23.680 --> 00:01:24.800]  動物
[00:01:24.800 --> 00:01:26.120]  微生物
[00:01:26.120 --> 00:01:30.120]  其實這些是一種可以能夠明白神的
[00:01:30.120 --> 00:01:35.920]  但是這些不是很清晰地告訴你的
[00:01:35.920 --> 00:01:38.440]  神很清晰地告訴我們什麼?
[00:01:38.440 --> 00:01:39.880]  是兩大類的
[00:01:39.880 --> 00:01:41.960]  第一樣就是神的話語
[00:01:41.960 --> 00:01:44.320]  是白紙黑字的
[00:01:44.320 --> 00:01:46.520]  很清晰地告訴我們
[00:01:46.520 --> 00:01:47.600]  什麼是對的、什麼是不對的
[00:01:47.600 --> 00:01:48.520]  什麼是神的心意
[00:01:48.520 --> 00:01:49.840]  什麼什麼什麼
[00:01:49.840 --> 00:01:51.080]  人是什麼來的
[00:01:51.080 --> 00:01:53.200]  為什麼神要創造人
[00:01:54.240 --> 00:01:56.520]  另外一個神的特殊啟示
[00:01:56.520 --> 00:01:58.200]  是很清晰的
[00:01:58.200 --> 00:02:00.720]  就是聖經裡面所記錄下來的
[00:02:00.720 --> 00:02:02.720]  耶穌基督神的兒子
[00:02:02.720 --> 00:02:04.640]  道成育身來到這個世界
[00:02:04.640 --> 00:02:06.720]  是彰顯神的榮耀
[00:02:06.720 --> 00:02:08.240]  彰顯神是哪一個
