
[00:00:00.000 --> 00:00:02.760]  神的兒子是永恆的道
[00:00:02.760 --> 00:00:04.720]  他爲了愛我們
[00:00:04.720 --> 00:00:06.200]  道成肉身
[00:00:06.200 --> 00:00:08.360]  爲我們捨己犧牲
[00:00:08.360 --> 00:00:10.880]  爲我們成就了舊恩
[00:00:10.880 --> 00:00:14.000]  使我們得到豐盛的生命
[00:00:14.000 --> 00:00:15.400]  和永恆的生命
[00:00:15.400 --> 00:00:17.480]  所以在約翰福音裏面
[00:00:17.480 --> 00:00:20.000]  見到神的愛顯明瞭
[00:00:20.000 --> 00:00:24.760]  讓我們在往後的一段時間
[00:00:24.760 --> 00:00:27.480]  藉着約翰福音的啓示
[00:00:27.600 --> 00:00:30.520]  讓我們全個教會在主的愛裏面
[00:00:30.520 --> 00:00:31.720]  能夠凝聚
[00:00:31.720 --> 00:00:33.080]  我們同心討好
[00:00:33.080 --> 00:00:36.200]  天父我們仰望你
[00:00:36.200 --> 00:00:40.520]  如果不是你這份捨己犧牲的愛
[00:00:40.520 --> 00:00:43.120]  你願意捨棄你的愛子
[00:00:43.120 --> 00:00:45.400]  爲了我們這羣不配的罪人
[00:00:45.400 --> 00:00:47.520]  成就了舊恩
[00:00:47.520 --> 00:00:49.720]  我們不會有生命
[00:00:49.720 --> 00:00:51.800]  我們不會有盼望
[00:00:51.800 --> 00:00:53.600]  多謝你
[00:00:53.600 --> 00:00:56.560]  求你藉着你的話語幫助我們
[00:00:56.840 --> 00:00:59.040]  過一個分別爲勝的生活
[00:00:59.040 --> 00:01:02.400]  讓我們的生命能夠永耀你
[00:01:02.400 --> 00:01:04.200]  能夠做舊恩
[00:01:04.200 --> 00:01:05.880]  仰望你
[00:01:05.880 --> 00:01:07.720]  奉耶穌基督的聖名
[00:01:07.720 --> 00:01:08.720]  阿們
[00:01:08.720 --> 00:01:11.280]  我想問一下在座
[00:01:11.280 --> 00:01:13.240]  有沒有人是很怕蟑螂的
[00:01:13.240 --> 00:01:15.760]  有沒有人見到蟑螂
[00:01:15.760 --> 00:01:18.320]  你的身體有些很異常的反應
[00:01:18.320 --> 00:01:24.920]  以下的圖片會令你不安的
[00:01:27.120 --> 00:01:30.680]  爲什麼會有這張圖片呢
[00:01:30.680 --> 00:01:31.560]  就是前幾天
[00:01:31.560 --> 00:01:33.360]  當我太太一出門後
[00:01:33.360 --> 00:01:34.720]  她在對面的牆上
[00:01:34.720 --> 00:01:37.280]  見到一隻很巨型的小強
[00:01:37.280 --> 00:01:40.280]  她害怕到她的背部
[00:01:40.280 --> 00:01:41.600]  就貼着對面的牆
[00:01:41.600 --> 00:01:44.360]  然後滲滲滲就滲出去
[00:01:44.360 --> 00:01:48.080]  她想和蟑螂保持儘量大的距離
[00:01:48.080 --> 00:01:50.560]  她一離開了案發現場
[00:01:50.560 --> 00:01:53.320]  就立刻打電話給工人
[00:01:53.320 --> 00:01:56.560]  請你去搞定蟑螂
[00:01:56.840 --> 00:01:58.960]  蟑螂當然是不能留下
[00:01:58.960 --> 00:02:02.160]  有時候我想想
[00:02:02.160 --> 00:02:04.240]  做蟑螂是多慘的
[00:02:04.240 --> 00:02:08.680]  他的生命是時刻都有危險
[00:02:08.680 --> 00:02:09.400]  有威脅
[00:02:09.400 --> 00:02:10.800]  你想象一下
[00:02:10.800 --> 00:02:11.560]  如果你是蟑螂
[00:02:11.560 --> 00:02:12.320]  喫完晚飯
[00:02:12.320 --> 00:02:13.720]  我出來散步而已
[00:02:13.720 --> 00:02:15.800]  可能隨時一鞋
[00:02:15.800 --> 00:02:18.520]  你就離開這個世界
[00:02:18.520 --> 00:02:19.600]  安息
[00:02:19.600 --> 00:02:20.640]  不是安息主派
[00:02:20.640 --> 00:02:22.200]  是離開這個世界
[00:02:22.200 --> 00:02:24.320]  所以蟑螂
[00:02:25.200 --> 00:02:28.200]  非常非常之危險
[00:02:28.200 --> 00:02:30.040]  他的生命受到威脅
[00:02:30.040 --> 00:02:32.280]  他有時候是朝不保夕
[00:02:32.280 --> 00:02:35.400]  如果你很同情蟑螂
[00:02:35.400 --> 00:02:38.600]  你覺得很想幫助他們
[00:02:38.600 --> 00:02:39.360]  告訴他們
[00:02:39.360 --> 00:02:40.760]  我愛你們
[00:02:40.760 --> 00:02:42.840]  如果你有一個法寶
[00:02:42.840 --> 00:02:44.400]  可以將你變成一隻蟑螂
[00:02:44.400 --> 00:02:46.640]  你願不願意變成蟑螂
[00:02:46.640 --> 00:02:47.680]  去告訴他們
[00:02:47.680 --> 00:02:48.800]  我很愛你們
[00:02:48.800 --> 00:02:50.720]  願意的舉手
[00:02:53.600 --> 00:02:55.560]  是很值得同情的
[00:02:55.560 --> 00:02:58.600]  爲什麼你不願意呢
[00:02:58.600 --> 00:03:00.560]  如果你變成蟑螂
[00:03:00.560 --> 00:03:02.800]  假設我變成蟑螂
[00:03:02.800 --> 00:03:04.400]  我旁邊的那隻
[00:03:04.400 --> 00:03:05.440]  我的同伴
[00:03:05.440 --> 00:03:07.480]  六尺高的
[00:03:07.480 --> 00:03:10.000]  兩隻眼睛燈籠這麼大
[00:03:10.000 --> 00:03:12.360]  竹樞四五尺長
[00:03:12.360 --> 00:03:15.680]  想起來也不是很舒服
[00:03:15.680 --> 00:03:17.000]  我看到有人
[00:03:17.000 --> 00:03:18.600]  也不敢看這幅圖
[00:03:18.600 --> 00:03:19.720]  忍耐多一會
[00:03:22.040 --> 00:03:24.760]  我們連看也不想看那麼久
[00:03:24.760 --> 00:03:26.320]  叫我變成蟑螂
[00:03:26.320 --> 00:03:27.920]  告訴他們我很愛你
[00:03:27.920 --> 00:03:29.160]  不好
[00:03:29.160 --> 00:03:31.080]  蟑螂很骯髒
[00:03:31.080 --> 00:03:33.080]  沒有人想做蟑螂
[00:03:33.080 --> 00:03:34.480]  你有沒有想過
