
[00:00:00.000 --> 00:00:05.000]  好,我們請打開聖經,在提摩太后書第一章第六節到第七節,
[00:00:05.000 --> 00:00:08.240]  提摩太后書第一章六節到第七節,
[00:00:08.240 --> 00:00:14.760]  保羅在這裡說:「為此我提醒你,使你將神借我暗手所給你的恩賜,
[00:00:14.760 --> 00:00:20.000]  在如火眺望起來,因為神賜給我們不是膽怯的心,
[00:00:20.000 --> 00:00:24.000]  乃是剛強仁愛謹守的心。」
[00:00:24.000 --> 00:00:26.000]  我們就讀到這裡。
[00:00:26.000 --> 00:00:30.500]  每年一過了暑假,就是一個重整旗鼓,
[00:00:30.500 --> 00:00:33.000]  重新出發的時刻。
[00:00:33.000 --> 00:00:35.500]  孩子們要重新上學了,
[00:00:35.500 --> 00:00:39.000]  家庭生活要重新被調整。
[00:00:39.000 --> 00:00:43.000]  暑假再美好也都不能夠停留,
[00:00:43.000 --> 00:00:49.000]  因為我們面對在前面是有一個新的季節擺在我們面前。
[00:00:49.000 --> 00:00:54.500]  我發現在我們屬靈生命成長的過程當中也是如此。
[00:00:54.500 --> 00:00:58.000]  你要知道在我們屬靈生命成長過程當中,
[00:00:58.000 --> 00:01:03.000]  最重要的事情不是我們過去的情景。
[00:01:03.000 --> 00:01:07.500]  無論我們的過去是好或是不好,
[00:01:07.500 --> 00:01:14.000]  事實上我們的過去常常是我們最大的陷阱,
[00:01:14.000 --> 00:01:18.500]  以至於我們無法繼續向前進。
[00:01:18.500 --> 00:01:21.500]  在整個屬靈成長的過程當中,
[00:01:21.500 --> 00:01:27.000]  最重要的事情是神現在在哪裡。
[00:01:27.000 --> 00:01:31.500]  我再次說,不是我們過去在哪裡,
[00:01:31.500 --> 00:01:36.000]  而是神現在在哪裡。
[00:01:36.000 --> 00:01:42.000]  不是你的過去,而是神的現在。
[00:01:42.000 --> 00:01:47.500]  我們永遠要跟上神現在的腳步,
[00:01:47.500 --> 00:01:52.000]  那麼你我的生命才可能繼續向前。
[00:01:52.000 --> 00:01:56.000]  你要知道跟隨神,我們常常說跟隨神,
[00:01:56.000 --> 00:01:59.000]  跟隨神是有一個秘訣的,
[00:01:59.000 --> 00:02:05.000]  那個秘訣就是你的眼目一定要定睛在神的身上。
[00:02:05.000 --> 00:02:08.000]  那麼當神往前走的時候,
[00:02:08.000 --> 00:02:11.000]  你的眼目一直定睛在神身上,
[00:02:11.000 --> 00:02:15.000]  你就自然而然跟著神向前走,
[00:02:15.000 --> 00:02:18.000]  你的生命就自然而然向前。
[00:02:18.000 --> 00:02:22.000]  當你回頭一看,不知不覺間,
[00:02:22.000 --> 00:02:24.500]  你已經跨了很大一步。
[00:02:24.500 --> 00:02:29.000]  可是如果說今天你的眼目不是定睛在神身上,
[00:02:29.000 --> 00:02:33.000]  你的眼目只是看見你過去的腳步,
[00:02:33.000 --> 00:02:37.000]  你就看見越看越艱難。
[00:02:37.000 --> 00:02:41.500]  你無論怎麼走,好像只是兜了一個圈子,
[00:02:41.500 --> 00:02:45.500]  你兜完一個圈子,你花了很長時間才發現,
[00:02:45.500 --> 00:02:51.500]  你只不過在原地踏步而已。
[00:02:51.500 --> 00:02:57.000]  跟隨神的秘訣就是定睛在神身上。
[00:02:57.000 --> 00:03:02.000]  神往前走,你就自然跟著神往前走。
