
[00:00:00.000 --> 00:00:02.580]  苦難中的忍耐
[00:00:02.580 --> 00:00:07.160]  剛才在和大家一起禱告的時候
[00:00:07.160 --> 00:00:12.580]  都聽到你們教會都有代言姐妹
[00:00:12.580 --> 00:00:15.500]  是健康有問題
[00:00:15.500 --> 00:00:18.460]  又或者是有確診
[00:00:18.460 --> 00:00:20.460]  咳得很厲害等等
[00:00:20.460 --> 00:00:25.520]  帶來都是相信一些挑戰的
[00:00:25.520 --> 00:00:29.160]  未必是去到苦難
[00:00:29.160 --> 00:00:32.100]  但是健康帶來挑戰
[00:00:32.100 --> 00:00:34.820]  人生有患病
[00:00:34.820 --> 00:00:37.440]  有遇到疫情等等
[00:00:37.440 --> 00:00:41.400]  這些都是不容易去應付的
[00:00:41.400 --> 00:00:48.780]  那我們怎樣去面對這些的處境呢?
[00:00:48.780 --> 00:00:51.520]  或者我開始的時候
[00:00:51.520 --> 00:00:55.800]  我首先就問大家一個問題
[00:00:55.800 --> 00:00:58.280]  人生遇到苦難
[00:00:58.280 --> 00:00:59.880]  或者是迫害
[00:00:59.880 --> 00:01:02.620]  是不是一件必然的事呢?
[00:01:02.620 --> 00:01:05.500]  相信這樣問的時候
[00:01:05.500 --> 00:01:10.940]  大家心裡都已經有一個答案的
[00:01:10.940 --> 00:01:16.680]  我相信沒有人能夠整個人生
[00:01:16.680 --> 00:01:20.460]  都是順順利利健健康康
[00:01:20.460 --> 00:01:24.300]  一些困難和挑戰都遇不到的
[00:01:25.800 --> 00:01:29.560]  或者我們先看兩段經文
[00:01:29.560 --> 00:01:35.680]  第一段經文記載在《馬太福音》的24章
[00:01:35.680 --> 00:01:37.680]  第9章和第10章
[00:01:37.680 --> 00:01:43.040]  那裏說「那時人要把你們陷在患難裏
[00:01:43.040 --> 00:01:45.040]  也要殺害你們
[00:01:45.040 --> 00:01:48.800]  你們又要為我的名被萬民恨惡
[00:01:48.800 --> 00:01:51.840]  那時必有許多人跌倒
[00:01:51.840 --> 00:01:56.580]  也要彼此陷害、彼此恨惡」
[00:01:56.580 --> 00:02:00.160]  原來在末世的時候
[00:02:00.160 --> 00:02:05.460]  這些事情必然是會發生的
[00:02:05.460 --> 00:02:09.460]  人是會陷在患難當中的
[00:02:09.460 --> 00:02:11.940]  很多人是會跌倒的
[00:02:11.940 --> 00:02:15.840]  也會彼此恨惡的
[00:02:15.840 --> 00:02:20.080]  所以遇到這些情況
[00:02:20.080 --> 00:02:23.080]  我們不要以為是稀奇
[00:02:23.080 --> 00:02:27.680]  因為這些是必然會發生的情況
[00:02:27.680 --> 00:02:30.880]  第二段經文想和大家看的
[00:02:30.880 --> 00:02:33.080]  就是《提摩太后書》的三章
[00:02:33.080 --> 00:02:35.580]  12和13節
[00:02:35.580 --> 00:02:37.580]  那裏就說「不但如此
[00:02:37.580 --> 00:02:41.780]  凡立志在基督耶穌裏競拳到日的
[00:02:41.780 --> 00:02:43.780]  也都要受逼迫
[00:02:43.780 --> 00:02:48.340]  只是作惡和迷惑人的必越久越惡
[00:02:48.340 --> 00:02:52.080]  他欺控人也被人欺控」
[00:02:52.080 --> 00:02:54.740]  原來不單止在末世
[00:02:54.740 --> 00:02:59.040]  我們會遇到苦難、遇到逼迫
[00:02:59.040 --> 00:03:02.880]  就算是一個基督徒
[00:03:02.880 --> 00:03:09.580]  他想立志在耶穌裏競拳到日
[00:03:09.580 --> 00:03:14.080]  原來經文和保羅告訴我們
[00:03:14.080 --> 00:03:16.760]  都是要受到逼迫的
[00:03:16.760 --> 00:03:20.220]  所以剛才我一開始問那個問題
[00:03:20.220 --> 00:03:25.720]  就不是人生會不會遇到苦難、逼迫
