
[00:00:00.000 --> 00:00:04.000]  今天宣講的題目是「俠而唯一」
[00:00:04.000 --> 00:00:06.000]  「俠而唯一」這個詞
[00:00:06.000 --> 00:00:11.000]  其實是我們待會選用經文的中文翻譯
[00:00:11.000 --> 00:00:13.000]  我們一般
[00:00:13.000 --> 00:00:18.000]  平時你很少用「俠而唯一」這個用詞
[00:00:18.000 --> 00:00:20.000]  但是你一般會用什麼?
[00:00:20.000 --> 00:00:21.000]  會「合一」
[00:00:21.000 --> 00:00:23.000]  我們通常會說「合一」
[00:00:23.000 --> 00:00:25.000]  但是如果你有興趣
[00:00:25.000 --> 00:00:28.000]  或者你可以拿一本電子聖經出來
[00:00:28.000 --> 00:00:31.000]  搜尋一下「合一」這個詞
[00:00:31.000 --> 00:00:36.000]  有沒有出現在和合本裡面呢?
[00:00:36.000 --> 00:00:38.000]  新約聖經是沒有出現過的
[00:00:38.000 --> 00:00:43.000]  所以新約聖經出現的都是「合而唯一」
[00:00:43.000 --> 00:00:46.000]  大部分的譯本都是用「合而唯一」
[00:00:46.000 --> 00:00:49.000]  小部分的譯本又用「合一」
[00:00:49.000 --> 00:00:53.000]  但是這兩個用詞有沒有分別?
[00:00:53.000 --> 00:00:55.000]  有分別
[00:00:55.000 --> 00:00:58.000]  不過不是我今天宣講的範圍
[00:00:58.000 --> 00:01:03.000]  所以今天「合而唯一」和「合一」這兩個字
[00:01:03.000 --> 00:01:05.000]  會交替出現
[00:01:05.000 --> 00:01:08.000]  它都是同樣在說從生而聚
[00:01:08.000 --> 00:01:13.000]  從分而合的過程和經歷
[00:01:13.000 --> 00:01:16.000]  為什麼我今天會說「合一」和「合而唯一」呢?
[00:01:16.000 --> 00:01:20.000]  是因為其實我在幾個月前收到題目的時候
[00:01:20.000 --> 00:01:24.000]  你知道我們收到港章安排的時候
[00:01:24.000 --> 00:01:26.000]  我們其實有一個系列的
[00:01:26.000 --> 00:01:27.000]  早前我們的系列是什麼?
[00:01:27.000 --> 00:01:29.000]  《扎根聖言》
[00:01:29.000 --> 00:01:32.000]  所以詩篇119篇
[00:01:32.000 --> 00:01:34.000]  我也是打算這樣讀下去的
[00:01:34.000 --> 00:01:36.000]  但是我收到安排的時候
[00:01:36.000 --> 00:01:38.000]  今天是自由題
[00:01:38.000 --> 00:01:42.000]  自由題就是說我可以在上帝面前等候
[00:01:42.000 --> 00:01:45.000]  然後選擇經文、選擇題目
[00:01:45.000 --> 00:01:47.000]  我也不用想
[00:01:47.000 --> 00:01:49.000]  其實一看日子
[00:01:49.000 --> 00:01:52.000]  你就知道這個日子是什麼日子?
[00:01:52.000 --> 00:01:55.000]  冬至
[00:01:55.000 --> 00:01:56.000]  二十一、二十二
[00:01:56.000 --> 00:01:58.000]  基本上是中國人冬至的日子
[00:01:58.000 --> 00:02:01.000]  所以我就由那時候開始想
[00:02:01.000 --> 00:02:06.000]  打算宣告一個家與團圓的故事
[00:02:06.000 --> 00:02:11.000]  所以在經文裡面去揀選
[00:02:11.000 --> 00:02:14.000]  但是到了幾個月前是這樣的決定
[00:02:14.000 --> 00:02:15.000]  來到今天
[00:02:15.000 --> 00:02:17.000]  回望今天教會的狀況
[00:02:17.000 --> 00:02:23.000]  我們其實發現原來有些事情、有些時間是非常巧合
[00:02:23.000 --> 00:02:24.000]  巧合的驚人
[00:02:24.000 --> 00:02:27.000]  上帝要向教會說話
[00:02:27.000 --> 00:02:31.000]  上帝勉勵弟兄姊妹要有所學習
[00:02:31.000 --> 00:02:34.000]  但願我們從《聖經》話語當中得著啟迪
[00:02:34.000 --> 00:02:35.000]  得著幫助
[00:02:35.000 --> 00:02:36.000]  得著提醒
[00:02:36.000 --> 00:02:38.000]  昨天是冬至
[00:02:38.000 --> 00:02:42.000]  冬至是中國人團圓的日子
[00:02:42.000 --> 00:02:44.000]  是一家人合一的日子
[00:02:44.000 --> 00:02:49.000]  俗語說冬至過冬大過年
[00:02:49.000 --> 00:02:51.000]  或者冬至大越年
[00:02:51.000 --> 00:02:55.000]  冬至是一年黑夜最長的日子
[00:02:55.000 --> 00:02:57.000]  所以從昨晚之後
[00:02:57.000 --> 00:02:58.000]  今天開始
[00:02:58.000 --> 00:03:01.000]  八天就會慢慢拉長
[00:03:01.000 --> 00:03:06.000]  所以這個是冬至揚生春又來
[00:03:06.000 --> 00:03:07.000]  冬至
[00:03:07.000 --> 00:03:08.000]  南方人
[00:03:08.000 --> 00:03:12.000]  大部分的南方人都會在冬至飯的時候
[00:03:12.000 --> 00:03:13.000]  吃湯圓
[00:03:13.000 --> 00:03:15.000]  不知道你吃了沒有
[00:03:15.000 --> 00:03:16.000]  或者應該說
[00:03:16.000 --> 00:03:19.000]  你的冬至飯吃了沒有
[00:03:19.000 --> 00:03:21.000]  應該一般人都吃了
[00:03:21.000 --> 00:03:23.000]  大部分人都要配合
[00:03:23.000 --> 00:03:27.000]  我們特別有核心家庭和大的家庭
[00:03:27.000 --> 00:03:29.000]  我們都需要配合一下日子
[00:03:29.000 --> 00:03:30.000]  因為要配合日子
[00:03:30.000 --> 00:03:34.000]  所以有些時候是有互相的遷就
[00:03:34.000 --> 00:03:38.000]  這個其實都是團圓合一的需要
[00:03:38.000 --> 00:03:43.000]  我家裡在上一個節期已經約好了
[00:03:43.000 --> 00:03:45.000]  昨晚吃的
[00:03:45.000 --> 00:03:47.000]  就是節期當天吃
[00:03:47.000 --> 00:03:52.000]  所以當我收到港島安排的時候
[00:03:52.000 --> 00:03:54.000]  我就要跟我家裡說
[00:03:54.000 --> 00:03:55.000]  對不起
[00:03:55.000 --> 00:03:58.000]  六點鐘本來吃飯要退後一點
[00:03:58.000 --> 00:04:01.000]  我要去到八點鐘才能來
[00:04:01.000 --> 00:04:03.000]  這是家人的遷就
[00:04:03.000 --> 00:04:04.000]  互相彼此的
[00:04:04.000 --> 00:04:06.000]  他們家人現在坐在當中
[00:04:06.000 --> 00:04:07.000]  所以都知道
[00:04:07.000 --> 00:04:09.000]  我那個遷就的過程
[00:04:09.000 --> 00:04:12.000]  其實這頓飯對我來說是很特別的
[00:04:12.000 --> 00:04:14.000]  因為今年七月份
[00:04:14.000 --> 00:04:16.000]  我媽媽安息
[00:04:16.000 --> 00:04:19.000]  所以昨晚是我們家裡
[00:04:19.000 --> 00:04:21.000]  媽媽安息之後
[00:04:21.000 --> 00:04:24.000]  第一個的冬至飯
[00:04:24.000 --> 00:04:27.000]  原來在我們這個
[00:04:27.000 --> 00:04:32.000]  每家人能夠有一起團圓的機會並不容易
[00:04:32.000 --> 00:04:34.000]  我自己寫下了
[00:04:34.000 --> 00:04:37.000]  人間團圓並非義
[00:04:37.000 --> 00:04:39.000]  陰晴月缺並有時
[00:04:39.000 --> 00:04:42.000]  生離死別難自願
[00:04:42.000 --> 00:04:44.000]  但求人間全屬緣
[00:04:44.000 --> 00:04:45.000]  是的
[00:04:45.000 --> 00:04:47.000]  過去三年半的疫情
[00:04:47.000 --> 00:04:49.000]  讓我們很多的家庭
[00:04:49.000 --> 00:04:52.000]  無法實體相聚團圓
[00:04:52.000 --> 00:04:55.000]  甚至有時人緣
[00:04:55.000 --> 00:04:57.000]  但心不緣
[00:04:57.000 --> 00:04:59.000]  因為2019的一些運動
[00:04:59.000 --> 00:05:01.000]  一些的社會處境
[00:05:01.000 --> 00:05:04.000]  令到很多的家庭有很多的
[00:05:04.000 --> 00:05:09.000]  因為立場而帶來的張力撕裂
[00:05:09.000 --> 00:05:11.000]  有很多的家庭因為這樣
[00:05:11.000 --> 00:05:15.000]  反而出現了一些團而不圓
[00:05:15.000 --> 00:05:18.000]  合而不一的情況
[00:05:18.000 --> 00:05:19.000]  弟兄姊妹
[00:05:19.000 --> 00:05:22.000]  你身邊的處境是不是這樣呢
[00:05:22.000 --> 00:05:24.000]  你的處境
[00:05:24.000 --> 00:05:25.000]  你的家庭
[00:05:25.000 --> 00:05:26.000]  你的群體
[00:05:26.000 --> 00:05:28.000]  是不是有這種狀況呢
[00:05:28.000 --> 00:05:31.000]  今天我們希望透過經文
[00:05:31.000 --> 00:05:33.000]  幫助我們學習
[00:05:33.000 --> 00:05:37.000]  如何好團圓真合一
[00:05:37.000 --> 00:05:39.000]  我透過經文是
[00:05:39.000 --> 00:05:44.000]  楊福音十七章十一節的下半段
[00:05:44.000 --> 00:05:46.000]  所以是半節的經文
[00:05:46.000 --> 00:05:48.000]  今天我們透過這半節的經文
[00:05:48.000 --> 00:05:52.000]  一起思想上帝對我們的提醒
[00:05:52.000 --> 00:05:53.000]  聖父啊
