
[00:00:00.000 --> 00:00:06.460]  同一段聖經,在約翰福音第四章,要從46節讀到53節。
[00:00:06.460 --> 00:00:10.980]  這裏說耶穌又到了加利利的迦拿,就是他從前變水爲酒的地方,
[00:00:10.980 --> 00:00:14.260]  有一個大臣,他的兒子在加百農患病,
[00:00:14.260 --> 00:00:18.620]  他聽見耶穌從猶太到了加利利就來見他,
[00:00:18.620 --> 00:00:23.260]  求他下去醫治他的兒子,因爲他兒子快要死了。
[00:00:23.260 --> 00:00:27.340]  耶穌就對他說,若不看見神蹟,其實你們總是不信。
[00:00:27.340 --> 00:00:32.460]  那大臣說,先生,求你趁着我的孩子還沒有死就下去。
[00:00:32.460 --> 00:00:35.080]  耶穌對他說,回去吧,你的兒子活了。
[00:00:35.080 --> 00:00:37.840]  那人信耶穌所說的話就回去了。
[00:00:37.840 --> 00:00:42.960]  正下去的時候,他的僕人迎見他,說他的兒子活了。
[00:00:42.960 --> 00:00:45.000]  他就問,什麼時候見好的?
[00:00:45.000 --> 00:00:47.880]  他們說,昨日餵食熱就退了。
[00:00:47.880 --> 00:00:51.920]  他便知道這正是耶穌對他說,你兒子活了的時候,
[00:00:51.920 --> 00:00:54.840]  他自己和全家就都信了。
[00:00:54.840 --> 00:00:56.840]  我們就讀到這裏。
[00:00:56.840 --> 00:01:02.240]  隨着十二月份的來到,我們已經正式進入聖誕季節了。
[00:01:02.240 --> 00:01:07.240]  聖誕季節是一個充滿歡樂跟期待的一個季節。
[00:01:07.240 --> 00:01:11.500]  到處都充滿了美麗的歌聲跟裝飾。
[00:01:11.500 --> 00:01:15.720]  昨天我們教會的師班也一同參與在Copatino
[00:01:15.720 --> 00:01:20.720]  這個Main Street Shopping Plaza舉行的聖誕點燈活動。
[00:01:20.720 --> 00:01:22.600]  昨天有多少人去了?
[00:01:22.600 --> 00:01:25.520]  有一些人去了,非常熱鬧,非常熱鬧,感謝神。
[00:01:25.520 --> 00:01:30.680]  聖誕節旗之所以充滿這樣的歡樂,
[00:01:30.680 --> 00:01:38.340]  我相信最主要的原因就是因爲聖誕節旗是一個充滿神機的節旗。
[00:01:38.340 --> 00:01:43.880]  回想第一個聖誕夜,難道不都是充滿神機的夜晚嗎?
[00:01:43.880 --> 00:01:49.520]  牧羊人在礦野,在黑暗當中看守羊羣。
