
[00:00:00.000 --> 00:00:02.000]  好,姐妹早晨
[00:00:02.000 --> 00:00:05.000]  我很開心地看下去
[00:00:05.000 --> 00:00:09.000]  我們不再需要用口罩遮住自己的面容
[00:00:09.000 --> 00:00:11.000]  我真的有一個感覺
[00:00:11.000 --> 00:00:13.000]  沒有一個口罩遮住面容的時候
[00:00:13.000 --> 00:00:16.000]  讓我們有一種更加一家人的感覺
[00:00:16.000 --> 00:00:18.000]  因爲作爲一家人
[00:00:18.000 --> 00:00:22.000]  我們是不需要有任何東西來遮住我們自己
[00:00:22.000 --> 00:00:24.000]  或者用另一個角度
[00:00:24.000 --> 00:00:26.000]  就是我們不需要去掩飾
[00:00:26.000 --> 00:00:29.000]  也讓我們能夠更加多的機會
[00:00:29.000 --> 00:00:32.000]  在疫情來到完結的時候
[00:00:32.000 --> 00:00:34.000]  我們來到教會不單止敬拜
[00:00:34.000 --> 00:00:35.000]  鼓勵你們
[00:00:35.000 --> 00:00:36.000]  預言了崇拜之後
[00:00:36.000 --> 00:00:39.000]  找一些弟兄姐妹一起喫飯、聊聊天
[00:00:39.000 --> 00:00:41.000]  因爲我相信
[00:00:41.000 --> 00:00:44.000]  天國其實就好像一個家庭一樣
[00:00:44.000 --> 00:00:46.000]  就是讓我們在這裏
[00:00:46.000 --> 00:00:47.000]  沒錯,我們來到神的面前
[00:00:47.000 --> 00:00:49.000]  我們敬拜這位創造我們的主
[00:00:49.000 --> 00:00:51.000]  但是我們也來到這裏
[00:00:51.000 --> 00:00:55.000]  我們享受我們家庭的那種歡樂
[00:00:59.000 --> 00:01:04.000]  司洗約翰他是爲耶穌工作預備的那個人
[00:01:04.000 --> 00:01:06.000]  當他剛剛出來傳道的時候
[00:01:06.000 --> 00:01:09.000]  他就說天國近了
[00:01:09.000 --> 00:01:11.000]  你們應當悔改
[00:01:11.000 --> 00:01:13.000]  他和那些來到他面前的人
[00:01:13.000 --> 00:01:15.000]  說這句話
[00:01:15.000 --> 00:01:17.000]  然後我們看到耶穌受洗
[00:01:17.000 --> 00:01:20.000]  他受完撒旦的試探
[00:01:20.000 --> 00:01:23.000]  當他開始出來侍奉的時候
[00:01:23.000 --> 00:01:25.000]  當時司洗約翰已經被下在監牢裏面
[00:01:25.000 --> 00:01:27.000]  被抓了、監禁
[00:01:27.000 --> 00:01:31.000]  代表着司洗約翰在地上的先後角色完結
[00:01:31.000 --> 00:01:33.000]  然後耶穌就出來工作
[00:01:33.000 --> 00:01:35.000]  他說同一句話
[00:01:35.000 --> 00:01:37.000]  就說天國近了
[00:01:37.000 --> 00:01:39.000]  你們應當悔改
[00:01:39.000 --> 00:01:42.000]  《馬克福音》一章十五節
[00:01:42.000 --> 00:01:43.000]  長一點的那句
[00:01:43.000 --> 00:01:45.000]  他說日期滿了
[00:01:45.000 --> 00:01:48.000]  神的國近了
[00:01:48.000 --> 00:01:50.000]  你們當悔改
[00:01:50.000 --> 00:01:52.000]  信福音
[00:01:52.000 --> 00:01:54.000]  到耶穌知道的
[00:01:54.000 --> 00:01:57.000]  他來地上不會很長的工作時間
[00:01:57.000 --> 00:02:00.000]  所以他招聚了十二個門徒
[00:02:00.000 --> 00:02:02.000]  當他差這十二個門徒出去的時候
[00:02:02.000 --> 00:02:04.000]  他就告訴這些門徒
[00:02:04.000 --> 00:02:07.000]  你們隨走隨傳
[00:02:07.000 --> 00:02:11.000]  說天國近了
[00:02:11.000 --> 00:02:14.000]  如果我們熟識《路加福音》
[00:02:14.000 --> 00:02:16.000]  我們看到神的國
[00:02:16.000 --> 00:02:20.000]  這個字在《路加福音》出現了十九次
[00:02:20.000 --> 00:02:23.000]  從這樣的經文我們就可以體會到
[00:02:23.000 --> 00:02:25.000]  來到這個地上的目的
[00:02:25.000 --> 00:02:29.000]  就是他要使人透過他所宣講的福音的真理
[00:02:29.000 --> 00:02:31.000]  能夠進入天國
[00:02:31.000 --> 00:02:33.000]  進入神的國裏面
[00:02:33.000 --> 00:02:37.000]  可以永永遠遠與神在一起
[00:02:37.000 --> 00:02:39.000]  今天我們看的
[00:02:39.000 --> 00:02:42.000]  《馬克福音》三章十三到十五節
[00:02:42.000 --> 00:02:44.000]  裏面有三段
[00:02:44.000 --> 00:02:46.000]  好像在說三種不同的東西
[00:02:46.000 --> 00:02:48.000]  但其實都是在說
[00:02:48.000 --> 00:02:53.000]  神國建立有非常密切的關係
[00:02:53.000 --> 00:02:57.000]  第一段我覺得他在說神國的工人
[00:02:57.000 --> 00:02:59.000]  我們都知道的
[00:02:59.000 --> 00:03:01.000]  舊約時期的以色列
[00:03:01.000 --> 00:03:04.000]  他們的宗教活動的重心是放在聖殿
[00:03:04.000 --> 00:03:07.000]  而聖殿可以這麼說
[00:03:07.000 --> 00:03:09.000]  是由祭司或者先知
[00:03:09.000 --> 00:03:12.000]  按照神在西奶山所頒佈的律法
[00:03:12.000 --> 00:03:14.000]  然後他們承擔起
[00:03:14.000 --> 00:03:17.000]  帶領和指導以色列人
[00:03:17.000 --> 00:03:20.000]  如何過一個合神心意的生活
[00:03:20.000 --> 00:03:22.000]  聖殿是中心
[00:03:22.000 --> 00:03:24.000]  祭司和先知是主理者
[00:03:24.000 --> 00:03:26.000]  帶領和引導以色列人
[00:03:26.000 --> 00:03:28.000]  過合神心意的生活
[00:03:28.000 --> 00:03:30.000]  不過在主旨586年
[00:03:30.000 --> 00:03:32.000]  歷史告訴我們整個以色列國
[00:03:32.000 --> 00:03:34.000]  其實北角以色列已經被滅了
[00:03:34.000 --> 00:03:37.000]  南角猶大也在586年主旨的時候
[00:03:37.000 --> 00:03:39.000]  被巴比倫所滅
[00:03:39.000 --> 00:03:41.000]  聖殿被滅之後
[00:03:41.000 --> 00:03:44.000]  整個以色列人的宗教生活就分崩離析
[00:03:44.000 --> 00:03:47.000]  因爲他們重視的就是一定要在聖殿當中
[00:03:47.000 --> 00:03:49.000]  但是沒錯的
[00:03:49.000 --> 00:03:52.000]  當時的祭司羣體在分散的以色列人裏面
[00:03:52.000 --> 00:03:55.000]  很努力地希望維繫和保存
[00:03:55.000 --> 00:03:58.000]  他們這個獨一的一神的信仰
[00:03:58.000 --> 00:04:00.000]  按照歷史的演變
[00:04:00.000 --> 00:04:03.000]  巴勒斯坦後來被希臘統治
[00:04:03.000 --> 00:04:07.000]  在這段時間歷史告訴我們
[00:04:07.000 --> 00:04:09.000]  曾經有一個叫馬加比的家族
