
[00:00:00.000 --> 00:00:02.000]  平安不是必然的
[00:00:02.000 --> 00:00:04.000]  大約在三個月之前
[00:00:04.000 --> 00:00:08.000]  我年輕的侄子突然不舒服
[00:00:08.000 --> 00:00:10.000]  氣喘
[00:00:10.000 --> 00:00:12.000]  胸悶
[00:00:12.000 --> 00:00:14.000]  結果走去急症室
[00:00:14.000 --> 00:00:16.000]  之後被確診
[00:00:16.000 --> 00:00:20.000]  患有罕有的癌症
[00:00:20.000 --> 00:00:22.000]  而且發現是末期的
[00:00:22.000 --> 00:00:26.000]  他的病情急起急轉直下
[00:00:26.000 --> 00:00:30.000]  七天之後就不治離世
[00:00:30.000 --> 00:00:36.000]  最後要白頭人送黑頭人
[00:00:36.000 --> 00:00:40.000]  有些親友不期然會懷疑
[00:00:40.000 --> 00:00:43.000]  為甚麼這些不幸的苦難
[00:00:43.000 --> 00:00:48.000]  會淋到信主的人家庭當中呢
[00:00:48.000 --> 00:00:51.000]  主的愛是怎樣去理解
[00:00:51.000 --> 00:00:55.000]  苦難和主的愛又有甚麼關連呢
[00:00:55.000 --> 00:01:00.000]  今早我就願意重溫主的愛
[00:01:00.000 --> 00:01:03.000]  另類的表達方式
[00:01:03.000 --> 00:01:06.000]  對我們有甚麼提醒
[00:01:06.000 --> 00:01:09.000]  我就以經文
[00:01:09.000 --> 00:01:16.000]  在《河西亞書》第五章五節到六章六節
[00:01:16.000 --> 00:01:19.000]  請打出那些經文
[00:01:19.000 --> 00:01:25.000]  我一會兒分段的時候會講多些
[00:01:25.000 --> 00:01:27.000]  大家看一看
[00:01:27.000 --> 00:01:29.000]  用一分鐘左右
[00:01:29.000 --> 00:01:39.000]  我先簡介一下《河西亞書》
[00:01:39.000 --> 00:01:44.000]  河西亞先知是公元前721年
[00:01:44.000 --> 00:01:51.000]  撒瑪利亞喊落之前那段紛亂時期的先知
[00:01:51.000 --> 00:01:55.000]  他是繼先知亞摩斯之後
[00:01:55.000 --> 00:02:00.000]  在北角以色列傳上帝的訊息
[00:02:00.000 --> 00:02:03.000]  他特別關心八聖拜偶像
[00:02:03.000 --> 00:02:06.000]  和不忠於上帝的行為
[00:02:06.000 --> 00:02:09.000]  他大膽地以自己
[00:02:09.000 --> 00:02:12.000]  跟一個不忠貞的婦人結婚
[00:02:12.000 --> 00:02:18.000]  給以色列人那種背信
[00:02:18.000 --> 00:02:22.000]  正如他妻子江滅對她的不忠貞
[00:02:22.000 --> 00:02:26.000]  上帝的子民同樣是不忠
[00:02:26.000 --> 00:02:28.000]  背棄了上帝
[00:02:28.000 --> 00:02:33.000]  因此上帝的懲罰就臨到以色列
[00:02:33.000 --> 00:02:35.000]  不過到最後
[00:02:35.000 --> 00:02:40.000]  上帝仍然對他的子民顯出無比信實的愛
[00:02:40.000 --> 00:02:46.000]  他要贏回以色列跟自己恢復正常的關係
[00:02:46.000 --> 00:02:49.000]  正如上帝的心意
[00:02:49.000 --> 00:02:51.000]  上帝的愛
[00:02:51.000 --> 00:02:56.000]  在河西亞書第11章第8節那幾句說話
[00:02:56.000 --> 00:03:00.000]  可以反映出來
[00:03:00.000 --> 00:03:03.000]  我用現代中文譯出來的意思就是
[00:03:03.000 --> 00:03:05.000]  以色列人啊
[00:03:05.000 --> 00:03:07.000]  我怎能拋棄你們呢
[00:03:07.000 --> 00:03:10.000]  我怎能離開你們
[00:03:10.000 --> 00:03:13.000]  我的心不忍這樣做
[00:03:13.000 --> 00:03:16.000]  因為我多麼愛你們
[00:03:16.000 --> 00:03:18.000]  上帝的這種愛
[00:03:18.000 --> 00:03:21.000]  真是那種信實不變的愛
[00:03:21.000 --> 00:03:25.000]  神的愛是愛人到底的愛
[00:03:25.000 --> 00:03:27.000]  剛才你所看到的經文
[00:03:27.000 --> 00:03:32.000]  我們今早會盡心思想一下
[00:03:32.000 --> 00:03:33.000]  一些東西
[00:03:33.000 --> 00:03:36.000]  就是神的愛是怎樣
[00:03:36.000 --> 00:03:40.000]  人對主的愛又應該怎樣回應呢
[00:03:40.000 --> 00:03:44.000]  會用三個方面的問題
[00:03:44.000 --> 00:03:46.000]  大家思想的
[00:03:46.000 --> 00:03:49.000]  我們先有個簡單的祈禱
[00:03:49.000 --> 00:03:52.000]  天父有時我們不明白你的愛
[00:03:52.000 --> 00:03:54.000]  但是你的愛是信實的
[00:03:54.000 --> 00:03:56.000]  是持愛不變
[00:03:56.000 --> 00:04:00.000]  求你藉著今早在河西亞書
