
[00:00:00.000 --> 00:00:04.660]  終於來到傳道書的中間
[00:00:04.660 --> 00:00:06.020]  猜猜今天這段經文
[00:00:06.020 --> 00:00:10.560]  傳道者要跟我們講什麼
[00:00:10.560 --> 00:00:11.900]  我在練習的時候發覺
[00:00:11.900 --> 00:00:16.260]  這東西已經講給大家聽今天要講什麼
[00:00:16.260 --> 00:00:18.940]  By the way 如果你今天是第一次在我們教會
[00:00:18.940 --> 00:00:20.180]  來到我們教會那裡
[00:00:20.180 --> 00:00:21.980]  我想代表教會歡迎你
[00:00:21.980 --> 00:00:24.480]  完了崇拜之後歡迎你留步
[00:00:24.480 --> 00:00:27.900]  讓我們大家可以有些互相認識的時間
[00:00:27.900 --> 00:00:29.860]  OK 回到傳道書
[00:00:29.860 --> 00:00:33.260]  傳道書是聖經舊約裡面
[00:00:33.260 --> 00:00:35.680]  其中一本智慧文學
[00:00:35.680 --> 00:00:38.900]  探討人生的終極意義
[00:00:38.900 --> 00:00:41.180]  道德的實踐
[00:00:41.180 --> 00:00:42.860]  苦難的奧秘
[00:00:42.860 --> 00:00:50.740]  和我們人和做物主之間的關係
[00:00:50.740 --> 00:00:52.060]  今天的經文
[00:00:52.060 --> 00:00:55.020]  在傳道書的五章八節
[00:00:55.020 --> 00:00:57.740]  去到六章九節
[00:00:57.740 --> 00:01:06.580]  傳道書的作者今天要跟我們講錢
[00:01:06.580 --> 00:01:08.340]  你聽到這個主題的時候
[00:01:08.340 --> 00:01:10.580]  是不是馬上醒了
[00:01:10.580 --> 00:01:12.260]  還是馬上在想
[00:01:12.260 --> 00:01:15.380]  哇 講錢是傷感情的
[00:01:15.380 --> 00:01:17.420]  我不是很怕傷感情
[00:01:17.420 --> 00:01:18.500]  因為不關我的事
[00:01:18.500 --> 00:01:19.500]  不是我講的
[00:01:19.500 --> 00:01:20.860]  是傳道者講的
[00:01:20.860 --> 00:01:23.780]  我只是依經直說
[00:01:23.780 --> 00:01:31.180]  不如你又想想錢有什麼好說的
[00:01:31.180 --> 00:01:33.100]  在這段經文裡面
[00:01:33.100 --> 00:01:36.700]  傳道者不是站在道德高地那裡
