
[00:00:00.000 --> 00:00:04.160]  我們再用禱告將這堂道交給主您面前
[00:00:04.160 --> 00:00:06.400]  主耶穌基督求祢幫助我們
[00:00:06.400 --> 00:00:09.200]  求祢的聖靈充滿在我們眾人的心裏
[00:00:09.200 --> 00:00:11.440]  讓我們知道主已經復活了
[00:00:11.440 --> 00:00:13.040]  這個墳墓是空的
[00:00:13.040 --> 00:00:15.920]  而耶穌基督復活在我們的心裏
[00:00:15.920 --> 00:00:18.160]  我們就要去聆聽祢的話語
[00:00:18.160 --> 00:00:20.320]  讓祢的道活在我們的心裏
[00:00:20.320 --> 00:00:23.040]  求聖靈開我們的耳朵 開我們的心
[00:00:23.040 --> 00:00:25.920]  以致我們能夠專注在祢的道裏
[00:00:25.920 --> 00:00:28.320]  又讓我成為祢的僕人
[00:00:28.320 --> 00:00:30.880]  將祢的道按正義去分解
[00:00:30.880 --> 00:00:33.200]  又讓我們能夠體會今天的道
[00:00:33.200 --> 00:00:36.640]  如何活在我們這個疫情底下
[00:00:36.640 --> 00:00:38.880]  在這個經濟低迷底下
[00:00:38.880 --> 00:00:41.680]  在這個政治氣壓很高的底下
[00:00:41.680 --> 00:00:45.120]  我們仍然能夠活出復活的主耶穌基督
[00:00:45.120 --> 00:00:46.880]  除去我們心中的害怕
[00:00:46.880 --> 00:00:49.520]  讓我們的生命能夠見證活的耶穌
[00:00:49.520 --> 00:00:51.680]  求祢帶領我們此時此刻的時間
[00:00:51.680 --> 00:00:55.040]  禱告奉耶穌基督得性命治祈求 阿們
[00:00:55.040 --> 00:00:58.480]  你看到這個空的墳墓
[00:00:58.480 --> 00:01:01.840]  題為「沒有告訴人,因為他無害怕」
[00:01:01.840 --> 00:01:05.440]  這個題目好像有點負面
[00:01:05.440 --> 00:01:07.040]  一會兒會再講為什麼
[00:01:07.040 --> 00:01:10.480]  還有留意我經文是馬科六十六章一至八節
[00:01:10.480 --> 00:01:13.120]  是一至八節,不是一至十八節
[00:01:13.120 --> 00:01:14.720]  一會兒會解釋為什麼不是一至十八節
[00:01:14.720 --> 00:01:16.320]  而是一至八節
[00:01:16.320 --> 00:01:20.400]  這次的講道對我來說是一個挑戰
[00:01:20.400 --> 00:01:23.760]  因為在短短從二月中到四月四號
[00:01:23.760 --> 00:01:27.680]  其實是有一個半月的時間
[00:01:27.680 --> 00:01:34.160]  我已經講了一二三四五六七篇
[00:01:34.160 --> 00:01:37.600]  今天是這個系列的最後一篇
[00:01:37.600 --> 00:01:40.800]  也是馬可福音的最後一章
[00:01:40.800 --> 00:01:43.200]  在整個講道系列當中
[00:01:43.200 --> 00:01:45.360]  我希望大家能夠體會到
[00:01:45.360 --> 00:01:52.080]  馬可福音所結構的架構有特別的安排
[00:01:52.080 --> 00:01:55.280]  而且他想帶出三個主題
[00:01:55.280 --> 00:01:56.800]  我在這裡寫了
[00:01:56.800 --> 00:01:58.400]  就是一個受苦的僕人
[00:01:58.400 --> 00:02:00.960]  他是一個受苦寫在十字架上
