
[00:00:00.000 --> 00:00:02.000]  各位親愛的弟兄姊妹!早安!
[00:00:02.000 --> 00:00:06.000]  願神的恩典常與你們同在。
[00:00:06.000 --> 00:00:11.000]  今天我們會談到尼希米記。
[00:00:11.000 --> 00:00:17.000]  尼希米記已經是舊約歷史記載的尾聲。
[00:00:17.000 --> 00:00:21.000]  以色列人的歷史一直走來,
[00:00:21.000 --> 00:00:27.000]  是神對人的恩典和人對神的背叛,
[00:00:28.000 --> 00:00:30.000]  交織而成的長卷。
[00:00:30.000 --> 00:00:35.000]  昔日,神將火把交給阿伯拉罕,
[00:00:35.000 --> 00:00:39.000]  要他將光明帶來這個黑暗的人間。
[00:00:39.000 --> 00:00:45.000]  後來他的子孫面對當時最強大的黑暗的力量,
[00:00:45.000 --> 00:00:47.000]  就是奴役人的埃及。
[00:00:47.000 --> 00:00:51.000]  神聽到這班人在埃及的哀聲,
[00:00:51.000 --> 00:00:55.000]  就差派摩西去解救他們。
[00:00:56.000 --> 00:00:59.000]  幾經波折,他們來到迦南地。
[00:00:59.000 --> 00:01:03.000]  神很希望他們在這個地方安居樂業,
[00:01:03.000 --> 00:01:07.000]  以神的美善,以神的律法,
[00:01:07.000 --> 00:01:10.000]  來耕耘一片的樂土。
[00:01:10.000 --> 00:01:14.000]  但是在時事記,我們看到,
[00:01:14.000 --> 00:01:19.000]  以色列人將這裡搞得烏煙瘴氣。
[00:01:19.000 --> 00:01:23.000]  神容許他們設立一個君王的制度,
[00:01:24.000 --> 00:01:29.000]  希望從此以後,他們的社會可以井井有條。
[00:01:29.000 --> 00:01:32.000]  但是大家還記得,
[00:01:32.000 --> 00:01:37.000]  去到所羅門王的時代,雖然極盡繁榮,
[00:01:37.000 --> 00:01:41.000]  但是也在這個極盡繁榮的時候,
[00:01:41.000 --> 00:01:47.000]  所羅門王變成了另外一個埃及的法老,
[00:01:47.000 --> 00:01:51.000]  他奴役人去建造積貨城。
[00:01:52.000 --> 00:01:56.000]  從那時候開始,王國就分裂,
[00:01:56.000 --> 00:01:59.000]  分成了北邊的以色列,
[00:01:59.000 --> 00:02:02.000]  和南邊的猶大,
[00:02:02.000 --> 00:02:04.000]  時而勢已,
[00:02:04.000 --> 00:02:08.000]  國際政治興起了不同的霸主。
[00:02:08.000 --> 00:02:12.000]  以色列國和猶大國,
[00:02:12.000 --> 00:02:16.000]  為了應對這些不同的霸主,
[00:02:16.000 --> 00:02:21.000]  他們就玩起國際權力的遊戲。
[00:02:22.000 --> 00:02:26.000]  慢慢慢慢就放棄了他們自己信仰的價值。
[00:02:26.000 --> 00:02:29.000]  當君王離棄上帝的時候,
[00:02:29.000 --> 00:02:33.000]  人民的生活就越發腐敗,
[00:02:33.000 --> 00:02:36.000]  最後他們就走向敗亡。
[00:02:36.000 --> 00:02:40.000]  以色列國敗於阿述,
[00:02:40.000 --> 00:02:44.000]  猶大國亡於巴比倫。
[00:02:44.000 --> 00:02:46.000]  人民失去了家園,
[00:02:46.000 --> 00:02:49.000]  失去了他們的身份,
[00:02:50.000 --> 00:02:53.000]  成為了流落異鄉的Nobody。
[00:02:53.000 --> 00:02:58.000]  然後神再一次憐憫他們,
[00:02:58.000 --> 00:03:01.000]  興起了一個新的帝國——波斯。
[00:03:01.000 --> 00:03:04.000]  波斯的塞魯士大帝,
[00:03:04.000 --> 00:03:08.000]  容許這些猶太人回歸故土。
[00:03:08.000 --> 00:03:10.000]  尼希米記說的,
[00:03:10.000 --> 00:03:14.000]  就是這些猶太人回歸故土,
[00:03:14.000 --> 00:03:19.000]  重建家鄉,重覓身份的故事。
[00:03:20.000 --> 00:03:21.000]  問題就是,
[00:03:21.000 --> 00:03:25.000]  這些已經歷盡劫難的人,
[00:03:25.000 --> 00:03:29.000]  能不能夠在歷史裡面吸取教訓呢?
[00:03:29.000 --> 00:03:31.000]  我們看尼希米記,
[00:03:31.000 --> 00:03:36.000]  我們將今天講到的經文分開三個段落。
[00:03:36.000 --> 00:03:38.000]  我們看第一個段落,
[00:03:38.000 --> 00:03:42.000]  尼希米記第十三章第十節至到第十四節。
[00:03:42.000 --> 00:03:46.000]  尼希米這樣記載,
[00:03:47.000 --> 00:03:50.000]  我見到利美人所當得的份,
[00:03:50.000 --> 00:03:53.000]  利美人是侍奉聖殿的,
[00:03:53.000 --> 00:03:56.000]  他們的份無人供給他們,
[00:03:56.000 --> 00:03:59.000]  甚至供職的利美人,
[00:03:59.000 --> 00:04:01.000]  與歌唱的,
[00:04:01.000 --> 00:04:05.000]  驅各奔回自己的田地去了,
[00:04:05.000 --> 00:04:08.000]  無人供養那些侍奉聖殿的人,
[00:04:08.000 --> 00:04:10.000]  他們自己要謀生了。
[00:04:10.000 --> 00:04:12.000]  我就斥責官長說,
[00:04:12.000 --> 00:04:15.000]  為何離棄上帝的殿呢?
[00:04:16.000 --> 00:04:17.000]  我們招聚利美人,
[00:04:17.000 --> 00:04:19.000]  使他們照舊供職,
[00:04:19.000 --> 00:04:25.000]  由大眾人就把五穀新酒和油的十分一送入庫房,
[00:04:25.000 --> 00:04:29.000]  我派祭司、士利米亞、文士薩督,
[00:04:29.000 --> 00:04:33.000]  和利美人、皮大雅作副官,
[00:04:33.000 --> 00:04:35.000]  管理庫房。
[00:04:35.000 --> 00:04:37.000]  副官是哈蘭,
[00:04:37.000 --> 00:04:40.000]  哈蘭是薩克的兒子,
[00:04:40.000 --> 00:04:43.000]  薩克是馬泰尼的兒子,
[00:04:44.000 --> 00:04:46.000]  這些人都是忠信的,
[00:04:46.000 --> 00:04:51.000]  他們的職份是將所供給的份給他們的弟兄。
[00:04:51.000 --> 00:04:55.000]  我的上帝,求你因這事紀念我,
[00:04:55.000 --> 00:04:58.000]  不要塗抹我為上帝的殿,
[00:04:58.000 --> 00:05:02.000]  與其中的禮節所行的善。
[00:05:02.000 --> 00:05:08.000]  《利米記》這本書的上半部分,
[00:05:08.000 --> 00:05:11.000]  是講重建耶路撒冷的城牆,
[00:05:12.000 --> 00:05:17.000]  這就是重建神指紋身份的一些硬件。
[00:05:17.000 --> 00:05:20.000]  《利米記》的下半部分,
[00:05:20.000 --> 00:05:25.000]  是講重建猶太人的信仰人格,
[00:05:25.000 --> 00:05:30.000]  這是重建神指紋身份的軟件。
[00:05:30.000 --> 00:05:33.000]  我們發覺建造城牆,
[00:05:33.000 --> 00:05:37.000]  建造一些硬件是相對容易的,
[00:05:37.000 --> 00:05:41.000]  但塑造人性卻是很艱難。
[00:05:42.000 --> 00:05:44.000]  在尼西米的心中,
[00:05:44.000 --> 00:05:47.000]  人的罪,社會的墮落,
[00:05:47.000 --> 00:05:50.000]  神指紋的身份的失落,
[00:05:50.000 --> 00:05:52.000]  那個最核心的問題,
[00:05:52.000 --> 00:05:56.000]  就是在於人不再敬畏神。
[00:05:56.000 --> 00:05:58.000]  人不再敬畏神,
[00:05:58.000 --> 00:06:02.000]  就失去了一個超越的視野,
[00:06:02.000 --> 00:06:06.000]  失去了對他人的絕對的尊重,
[00:06:06.000 --> 00:06:09.000]  也失去了對天命的領悟,
[00:06:10.000 --> 00:06:23.000]  失去了要在這個世上成就永恆價值的那種獨特的身份的自覺。
[00:06:23.000 --> 00:06:27.000]  敬畏神對尼西米來說,
[00:06:27.000 --> 00:06:35.000]  就表現在維護敬拜上帝的聖殿的體制之上。
[00:06:35.000 --> 00:06:38.000]  在我們剛才讀的經文,
[00:06:39.000 --> 00:06:40.000]  我們看到,
[00:06:40.000 --> 00:06:45.000]  沒有人供應那些服侍聖殿的利美人,
[00:06:45.000 --> 00:06:51.000]  沒有人去支援那些重讚上帝的施班員,
[00:06:51.000 --> 00:06:55.000]  沒有人顧念聖殿的運作,
[00:06:55.000 --> 00:06:57.000]  一言以蔽之,
[00:06:57.000 --> 00:07:00.000]  人只顧自己塵世的生活,
[00:07:00.000 --> 00:07:04.000]  無心思索永恆的事情。
[00:07:04.000 --> 00:07:07.000]  人心遠離了上帝,
[00:07:08.000 --> 00:07:09.000]  就失去了神性,
[00:07:09.000 --> 00:07:11.000]  而人性的醜陋,
[00:07:11.000 --> 00:07:13.000]  那些醜惡,
[00:07:13.000 --> 00:07:16.000]  就更加容易這樣爆發出來,
[00:07:16.000 --> 00:07:22.000]  就更加容易拿起武器去殘害我們身邊的人。
[00:07:22.000 --> 00:07:25.000]  真是在這個歷史裏面,
[00:07:25.000 --> 00:07:27.000]  有些哲學家說,
[00:07:27.000 --> 00:07:31.000]  沒有了上帝,人就可任意妄為。
[00:07:31.000 --> 00:07:33.000]  的確,
[00:07:33.000 --> 00:07:35.000]  人若果不敬畏上帝,
[00:07:36.000 --> 00:07:42.000]  還有什麼東西可以限制人類的自私、貪婪和暴力呢?
[00:07:42.000 --> 00:07:45.000]  是人性的敗亡,
[00:07:45.000 --> 00:07:48.000]  導致民族的敗亡,
[00:07:48.000 --> 00:07:52.000]  要避免猶太人他們重蹈覆轍,
[00:07:52.000 --> 00:07:58.000]  首先就是要重建他們這個神的子民的獨特身份,
[00:07:58.000 --> 00:08:01.000]  而這個身份最需要的,
[00:08:01.000 --> 00:08:04.000]  就是一個敬畏上帝的心,
[00:08:05.000 --> 00:08:06.000]  敬畏上帝的心,
[00:08:06.000 --> 00:08:11.000]  體現在尊重聖殿的禮儀的上面。
[00:08:11.000 --> 00:08:16.000]  尼希米用心去重整聖殿的體制,
[00:08:16.000 --> 00:08:19.000]  在這個段落的結尾,
[00:08:19.000 --> 00:08:22.000]  我們看到尼希米的祈禱,
[00:08:22.000 --> 00:08:24.000]  第十三章,第十四節,
[00:08:24.000 --> 00:08:26.000]  尼希米這樣祈禱,
[00:08:26.000 --> 00:08:28.000]  他說:「我的上帝啊!
[00:08:29.000 --> 00:08:38.000]  求祢因這事紀念我,不要逃沒我為上帝的殿與其中的禮節所行的善。」
[00:08:38.000 --> 00:08:48.000]  我們用心去聆聽這個祈禱的時候,
[00:08:48.000 --> 00:08:53.000]  你可能會慢慢地感覺到一陣子的心酸。
[00:08:56.000 --> 00:09:01.000]  為何尼希米祈禱是祈求神紀念他一個人的?
[00:09:01.000 --> 00:09:06.000]  為何只是紀念一個人的?
[00:09:06.000 --> 00:09:10.000]  彷彿天下間,
[00:09:10.000 --> 00:09:14.000]  只有他孤獨一人,
[00:09:14.000 --> 00:09:17.000]  記掛著聖殿的事情。
[00:09:17.000 --> 00:09:20.000]  那其他人呢?
[00:09:20.000 --> 00:09:22.000]  他們在做什麼?
[00:09:24.000 --> 00:09:26.000]  或者其他人在想的,
[00:09:26.000 --> 00:09:29.000]  只是謀求自己的福樂。
[00:09:29.000 --> 00:09:32.000]  看起來,
[00:09:32.000 --> 00:09:38.000]  只有尼希米在人性傾頹之際,
[00:09:38.000 --> 00:09:42.000]  孤獨地歷患狂瀾。
[00:09:42.000 --> 00:09:45.000]  我們看經文的第二段,
