
[00:00:00.000 --> 00:00:05.060]  今日我想同大家通常講一啲嘢係講下前傳
[00:00:05.060 --> 00:00:09.040]  咁下一次開始我哋就繼續會進入去
[00:00:09.040 --> 00:00:10.440]  市場傳其他部份裏面
[00:00:10.440 --> 00:00:13.500]  咁上個禮拜開始就應該
[00:00:13.500 --> 00:00:16.980]  梁牧師第一次就開始左市場傳第一章
[00:00:16.980 --> 00:00:20.180]  咁今日 昨日 昨日 今日
[00:00:20.180 --> 00:00:22.640]  蔡牧師講緊第二章
[00:00:22.640 --> 00:00:25.980]  下一次蔡牧師黎就會講第二章
[00:00:25.980 --> 00:00:28.620]  所以今日同大家黎到去思想嘅時候
[00:00:28.620 --> 00:00:32.920]  我突然間就諗起市場傳嘅前傳
[00:00:32.920 --> 00:00:35.000]  就係《路加福音》
[00:00:35.000 --> 00:00:38.260]  《路加福音》就講到主耶穌幾多復活嘅時候
[00:00:38.260 --> 00:00:41.260]  喺嗰個描述裏面
[00:00:41.260 --> 00:00:48.000]  喺《路加福音》當中有一段比較特別啲嘅描述
[00:00:48.000 --> 00:00:53.720]  就係講到耶穌與兩個行路嘅門徒
[00:00:53.720 --> 00:00:57.020]  喺當中黎到去傾談
[00:00:57.020 --> 00:01:01.380]  呢兩個門徒淨係喺二馬五司嘅路上面
[00:01:01.380 --> 00:01:03.280]  黎到遇到復活嘅主
[00:01:03.280 --> 00:01:07.020]  起初佢哋唔認識 唔睇唔清楚
[00:01:07.020 --> 00:01:09.520]  呢個就係主耶穌
[00:01:09.520 --> 00:01:11.460]  所以我希望今日同大家黎到去思想
[00:01:11.460 --> 00:01:14.160]  就係喺我哋歲月人生嘅裏面
[00:01:14.160 --> 00:01:16.660]  我哋其實應該係與主同行
[00:01:16.660 --> 00:01:20.500]  我相信我哋與呢位復活嘅主同行
[00:01:20.500 --> 00:01:23.540]  但係好多時候我哋都可能類似
[00:01:23.540 --> 00:01:26.540]  二馬五司路上嘅門徒一樣
[00:01:26.540 --> 00:01:29.380]  我哋喺頭腦上知道好多嘅事
