
[00:00:00.000 --> 00:00:04.000]  丹師父,讓我們先聽神的禱語,讓我們先同心地禱告。
[00:00:04.000 --> 00:00:08.000]  聽什麼禱告,我們聽到之前先同心地禱告。
[00:00:08.000 --> 00:00:13.000]  慈悲的父神,多謝祢讓我們再次能夠打開祢的說話。
[00:00:13.000 --> 00:00:25.000]  父神求祢讓我們有恭敬的心去面對祢的教訓,並且藉著祢所記載的一切,讓我們更明白上帝祢的心思意念。
[00:00:25.000 --> 00:00:34.000]  好在我們做基督徒,不是隨己而行,而是順著主祢的帶領而行,我們每一天的生命生活。
[00:00:34.000 --> 00:00:47.000]  求祢也讓我們能夠繼續在今天的敬拜當中,藉著聽祢的道理,使得我們生命可以更生變化,脫虛救我,成為一個新族的人。
[00:00:47.000 --> 00:01:02.000]  親愛的恩主,我們的父神,是祢讓我們能夠再次有這個機會,有這個福氣,能夠打開主祢的說話,來一同小心細心來研讀。
[00:01:02.000 --> 00:01:14.000]  我們求祢的靈幫助我們領受當中的教訓,使我們曉得怎麼樣在地上面活出一個真正像上帝祢的一個人。
[00:01:14.000 --> 00:01:21.000]  讓我們現在能夠蒙祢的請求,再次成為上帝祢的兒女們。
[00:01:21.000 --> 00:01:33.000]  讓我們能夠真是有這個關係,也在這個關係裡面,繼續的能夠把主祢的生命活化在我們每一天的生活當中。
[00:01:33.000 --> 00:01:37.000]  我們禱告奉主耶穌的名字,阿們。
[00:01:37.000 --> 00:01:45.000]  基督徒其實由第一天開始的生命就是不斷要進行突破的。
[00:01:45.000 --> 00:02:05.000]  而基督徒第一個突破,就是靠著聖靈,我們可以從罪當中的捆綁脫穎而出,並且繼續走這條屬靈的神聖道路。
[00:02:05.000 --> 00:02:19.000]  能夠有這樣的突破,完全是因為神的靈能夠給我們有一雙很不同的眼睛,
[00:02:19.000 --> 00:02:25.000]  讓我們能夠透視事物有一個很不同的角度。
[00:02:25.000 --> 00:02:35.000]  基督徒的侍奉人生,就是在一對這樣的屬靈的眼睛之下去被帶領行走。
[00:02:35.000 --> 00:02:47.000]  今天我們會很小心去看一個課題,這個課題是很在乎於我們怎樣看待事物。
[00:02:47.000 --> 00:02:59.000]  看是一個很重要的屬靈功課,無論舊約到新約到為止,看是一個很重要的題目。
[00:02:59.000 --> 00:03:08.000]  甚至今天的專家,很多閱讀的專家,大學的教授研究,原來人看東西是直接影響人怎樣去接受一個事物。
[00:03:08.000 --> 00:03:23.000]  而我們基督徒能夠有一雙由上帝而給的屬靈慧眼,就是基督徒有一雙上帝而給的屬靈慧眼。
[00:03:23.000 --> 00:03:27.000]  我們怎樣用這對屬靈的慧眼去走這個屬靈的天路呢?
[00:03:27.000 --> 00:03:31.000]  就是怎樣用這個屬靈的慧眼去走前面的天路呢?
[00:03:31.000 --> 00:03:40.000]  這正正就是我們今天所看的題目,偷試整個的侍奉的動機。
[00:03:40.000 --> 00:03:51.000]  我們不單去看人家的侍奉的動機是怎樣,更重要的是看我們自己怎樣去侍奉。
