
[00:00:00.000 --> 00:00:08.200]  在2月4日,在圖文寫上了一個題目
[00:00:08.200 --> 00:00:11.260]  就是「二生命的自由」
[00:00:11.260 --> 00:00:15.120]  自由的起源是大家都不明白
[00:00:15.120 --> 00:00:18.020]  大家都要說的自由是甚麼
[00:00:18.020 --> 00:00:20.480]  那這個自由呢
[00:00:20.480 --> 00:00:23.120]  自由,從真正的角度來講
[00:00:23.120 --> 00:00:26.080]  是你人類的自由
[00:00:26.080 --> 00:00:30.240]  自由不是政治的條件
[00:00:30.240 --> 00:00:35.880]  自由不代表你、我、你、不是
[00:00:35.880 --> 00:00:38.440]  人類不代表我們
[00:00:38.440 --> 00:00:40.680]  創世紀錄時的意思是說
[00:00:40.680 --> 00:00:43.600]  真正的自由就是信奉神
[00:00:43.600 --> 00:00:46.000]  沒有神那一步
[00:00:46.000 --> 00:00:47.680]  在神那一步
[00:00:47.680 --> 00:00:51.640]  同盡同宗的自由就是自由
[00:00:51.640 --> 00:00:54.920]  按照這個思路去明白
[00:00:54.920 --> 00:00:57.440]  希望大家聖經可以看出
[00:00:57.440 --> 00:01:00.640]  為自由的神話劇
[00:01:00.640 --> 00:01:02.120]  意思是說
[00:01:02.120 --> 00:01:04.800]  在朱家甲基督的基礎講述
[00:01:04.800 --> 00:01:09.280]  建民人在埃及的祖堂基地下
[00:01:09.280 --> 00:01:13.160]  真實地帶他們去到那個劇場
[00:01:13.160 --> 00:01:14.960]  他們去到西埃
[00:01:14.960 --> 00:01:16.640]  西埃
[00:01:16.640 --> 00:01:19.600]  做頒佛十大
[00:01:19.600 --> 00:01:23.680]  頒佛十大的神就在意思是說
[00:01:23.680 --> 00:01:26.640]  你們綁在我身上
[00:01:26.640 --> 00:01:30.000]  當你們綁在我身上的時候
[00:01:30.000 --> 00:01:33.200]  你們就得到自由
[00:01:33.200 --> 00:01:34.920]  對於我們基督徒來講
[00:01:34.920 --> 00:01:39.560]  會自由地去到神的角度
[00:01:39.560 --> 00:01:44.200]  意思是自由是有靈性的
[00:01:44.200 --> 00:01:46.200]  由這個角度來講
[00:01:46.200 --> 00:01:48.920]  自由就是悔恨
[00:01:48.920 --> 00:01:50.720]  離開
[00:01:50.720 --> 00:01:55.000]  離開煞路 自由煞路
[00:01:55.000 --> 00:01:56.840]  離開地
[00:01:56.840 --> 00:02:00.560]  就跟你的生命互動的那種狀
[00:02:00.560 --> 00:02:03.360]  自由的那種狀
[00:02:03.360 --> 00:02:07.440]  自由地去的角度
[00:02:07.440 --> 00:02:08.760]  真正的基督
[00:02:08.760 --> 00:02:10.400]  我們就說
[00:02:10.400 --> 00:02:13.520]  是自由的
[00:02:13.520 --> 00:02:14.720]  意思是說
[00:02:14.720 --> 00:02:18.720]  就好像自由會到神的角度
[00:02:18.720 --> 00:02:21.560]  我們又說 free for others
[00:02:21.560 --> 00:02:22.720]  意思是說
[00:02:22.720 --> 00:02:24.200]  會有自由
[00:02:24.200 --> 00:02:26.800]  在人的當中
[00:02:26.800 --> 00:02:29.320]  幫助其他人
[00:02:29.320 --> 00:02:31.720]  就像世間的文藝
[00:02:31.720 --> 00:02:34.280]  就像我們一般的知識文人
[00:02:34.280 --> 00:02:36.560]  去到亞太 阿拉伯加利
[00:02:36.560 --> 00:02:38.760]  老街的球場那裡
[00:02:38.760 --> 00:02:41.320]  是我們身上的那種自由
[00:02:41.320 --> 00:02:43.560]  講著我們自由的故事
[00:02:43.560 --> 00:02:46.720]  為何我們得到自由
[00:02:46.720 --> 00:02:49.400]  相信世間的文人都會記得
[00:02:49.400 --> 00:02:51.000]  我們經過書籍之前
[00:02:51.000 --> 00:02:52.000]  會知道
[00:02:52.000 --> 00:02:55.000]  你和我是自由的人
[00:02:55.000 --> 00:02:56.560]  有記住
[00:02:56.560 --> 00:02:59.280]  你有沒有想到
[00:02:59.280 --> 00:03:02.000]  所以我們在今天早晨
[00:03:02.000 --> 00:03:04.120]  我們經歷的恩惠
[00:03:04.120 --> 00:03:05.880]  我們的生命很富人
[00:03:05.880 --> 00:03:07.680]  因為幸運
[00:03:07.680 --> 00:03:09.280]  我們要做點不平
