
[00:00:00.000 --> 00:00:05.480]  今天和大家分享的 選了的人物就是一個舊約的人物
[00:00:05.480 --> 00:00:11.560]  一個相對來說沒有那麼顯眼的一個人物
[00:00:11.560 --> 00:00:17.600]  那麽 以撒 阿巴拉罕 以撒 瓦國
[00:00:17.600 --> 00:00:22.480]  三位以色列的列祖 在他們三個人中間
[00:00:22.480 --> 00:00:25.680]  以撒相對來說就是低調一點的
[00:00:25.680 --> 00:00:30.320]  如果打開《創世紀》看他們的記載
[00:00:30.320 --> 00:00:33.760]  從十二章開始到差不多二十五章
[00:00:33.760 --> 00:00:37.280]  阿巴拉罕呼召到他離開世界
[00:00:37.280 --> 00:00:40.400]  都是相當長很多的記錄
[00:00:40.400 --> 00:00:46.960]  瓦國就是由二十七章 二十八章左右開始記載他的生平
[00:00:46.960 --> 00:00:51.520]  一直到三十幾章 一直到他的十二個後代
[00:00:51.520 --> 00:00:53.920]  一直到《創世紀》的尾
[00:00:53.920 --> 00:00:58.240]  創瓦國的記載的事件也是相當多的
[00:00:58.240 --> 00:01:01.840]  中間有一個叫以撒
[00:01:01.840 --> 00:01:06.080]  以撒的記載的經文 以他為主角的經文
[00:01:06.080 --> 00:01:09.280]  其實差不多只有這一章 今天這一章聖經
[00:01:09.280 --> 00:01:11.680]  《創世紀》的二十六章
[00:01:11.680 --> 00:01:14.640]  我們中間不知道有哪一個的弟兄姊妹
[00:01:14.640 --> 00:01:17.200]  你在家裏面排行在中間的
[00:01:17.200 --> 00:01:19.680]  即你不是大的也不是小的
[00:01:19.680 --> 00:01:25.040]  可能你會體會排行在中間的兄弟
[00:01:25.040 --> 00:01:28.240]  通常來說都會被忽略的一個
[00:01:28.240 --> 00:01:29.920]  所以今天我們要看看這個
[00:01:29.920 --> 00:01:32.960]  這位好像被忽略的一位的列祖
[00:01:32.960 --> 00:01:38.560]  在他人生裏面怎樣經歷神那種的賜福
[00:01:38.560 --> 00:01:43.280]  今天看的經文是二十六章
[00:01:43.280 --> 00:01:45.280]  《創世紀》一至三十三節
[00:01:45.280 --> 00:01:51.360]  這章的聖經裏面特別說以撒
[00:01:51.360 --> 00:01:53.920]  在他爸爸阿伯拉罕離開世界之後
[00:01:53.920 --> 00:01:55.680]  他怎樣與神相遇
[00:01:55.680 --> 00:01:58.960]  他怎樣經歷在他生平裏面一次很大的饑荒
[00:01:58.960 --> 00:02:02.880]  他離開了他居住的以色列的南地
[00:02:02.880 --> 00:02:04.720]  即別士巴那個地方
[00:02:04.720 --> 00:02:07.440]  然後去到另外一處的地方叫基拉爾
[00:02:07.440 --> 00:02:11.040]  一直暫時居住 在那裏有些遭遇
