
[00:00:00.000 --> 00:00:04.000]  各位朋友、各位頂子妹新年快樂!
[00:00:04.000 --> 00:00:10.000]  先考考你,不要看日曆,不要看手機,今天年初幾?
[00:00:10.000 --> 00:00:15.000]  有些很聰明,高五隻手指
[00:00:15.000 --> 00:00:21.000]  今天年初五,也是我們中國人的新年
[00:00:21.000 --> 00:00:24.000]  首先,都很想趁著這個機會
[00:00:24.000 --> 00:00:30.000]  表達對昨天在這裏所有服侍的頂子妹同工的衷心的欣賞
[00:00:30.000 --> 00:00:33.000]  我昨天也有來,不過我靜悄悄走進來
[00:00:33.000 --> 00:00:37.000]  又拿了些麥芽糖餅吃
[00:00:37.000 --> 00:00:41.000]  又見到你們充滿著笑容
[00:00:41.000 --> 00:00:43.000]  上帝也是透過教會
[00:00:43.000 --> 00:00:47.000]  去讓更多人有機會認識
[00:00:47.000 --> 00:00:49.000]  一方面我們中國的文化
[00:00:49.000 --> 00:00:51.000]  另一方面都可以有機會認識神
[00:00:51.000 --> 00:00:56.000]  我們今天是新年,我們暫停說一次登山補訓
[00:00:56.000 --> 00:00:59.000]  我們說一個很重要的題目
[00:00:59.000 --> 00:01:02.000]  「隨舊迎新作新日」
[00:01:02.000 --> 00:01:07.000]  「炮竹一聲隨舊歲,屠夫萬丈又更新」
[00:01:07.000 --> 00:01:10.000]  大家記得,新年的時候
[00:01:10.000 --> 00:01:12.000]  你記不記得你小時候怎樣過新年?
[00:01:12.000 --> 00:01:14.000]  我小時候很期待新年
[00:01:14.000 --> 00:01:17.000]  新年很多東西都是新的
[00:01:17.000 --> 00:01:20.000]  我們以前沒那麼容易買衣服
[00:01:20.000 --> 00:01:22.000]  新年有新衣服
[00:01:22.000 --> 00:01:25.000]  以前沒那麼容易有鞋,新年有新鞋
[00:01:25.000 --> 00:01:29.000]  以前每逢過新年都是特別開心的
[00:01:29.000 --> 00:01:33.000]  當然有些利是錢是小朋友最開心的
[00:01:33.000 --> 00:01:38.000]  到長大之後結了婚就不是那麼開心
[00:01:38.000 --> 00:01:42.000]  因為新年要反過來
[00:01:42.000 --> 00:01:44.000]  不能收利是就要派利是
[00:01:44.000 --> 00:01:46.000]  來了英國也有一個很開心的
[00:01:46.000 --> 00:01:49.000]  就是我們不用派利是
[00:01:49.000 --> 00:01:52.000]  新年什麼都要新的
[00:01:52.000 --> 00:01:56.000]  連派利是的銀紙都要新的
[00:01:56.000 --> 00:02:01.000]  有時候派一張舊銀紙好像不太舒服
[00:02:01.000 --> 00:02:04.000]  最好他不要在我面前拆
[00:02:04.000 --> 00:02:06.000]  拆完之後好像不太好
[00:02:06.000 --> 00:02:09.000]  我們今天有一節的聖經
[00:02:09.000 --> 00:02:11.000]  我們今天說的聖經不多
[00:02:11.000 --> 00:02:13.000]  首先我也想歡迎一下
[00:02:13.000 --> 00:02:17.000]  有沒有一些在今天第一次來教會的新朋友
[00:02:17.000 --> 00:02:21.000]  新朋友是你的朋友、家人邀請你來的
[00:02:21.000 --> 00:02:24.000]  我也是新的,所以我和你一起舉手
[00:02:24.000 --> 00:02:26.000]  有沒有一些是第一次來的?
[00:02:26.000 --> 00:02:29.000]  第一次來的,好啊好啊,歡迎你
[00:02:29.000 --> 00:02:30.000]  歡迎你,歡迎你
[00:02:30.000 --> 00:02:32.000]  還有沒有?還有沒有?
[00:02:32.000 --> 00:02:35.000]  有多少是今天第一次來的?
[00:02:35.000 --> 00:02:37.000]  今天第一次來的
[00:02:37.000 --> 00:02:40.000]  證明大家沒有睡覺
[00:02:40.000 --> 00:02:45.000]  首先我們都很開心歡迎每一位
[00:02:45.000 --> 00:02:47.000]  特別是新來的朋友
[00:02:47.000 --> 00:02:49.000]  希望今天我們思想完這個信息之後
[00:02:49.000 --> 00:02:53.000]  你能夠得到一個人生裏面很寶貴的禮物
[00:02:53.000 --> 00:02:55.000]  今天是呼音主日
[00:02:55.000 --> 00:02:57.000]  但是另一方面我們都鼓勵
[00:02:57.000 --> 00:03:00.000]  我們已經信了很多年的耶穌基督徒
[00:03:00.000 --> 00:03:02.000]  都思想下一節
[00:03:02.000 --> 00:03:05.000]  我自己個人很喜歡的一節聖經
[00:03:05.000 --> 00:03:07.000]  你慢慢聽我說得多
[00:03:07.000 --> 00:03:08.000]  我就很喜歡讀聖經
[00:03:08.000 --> 00:03:12.000]  不如我們讀回今天我選讀的這兩節的聖經
[00:03:12.000 --> 00:03:17.000]  可能都是後書五章十七到十八節預備起
[00:03:17.000 --> 00:03:21.000]  「若有人在基督裏,他就是新造的人」
[00:03:21.000 --> 00:03:24.000]  「舊事已過,都變成新的了」
[00:03:24.000 --> 00:03:27.000]  「一切都是出於上帝」
[00:03:27.000 --> 00:03:31.000]  「他藉著基督,使我們與他和好」
[00:03:31.000 --> 00:03:36.000]  「有彰勸人與他和好的積分,賜給我們」
[00:03:36.000 --> 00:03:38.000]  今天我們思想做新人
[00:03:38.000 --> 00:03:40.000]  我們一起祈禱先,好嗎?
[00:03:40.000 --> 00:03:43.000]  天父,求祢的聖靈在我們眾人的心裏
[00:03:43.000 --> 00:03:46.000]  亦都在講的、聽的心裏動工
[00:03:46.000 --> 00:03:50.000]  讓我們同去仰望主的憐憫
[00:03:50.000 --> 00:03:54.000]  讓聖經的說話真的帶著盼望、帶著能力
[00:03:54.000 --> 00:04:00.000]  在新的一年裏提醒我們應該怎樣去作一個新造的人
[00:04:00.000 --> 00:04:03.000]  我們求祢越勒誰聽我們的禱告
[00:04:03.000 --> 00:04:06.000]  奉耶穌基督的聖名
[00:04:06.000 --> 00:04:08.000]  阿們
[00:04:08.000 --> 00:04:10.000]  今天我們要講的題目就是
[00:04:10.000 --> 00:04:13.000]  「隨舊,迎新作新人」
[00:04:13.000 --> 00:04:17.000]  隨舊,其實舊的事情
[00:04:17.000 --> 00:04:19.000]  從某方面來說
[00:04:19.000 --> 00:04:23.000]  我們經常都覺得
[00:04:23.000 --> 00:04:29.000]  對我們來說是很熟悉、很親切
[00:04:29.000 --> 00:04:32.000]  使我們念念不忘,依依不捨
[00:04:32.000 --> 00:04:35.000]  不是所有事情都是新的好
[00:04:35.000 --> 00:04:38.000]  譬如我們剛才講過新鞋都好的
[00:04:38.000 --> 00:04:41.000]  不過要穿久一點才舒服
