
[00:00:00.000 --> 00:00:08.400]  所以這篇道是給我們作為門徒的一個很重要的提醒
[00:00:08.400 --> 00:00:12.080]  當我們去看八福的時候
[00:00:12.080 --> 00:00:15.040]  如果我們看聖經第一節開始
[00:00:15.040 --> 00:00:19.320]  我們就清楚知道耶穌看哪一群人
[00:00:19.320 --> 00:00:21.600]  他就上了山
[00:00:21.600 --> 00:00:23.360]  上了山他就坐下
[00:00:23.360 --> 00:00:26.920]  主耶穌坐下的時候就不同站著
[00:00:26.920 --> 00:00:31.760]  坐在那裡就要很正經、很專注地去說
[00:00:31.760 --> 00:00:34.800]  那群門徒也都去到他的前面
[00:00:34.800 --> 00:00:37.440]  那群門徒去到他面前的時候
[00:00:37.440 --> 00:00:40.320]  他就要去做一個正式的教導
[00:00:40.320 --> 00:00:42.720]  當然門徒就不只是十二人
[00:00:42.720 --> 00:00:48.240]  而是所有是根據學習的一群門徒
[00:00:48.240 --> 00:00:51.640]  所以今天我們只是看三個福而已
[00:00:51.640 --> 00:00:54.440]  八福裡面其中三個
[00:00:54.440 --> 00:00:58.600]  但是每一個弟兄姊妹我們都應該很熟悉八福
[00:00:58.600 --> 00:01:03.920]  因為如果你信耶穌一段時間的時候
[00:01:03.920 --> 00:01:06.880]  你都會看過這一段經文
[00:01:06.880 --> 00:01:11.000]  說有關福氣
[00:01:11.000 --> 00:01:14.360]  當我們去看這一段聖經的時候
[00:01:14.360 --> 00:01:16.200]  其實說我們作為門徒
[00:01:16.200 --> 00:01:17.800]  在主耶穌基督的恩典裡面
[00:01:17.800 --> 00:01:20.600]  我們應該有的生命氣質
[00:01:20.600 --> 00:01:25.320]  其實這個生命氣質也是為著要去培養我們
[00:01:25.320 --> 00:01:28.160]  告訴我們作為神的僕人器皿
[00:01:28.160 --> 00:01:31.040]  我們要去擴展神的國
[00:01:31.040 --> 00:01:33.440]  所以當耶穌坐下的時候
[00:01:33.440 --> 00:01:37.160]  就和一群門徒去傾心吐怡
[00:01:37.160 --> 00:01:40.320]  說他肺腑之言
[00:01:40.320 --> 00:01:41.440]  福分
[00:01:41.440 --> 00:01:44.280]  在這個福裡面
[00:01:44.280 --> 00:01:49.280]  希臘文的詞彙就是Makarion
[00:01:49.280 --> 00:01:53.320]  就是這個福特別用來描述神
[00:01:53.320 --> 00:01:55.240]  一個具神性的
[00:01:55.240 --> 00:01:58.160]  就好像神的喜樂
[00:01:58.160 --> 00:02:03.480]  或者是我們生命裡面一種內在的滿足的那份喜樂
[00:02:03.480 --> 00:02:08.800]  而這一份的喜樂是可以很清澈、很平靜的
[00:02:08.800 --> 00:02:12.040]  如果是一個福氣的時候
[00:02:12.040 --> 00:02:14.600]  其實就是在說一個恭賀的說話
[00:02:14.600 --> 00:02:16.360]  有這個特質的時候
[00:02:16.360 --> 00:02:18.280]  主耶穌就說「有福了」
[00:02:18.280 --> 00:02:20.080]  是一個道賀
[00:02:20.080 --> 00:02:24.120]  所以當主耶穌在上山的時候
[00:02:24.120 --> 00:02:27.640]  我們傳統說這是一個山上的補分
[00:02:27.640 --> 00:02:30.960]  就去告訴一群的門徒
[00:02:30.960 --> 00:02:35.280]  我們應該怎樣可以得到這個福氣
[00:02:35.280 --> 00:02:39.720]  所以第一個福在五章的第三節
[00:02:39.720 --> 00:02:41.000]  五章的第三節
[00:02:41.000 --> 00:02:48.720]  我這裡大綱仍然是用虛心的人得天國
[00:02:48.720 --> 00:02:51.320]  三個字三個字這樣配合
[00:02:51.320 --> 00:02:53.000]  但是如果我們和修本
[00:02:53.000 --> 00:02:56.640]  就已經用了心靈貧窮的人有福了
[00:02:56.640 --> 00:03:02.520]  因為天國是他們的
[00:03:02.520 --> 00:03:05.480]  什麼是心靈貧窮?
[00:03:05.480 --> 00:03:07.960]  如果說虛心或者心靈貧窮
[00:03:07.960 --> 00:03:10.680]  或者靈裡面貧窮去表達
[00:03:10.680 --> 00:03:13.600]  在某些處境裡面我們是無助的
[00:03:13.600 --> 00:03:17.040]  我們需要完全的去倚靠信靠
[00:03:17.040 --> 00:03:19.280]  我們這位主這位神
[00:03:19.280 --> 00:03:22.520]  一份謙卑無助的處境
[00:03:22.520 --> 00:03:24.680]  會是怎樣的呢?
[00:03:24.680 --> 00:03:26.560]  認識我們自己是沒有什麼力量
[00:03:26.560 --> 00:03:29.520]  我們需要全心的去信靠神
[00:03:29.520 --> 00:03:31.160]  唯有在這個時候
[00:03:31.160 --> 00:03:35.000]  我們才能夠成為天國的子民
[00:03:35.000 --> 00:03:38.800]  我們作為一個虛心在神面前的人
[00:03:38.800 --> 00:03:41.560]  我們是馴服信靠在上主的裡面
[00:03:41.560 --> 00:03:45.800]  無論這是不是一個無助的處境
[00:03:45.800 --> 00:03:48.720]  頂尖末月以為一個完全無助的處境
[00:03:48.720 --> 00:03:49.680]  我們才倚靠
[00:03:49.680 --> 00:03:52.480]  很自然我們也會倚靠
[00:03:52.480 --> 00:03:57.920]  但是以自己的經文特質去表達
[00:03:57.920 --> 00:04:00.320]  就是無論我們在一個什麼樣的處境
[00:04:00.320 --> 00:04:04.400]  我們都在上主的面前知道自己的不足夠
[00:04:04.400 --> 00:04:06.200]  知道自己的貧乏
[00:04:06.200 --> 00:04:07.720]  知道自己的無助
[00:04:07.720 --> 00:04:13.080]  而需要時時刻刻的去倚靠
[00:04:13.080 --> 00:04:15.720]  今天港獨不知道為什麼
[00:04:15.720 --> 00:04:18.960]  昨晚很早就睡了
[00:04:18.960 --> 00:04:21.720]  九點多十點就上床準備睡了
[00:04:21.720 --> 00:04:24.440]  還想說去看一次廣章
[00:04:24.440 --> 00:04:28.440]  誰知道一躺在床上就很想睡了
[00:04:28.440 --> 00:04:31.960]  最後可能因為太早了
[00:04:31.960 --> 00:04:34.200]  兩點半就醒了
[00:04:34.200 --> 00:04:38.320]  兩點半醒了之後就在想
[00:04:38.320 --> 00:04:42.480]  今早要說的道
[00:04:42.480 --> 00:04:45.920]  想來想去想不到
[00:04:45.920 --> 00:04:51.840]  我覺得神祢想我怎樣去表達呢?
[00:04:51.840 --> 00:04:56.280]  安安靜靜在腦裡面再一次去看
[00:04:56.280 --> 00:05:01.160]  意思就是說重新再溫一次那個廣場
