
[00:00:00.000 --> 00:00:01.520]  弟兄姊妹 平安
[00:00:01.520 --> 00:00:04.480]  很感恩我們可以在整個街上
[00:00:04.480 --> 00:00:07.000]  一起有敬拜的時間
[00:00:07.000 --> 00:00:10.320]  今天是第四個張琳琦的主日
[00:00:10.320 --> 00:00:14.720]  是二晚內一個充滿愛和平的主日
[00:00:14.720 --> 00:00:17.320]  距離聖誕節又走近多一步
[00:00:17.320 --> 00:00:19.200]  下個星期就是
[00:00:19.200 --> 00:00:21.840]  張琳琦提醒我們準備好
[00:00:21.840 --> 00:00:26.200]  自己去慶祝基督第一次的降臨
[00:00:26.200 --> 00:00:31.600]  亦都是預備我們期待著基督第二次的降臨
[00:00:31.600 --> 00:00:34.560]  教會在這段時間也預備了
[00:00:34.560 --> 00:00:37.760]  佛想的禱告題材
[00:00:37.760 --> 00:00:42.040]  與我們一起好好預備聖誕節
[00:00:42.040 --> 00:00:44.760]  而昔日先知以賽亞所言的
[00:00:44.760 --> 00:00:48.040]  以馬來彌 上帝與我們同在
[00:00:48.040 --> 00:00:51.800]  這正正是聖誕真正的意思
[00:00:51.800 --> 00:00:57.280]  就是上帝在人間職耶穌與人同在
[00:00:57.280 --> 00:01:02.720]  我們今天從第一次預言上帝與人同在
[00:01:02.720 --> 00:01:04.520]  這個以馬來彌的記號
[00:01:04.520 --> 00:01:07.680]  記在《以賽亞書》七章一至十六節的經文
[00:01:07.680 --> 00:01:11.000]  我們一起看看以馬來彌這個記號
[00:01:11.000 --> 00:01:12.480]  對我們的意義
[00:01:12.480 --> 00:01:16.400]  以及給我們每一個作為門徒的提醒
[00:01:16.400 --> 00:01:19.560]  讓我們先一起同心吐槽
[00:01:21.800 --> 00:01:29.040]  主多謝祢為我們預備了救恩
[00:01:29.040 --> 00:01:33.520]  願祢帶領我們
[00:01:33.520 --> 00:01:36.120]  特別當我們再次看
[00:01:36.120 --> 00:01:38.320]  《以賽亞書》這段經文的時候
[00:01:38.320 --> 00:01:42.560]  祢幫助我們看到
[00:01:42.560 --> 00:01:45.320]  這個以馬來彌的記號
[00:01:45.320 --> 00:01:47.720]  給我們的提醒
[00:01:47.720 --> 00:01:55.080]  讓我們同樣得著祢自己的詛咒和幫助
[00:01:55.080 --> 00:01:57.520]  垂聽我們同心吐槽
[00:01:57.520 --> 00:01:59.520]  奉耶穌基督的命求
[00:01:59.520 --> 00:02:01.520]  阿們
