
[00:00:00.000 --> 00:00:06.000]  今年有機會與大家在講壇裡分享有關福音的訊息
[00:00:06.000 --> 00:00:10.000]  特別來思想關於聖靈的工作
[00:00:10.000 --> 00:00:14.000]  在過去三次裡提到
[00:00:14.000 --> 00:00:18.000]  聖靈如何在人生命裡工作
[00:00:18.000 --> 00:00:22.000]  包括了尼哥底姆和撒瑪利亞的婦人
[00:00:22.000 --> 00:00:27.000]  聖靈如何在她的生命裡將新的生命賜給她
[00:00:27.000 --> 00:00:35.000]  有像尼哥底姆慢慢在懷疑到經歷到對神的一份信靠
[00:00:35.000 --> 00:00:37.000]  也有像撒瑪利亞的婦人一樣
[00:00:37.000 --> 00:00:40.000]  即時的生命有很大的轉變
[00:00:40.000 --> 00:00:43.000]  帶著喜樂來見證神
[00:00:43.000 --> 00:00:46.000]  過去一次與大家思想到耶穌基督
[00:00:46.000 --> 00:00:48.000]  當祂臨別的時候
[00:00:48.000 --> 00:00:53.000]  祂要與這群門徒解釋聖靈的工作
[00:00:53.000 --> 00:00:56.000]  在這裡抽出兩個重點來分享
[00:00:56.000 --> 00:01:01.000]  就是聖靈是與我們同在的神
[00:01:01.000 --> 00:01:04.000]  是永遠與我們同在的神
[00:01:04.000 --> 00:01:05.000]  當我們順著這一刻
[00:01:05.000 --> 00:01:07.000]  聖靈住在我們生命裡
[00:01:07.000 --> 00:01:10.000]  就一生保佑帶領著我們
[00:01:10.000 --> 00:01:15.000]  直到我們回到見三一的神的時間
[00:01:15.000 --> 00:01:19.000]  聖靈在我們的生命裡
[00:01:19.000 --> 00:01:20.000]  今天和大家來思想的是
[00:01:20.000 --> 00:01:24.000]  當耶穌基督繼續向這群門徒講到聖靈的工作的時候
[00:01:24.000 --> 00:01:28.000]  我們要與聖靈一起同作見證
[00:01:28.000 --> 00:01:33.000]  我們願意在人生裡高舉耶穌基督的福音
[00:01:33.000 --> 00:01:36.000]  去宣揚神在我們生命裡的作為
[00:01:36.000 --> 00:01:41.000]  不是憑我們自己的血氣、知識、能力
[00:01:41.000 --> 00:01:44.000]  是靠著聖靈住在我們生命裡
[00:01:44.000 --> 00:01:49.000]  祂給我們的力量來做一個生命的見證
[00:01:49.000 --> 00:01:54.000]  當時的門徒跟著耶穌這三年多的日子
[00:01:54.000 --> 00:01:55.000]  受了耶穌很多的教訓
[00:01:55.000 --> 00:01:58.000]  經歷了很多耶穌的神蹟奇事
[00:01:58.000 --> 00:02:00.000]  但是耶穌要離開他們的時候
[00:02:00.000 --> 00:02:03.000]  他們的生命裡是非常軟弱
[00:02:03.000 --> 00:02:05.000]  但是耶穌提醒他們
[00:02:05.000 --> 00:02:06.000]  當聖靈降臨的時候
[00:02:06.000 --> 00:02:10.000]  他們會變成不一樣的信徒
[00:02:10.000 --> 00:02:12.000]  能夠在神自己的國度裡
[00:02:12.000 --> 00:02:19.000]  成為一群忠心來到至死的見證人
[00:02:19.000 --> 00:02:23.000]  當我們看到士郎主人的時候
[00:02:23.000 --> 00:02:26.000]  一個很懦弱的彼得
[00:02:26.000 --> 00:02:29.000]  三次不認主的彼得
[00:02:29.000 --> 00:02:32.000]  他在海邊面對耶穌的時候
[00:02:32.000 --> 00:02:35.000]  不懂得回答耶穌怎樣問
[00:02:35.000 --> 00:02:38.000]  「你愛我比這些更深」
[00:02:38.000 --> 00:02:39.000]  他只能夠說
[00:02:39.000 --> 00:02:42.000]  「主,你知道我愛你」
