
[00:00:00.000 --> 00:00:07.000]  今年我會打算跟大家說小仙之書
[00:00:07.000 --> 00:00:12.000]  小仙之書共有多少卷?
[00:00:12.000 --> 00:00:17.000]  12小仙之,即是有12卷小仙之書
[00:00:17.000 --> 00:00:21.000]  根據現時我們手上無論什麼版本
[00:00:21.000 --> 00:00:25.000]  我們用聖經的編排次序來看
[00:00:25.000 --> 00:00:31.000]  小仙之書是放在舊約後面的部分
[00:00:31.000 --> 00:00:34.000]  就是在新約之前
[00:00:34.000 --> 00:00:39.000]  頭一卷小仙之書就是荷西亞書
[00:00:39.000 --> 00:00:42.000]  就是今天要說的這一卷
[00:00:42.000 --> 00:00:46.000]  最後一卷小仙之書就是馬拉基書
[00:00:46.000 --> 00:00:51.000]  再揭就是新約馬太福音
[00:00:51.000 --> 00:00:58.000]  這12卷小仙之書之所以稱為小仙之書
[00:00:58.000 --> 00:01:01.000]  你知道是什麼原因嗎?
[00:01:01.000 --> 00:01:10.000]  是不是因為這班小仙之是年紀輕
[00:01:10.000 --> 00:01:13.000]  還是他們身材長得細小
[00:01:13.000 --> 00:01:17.000]  還是他們的身份地位低微
[00:01:17.000 --> 00:01:19.000]  所以叫做小仙之呢?
[00:01:19.000 --> 00:01:27.000]  不是,他們叫小仙之
[00:01:27.000 --> 00:01:35.000]  是因為他們寫的仙之書較為簡短
[00:01:35.000 --> 00:01:39.000]  篇幅很細
[00:01:39.000 --> 00:01:43.000]  所以稱它為小仙之書
[00:01:43.000 --> 00:01:46.000]  相對來說,大仙之書
[00:01:46.000 --> 00:01:48.000]  我們知道有大仙之書
[00:01:48.000 --> 00:01:52.000]  大仙之書的篇幅較為長
[00:01:52.000 --> 00:01:55.000]  譬如以賽亞書
[00:01:55.000 --> 00:02:01.000]  有66章,是很長的
[00:02:01.000 --> 00:02:07.000]  相對來說,有些小仙之書的確是很短的
[00:02:07.000 --> 00:02:09.000]  譬如俄巴底亞書
[00:02:09.000 --> 00:02:12.000]  不知道大家聽過這個書名沒有
[00:02:12.000 --> 00:02:16.000]  俄巴底亞書只有一章,一版就搞定了
[00:02:16.000 --> 00:02:19.000]  哈蓋書,另外一個小仙之
[00:02:19.000 --> 00:02:22.000]  哈蓋書只有兩章
[00:02:22.000 --> 00:02:25.000]  揭一頁也沒有了
[00:02:25.000 --> 00:02:32.000]  就是因為這些小仙書很簡短
[00:02:32.000 --> 00:02:40.000]  舊約的文士甚至將12卷小仙之書
[00:02:40.000 --> 00:02:44.000]  將它編排成一個大卷
[00:02:44.000 --> 00:02:47.000]  寫在同一個皮卷裡,一卷就搞定了
