
[00:00:00.000 --> 00:00:03.000]  各位來賓 各位朋友 各位姐妹 早安
[00:00:03.000 --> 00:00:06.000]  星期五大家知不知道是什麼日子?
[00:00:06.000 --> 00:00:08.000]  是春分
[00:00:08.000 --> 00:00:12.000]  春分即是說 由農曆初一到星期五
[00:00:12.000 --> 00:00:14.000]  春天已經過了一半
[00:00:14.000 --> 00:00:18.000]  那你說 啊 不是吧 剛剛才開始春天
[00:00:18.000 --> 00:00:23.000]  接著這個春天去到五月五號 立夏就是完的了
[00:00:23.000 --> 00:00:27.000]  那大家好好享受上帝給的春天
[00:00:27.000 --> 00:00:30.000]  時來的春天 但是都是好的
[00:00:30.000 --> 00:00:32.000]  讓我們提同心討好
[00:00:32.000 --> 00:00:35.000]  慈悲人愛天父 我們讚美多謝你
[00:00:35.000 --> 00:00:38.000]  你讓我們有春夏秋冬四季
[00:00:38.000 --> 00:00:40.000]  主啊 我們每天都能夠經歷
[00:00:40.000 --> 00:00:43.000]  見到你自己的心恩厚愛
[00:00:43.000 --> 00:00:47.000]  主啊 讓我們更加全心全意的來敬拜 親近你
[00:00:47.000 --> 00:00:49.000]  主啊 求你今日張開你自己的話語
[00:00:49.000 --> 00:00:52.000]  聲令去引導我們進入真理
[00:00:52.000 --> 00:00:55.000]  讓我們明白 聽到 又行到
[00:00:55.000 --> 00:00:59.000]  奉救主耶穌基督 聖名而求 阿們
[00:01:26.000 --> 00:01:28.000]  這個就是聖經給我們弟兄姊妹
[00:01:28.000 --> 00:01:33.000]  屬神的人的一個形象 一個提醒
[00:01:33.000 --> 00:01:37.000]  但是有人說 很可惜 過了二千多年
[00:01:37.000 --> 00:01:40.000]  原來這種動物慢慢會演變
[00:01:40.000 --> 00:01:44.000]  演變到這種動物 叫做箭豬
[00:01:44.000 --> 00:01:48.000]  箭豬的特性就是他們不會一起 很近
[00:01:48.000 --> 00:01:50.000]  因為當他們一起很近的時候
[00:01:50.000 --> 00:01:56.000]  就會彼此刺傷 甚至去到一個最差的情況
[00:01:56.000 --> 00:02:00.000]  就是當箭豬受到很大的敵人的攻擊
[00:02:00.000 --> 00:02:03.000]  他身上的箭還會射出來
[00:02:03.000 --> 00:02:08.000]  有時候在基督徒的群體裏面
[00:02:08.000 --> 00:02:11.000]  我們思想我們是不是真的像羊一樣
[00:02:11.000 --> 00:02:15.000]  能夠黏在一起 大家得到溫暖
[00:02:15.000 --> 00:02:19.000]  得到一個一起跟隨的牧人
[00:02:19.000 --> 00:02:21.000]  還是說好像箭豬一樣
[00:02:21.000 --> 00:02:26.000]  有人形容說 可能有時候有團 但是就沒有契
[00:02:26.000 --> 00:02:29.000]  有交 就沒有通
[00:02:29.000 --> 00:02:32.000]  有同 但是就沒有同心
[00:02:32.000 --> 00:02:36.000]  求神幫助我們 給我們好的提醒
[00:02:36.000 --> 00:02:38.000]  有人說 更加演變到這種動物
[00:02:38.000 --> 00:02:42.000]  演變到更加厲害的武器 叫做潛水艇
[00:02:42.000 --> 00:02:47.000]  就是去到一個情況 就是我們太過想保護自己
[00:02:47.000 --> 00:02:51.000]  想遠離這個群體 以致我們去到潛水隱形
[00:02:51.000 --> 00:02:55.000]  盼望我們都能夠在教會 在之禮當中
[00:02:55.000 --> 00:03:00.000]  能夠一個去到群體 一起去到跟隨神的生活
[00:03:00.000 --> 00:03:02.000]  今天透過一段聖經
[00:03:02.000 --> 00:03:05.000]  就是時詩的八章三十三至九章五十七節
[00:03:05.000 --> 00:03:07.000]  一起思想一個題目
[00:03:07.000 --> 00:03:10.000]  思想到我們怎樣在這個群體裏面
[00:03:10.000 --> 00:03:16.000]  我們彼此的相處 彼此的相愛 彼此的建立
[00:03:16.000 --> 00:03:20.000]  長文講到基奠這個時詩
[00:03:20.000 --> 00:03:28.000]  他去到帶領以色列人 去到攻擊米顛人
[00:03:28.000 --> 00:03:32.000]  上帝就透過基奠這個時詩 拯救了他們
[00:03:32.000 --> 00:03:36.000]  好了 跟著國中太平四十年
[00:03:36.000 --> 00:03:39.000]  然後這個時詩死了
[00:03:39.000 --> 00:03:43.000]  大家可能讀過時詩記的時間就會想
[00:03:43.000 --> 00:03:46.000]  會不會跟著又是一個新的循環
[00:03:46.000 --> 00:03:50.000]  就是以色列人又去拜勾象了
[00:03:50.000 --> 00:03:52.000]  跟著上帝又興起另一個時詩呢
[00:03:52.000 --> 00:03:55.000]  故事都是這樣 時詩記
[00:03:55.000 --> 00:04:00.000]  但聖經這裏給我們見到 突然間有點不同
[00:04:00.000 --> 00:04:03.000]  這裏講到其實基奠
[00:04:03.000 --> 00:04:05.000]  我們再翻看他的故事的時間
[00:04:05.000 --> 00:04:10.000]  第六 第七章可以說是基奠的興起 悲神的使用
[00:04:10.000 --> 00:04:12.000]  但之前大家可能聽過的道
[00:04:12.000 --> 00:04:16.000]  就是第八章開始 基奠去到墮落
[00:04:16.000 --> 00:04:21.000]  去到屬靈的高峰 慢慢地走下坡
[00:04:21.000 --> 00:04:24.000]  不單止是第八章 甚至今天的第九章
[00:04:24.000 --> 00:04:26.000]  我們見到他這個墮落 這個軟弱
[00:04:26.000 --> 00:04:32.000]  甚至帶到下一代 亞比美勒這個兒子的身上
[00:04:32.000 --> 00:04:38.000]  由本來是去到跟隨外邦 敬拜外邦的假神
[00:04:38.000 --> 00:04:42.000]  轉移到基奠 去到設立了一個以弗德
[00:04:42.000 --> 00:04:47.000]  自己以色列人就建立了一個偶像 去到敬拜他
[00:04:47.000 --> 00:04:50.000]  又去到跟外人去到爭戰
[00:04:50.000 --> 00:04:52.000]  接著去到第八章給我們見到
[00:04:52.000 --> 00:04:57.000]  基奠就去到跟自己的同胞去爭戰 殺害了自己的同胞
[00:04:57.000 --> 00:05:01.000]  而這些情況繼續延續到第九章
[00:05:01.000 --> 00:05:04.000]  第八章三十三就講到基奠死了
[00:05:04.000 --> 00:05:07.000]  以色列人就去隨從巴力行淫
[00:05:07.000 --> 00:05:11.000]  他們以一個神叫巴力比利土為他們的神明
[00:05:11.000 --> 00:05:14.000]  上個星期馮牧師和大家分享過
[00:05:14.000 --> 00:05:17.000]  巴力比利土的意思就是納約的神
[00:05:17.000 --> 00:05:20.000]  或者是和巴力有盟約
[00:05:20.000 --> 00:05:26.000]  這班以色列人本來應該只是和上帝建立一個盟約
[00:05:26.000 --> 00:05:28.000]  再不可以和其他人建立
[00:05:28.000 --> 00:05:33.000]  盟約是雙方應該是中正的
[00:05:33.000 --> 00:05:37.000]  就好像我們每一個已經認識耶穌基督的人
[00:05:37.000 --> 00:05:41.000]  都是透過耶穌基督的補血建立了一個盟約的關係
[00:05:41.000 --> 00:05:45.000]  我們應該由信主那一刻直到我們離開
[00:05:45.000 --> 00:05:50.000]  都應該是緊緊地跟隨神 同神建立這個關係
[00:05:50.000 --> 00:05:53.000]  很可惜 可能你會認識一些靈精
[00:05:53.000 --> 00:05:57.000]  或者我們曾幾何時我們都會好像以色列人這樣
[00:05:57.000 --> 00:06:00.000]  我們慢慢以一些我們設立的偶像
[00:06:00.000 --> 00:06:04.000]  或者一些別的偶像 這個世界的事物
[00:06:04.000 --> 00:06:06.000]  來去取代我們的上帝
[00:06:06.000 --> 00:06:12.000]  可能是金錢 可能是工作 可能是其他等等
[00:06:12.000 --> 00:06:14.000]  他想去提醒我們
[00:06:14.000 --> 00:06:17.000]  我們要單單以耶和華上帝為我們的神
[00:06:17.000 --> 00:06:20.000]  一個與我們建立這個盟約關係的上帝
[00:06:20.000 --> 00:06:22.000]  以色列人沒有這樣做
[00:06:22.000 --> 00:06:24.000]  他們去到忘記耶和華上帝
[00:06:24.000 --> 00:06:27.000]  他們都不照耶路巴力 即是基電
[00:06:27.000 --> 00:06:30.000]  向他們所施的恩惠 善待他們
[00:06:30.000 --> 00:06:33.000]  他們怎樣不去善待基電的家呢?
[00:06:33.000 --> 00:06:35.000]  然後聖經又說
[00:06:35.000 --> 00:06:38.000]  耶路巴力的兒子亞比米勒來到事件
[00:06:38.000 --> 00:06:42.000]  他母舅 即是他的媽媽外家的家
[00:06:42.000 --> 00:06:45.000]  亞比米勒 大家可能都記得的意思
[00:06:45.000 --> 00:06:47.000]  就是「我父親是王」這個意思
[00:06:47.000 --> 00:06:50.000]  基電改這個名字肯定很有野心
[00:06:50.000 --> 00:06:52.000]  即是基電改兒子的名字
[00:06:52.000 --> 00:06:55.000]  即是他自己都是一個野心 做一個王
[00:06:55.000 --> 00:06:56.000]  在第八章我們見到
[00:06:56.000 --> 00:06:58.000]  而他這個遺傳的基因
[00:06:58.000 --> 00:07:02.000]  甚至乎落到亞比米勒的身上
[00:07:02.000 --> 00:07:04.000]  亞比米勒來到事件
[00:07:04.000 --> 00:07:07.000]  去到事件跟他的家人說
[00:07:07.000 --> 00:07:10.000]  是基電的眾子 七十個人
[00:07:10.000 --> 00:07:13.000]  都來到治理你們還是一個人
[00:07:13.000 --> 00:07:16.000]  這個人呼之欲出就是他自己
[00:07:16.000 --> 00:07:18.000]  因為你要記得 我是你的骨肉
[00:07:18.000 --> 00:07:24.000]  即是這個基電是很懂得捉人的心理
[00:07:24.000 --> 00:07:28.000]  這班事件人可能是不甘心
[00:07:28.000 --> 00:07:31.000]  成為馬來西亞一個二等的城市
[00:07:31.000 --> 00:07:33.000]  這張圖大家看到
[00:07:33.000 --> 00:07:36.000]  上方的圈就是俄弗他 就是基電的家
[00:07:36.000 --> 00:07:38.000]  是馬來西亞支派的一份子
[00:07:38.000 --> 00:07:40.000]  下方的圈的中心事件
[00:07:40.000 --> 00:07:43.000]  也是馬來西亞支派的一份子
[00:07:43.000 --> 00:07:45.000]  兩個很不同的城市
[00:07:45.000 --> 00:07:48.000]  事件人就很想脫離
[00:07:48.000 --> 00:07:53.000]  這班基電的家庭的大齡
[00:07:53.000 --> 00:07:57.000]  而亞比米勒住在下面一點的地方
[00:07:57.000 --> 00:07:59.000]  那個叫做阿魯瑪的地方
[00:07:59.000 --> 00:08:03.000]  他們同樣來自事件的地方
[00:08:03.000 --> 00:08:07.000]  結果他們就臭味相投 一拍即合
[00:08:07.000 --> 00:08:09.000]  因為大家都有個野心
[00:08:09.000 --> 00:08:11.000]  亞比米勒就是有個野心
[00:08:11.000 --> 00:08:14.000]  去煽動這班事件人去造反
[00:08:14.000 --> 00:08:16.000]  就好像最近有個新聞
[00:08:16.000 --> 00:08:19.000]  說到烏克蘭的爭亂裏面
[00:08:19.000 --> 00:08:22.000]  有個地區叫做克里米亞
[00:08:22.000 --> 00:08:24.000]  結果他們就有個公投
[00:08:24.000 --> 00:08:28.000]  公投就是脫離烏克蘭
[00:08:28.000 --> 00:08:33.000]  因為他們的心去傾慕俄羅斯
[00:08:33.000 --> 00:08:38.000]  就好像這班事件人
[00:08:38.000 --> 00:08:42.000]  他們的心是傾慕亞比米勒
[00:08:42.000 --> 00:08:45.000]  他們怎樣做呢
[00:08:45.000 --> 00:08:47.000]  聖經講到
[00:08:47.000 --> 00:08:50.000]  他們在這個廟裏面拿了70個銀子
[00:08:50.000 --> 00:08:52.000]  即是一些黑錢
[00:08:52.000 --> 00:08:56.000]  來去僱傭一些僱傭兵
[00:08:56.000 --> 00:08:58.000]  一些匪類 巫奶
[00:08:58.000 --> 00:09:00.000]  來跟隨亞比米勒
[00:09:00.000 --> 00:09:02.000]  即是說他們一開始是烏合之眾
[00:09:02.000 --> 00:09:07.000]  都不是光明正大的
[00:09:07.000 --> 00:09:09.000]  然後他們用了70個銀子
[00:09:09.000 --> 00:09:11.000]  僱傭這些巫奶跟隨他
[00:09:11.000 --> 00:09:15.000]  而這個基殿的兒子亞比米勒
[00:09:15.000 --> 00:09:19.000]  就千里迢迢上去俄佛塔
[00:09:19.000 --> 00:09:21.000]  把耶路巴力
[00:09:21.000 --> 00:09:24.000]  即是基殿的70個兒子
[00:09:24.000 --> 00:09:27.000]  好想通通都殺死
[00:09:27.000 --> 00:09:29.000]  在一塊盆石上
[00:09:29.000 --> 00:09:32.000]  盆石在之前的聖經
[00:09:32.000 --> 00:09:34.000]  不斷都是一個立約的記號
[00:09:34.000 --> 00:09:37.000]  如今卻成為了一個罪惡
[00:09:37.000 --> 00:09:42.000]  犯罪的記號
[00:09:42.000 --> 00:09:45.000]  人的價值在這裏真是越來越渺小
[00:09:45.000 --> 00:09:49.000]  70個銀子的價值是多少呢
[00:09:49.000 --> 00:09:51.000]  根據當時的聖經
[00:09:51.000 --> 00:09:53.000]  利未記二十七章講到
[00:09:53.000 --> 00:09:56.000]  一個奴僕 一個奴隸
[00:09:56.000 --> 00:09:58.000]  只是值50個銀子
[00:09:58.000 --> 00:10:00.000]  即是說這70個兒子
[00:10:00.000 --> 00:10:03.000]  基殿這70個兒子
[00:10:03.000 --> 00:10:05.000]  只不過值一個奴僕
[00:10:05.000 --> 00:10:07.000]  多一點點的價值
[00:10:07.000 --> 00:10:09.000]  人的價值真是這麼渺小
[00:10:09.000 --> 00:10:11.000]  今天不知道大家
[00:10:11.000 --> 00:10:14.000]  你看人的價值是多少呢
[00:10:14.000 --> 00:10:17.000]  在香港以前就說
[00:10:17.000 --> 00:10:19.000]  養一個兒子要四百萬
[00:10:19.000 --> 00:10:21.000]  從小養到讀大學
