
[00:00:00.000 --> 00:00:02.680]  不經不覺 十屆已經講到第八屆了
[00:00:02.680 --> 00:00:05.500]  不經不覺 十屆裡面已經講到第八屆了
[00:00:05.500 --> 00:00:07.340]  今天講的是不可偷盜
[00:00:07.340 --> 00:00:09.340]  今天所說的是不可偷盜
[00:00:09.340 --> 00:00:14.300]  這個界面 我相信大家一聽都已經知道是講些什麼
[00:00:14.300 --> 00:00:18.920]  我相信這個界面 大家一聽到就知道是說什麼的
[00:00:18.920 --> 00:00:23.520]  不過這個也是一個很容易我們不經意地就犯的一個界面
[00:00:23.520 --> 00:00:27.240]  不過這個也是我們很容易 不經意地就會犯的界面
[00:00:27.240 --> 00:00:30.440]  今天讓我們一同深入去看一看這個界面
[00:00:30.440 --> 00:00:33.360]  今天讓我們深入的去看一下這個界面
[00:00:33.360 --> 00:00:34.680]  開始之前我們有個祈禱
[00:00:34.680 --> 00:00:36.860]  開始之前我們先來一個禱告
[00:00:36.860 --> 00:00:39.660]  親愛的父神 我們感謝您
[00:00:39.660 --> 00:00:42.120]  因為您是我們的盤石 您是我們的避難所
[00:00:42.120 --> 00:00:44.720]  因為您是我們的磐石 您是我們的避難所
[00:00:44.720 --> 00:00:46.200]  您是我們隨時的幫助
[00:00:46.200 --> 00:00:47.540]  您是我們隨時的幫助
[00:00:47.540 --> 00:00:49.040]  您是我們永遠的拯救
[00:00:49.040 --> 00:00:50.540]  您是我們永遠的拯救
[00:00:50.540 --> 00:00:53.880]  在我們面前的時候 我們就心裡感到平安
[00:00:53.880 --> 00:00:57.240]  在我們面前的時候 我們就心裡感到平安
[00:00:57.240 --> 00:00:59.440]  因為您是一切福份的源頭
[00:00:59.440 --> 00:01:01.580]  因為您是一切福份的源頭
[00:01:01.580 --> 00:01:04.180]  我們來到您面前的時候 我們就感到愛
[00:01:04.180 --> 00:01:07.120]  我們來到您面前的時候 我們就感到愛
[00:01:07.120 --> 00:01:10.160]  神啊 求祢今天讓我們學習如何回應祢的愛
[00:01:10.160 --> 00:01:13.500]  神啊 求祢今天讓我們學習如何回應祢的愛
[00:01:13.500 --> 00:01:18.560]  讓我們有生命的力量來遵行祢賜給我們的十誡
