
[00:00:00.000 --> 00:00:03.260]  感謝天父,今天我們有很多長者,我們中間
[00:00:03.260 --> 00:00:07.780]  我剛才跟他們開玩笑,不是開玩笑,是說真話
[00:00:07.780 --> 00:00:10.740]  你們都長大了,其實
[00:00:10.740 --> 00:00:13.420]  看你們很多頭髮都比我黑
[00:00:13.420 --> 00:00:19.920]  整個恩典,不單我們有老的
[00:00:19.920 --> 00:00:23.140]  有長者,我們有小的
[00:00:23.140 --> 00:00:25.440]  看那班小朋友唱歌
[00:00:25.440 --> 00:00:28.540]  你聽到最後一句,當然是後面的字最大聲
[00:00:28.820 --> 00:00:31.920]  就是這樣,不要以為他唱歌容易
[00:00:31.920 --> 00:00:34.900]  你叫他站也挺難的
[00:00:34.900 --> 00:00:37.820]  他跟你乖乖的,跟你站足三分鐘
[00:00:37.820 --> 00:00:39.720]  已經是很難的事
[00:00:39.720 --> 00:00:42.440]  站三分鐘不容易做
[00:00:42.440 --> 00:00:45.920]  如果有些健身的運動
[00:00:45.920 --> 00:00:49.200]  你試試把手腳抬高,第三分鐘不要動
[00:00:49.200 --> 00:00:52.560]  做不到,很難做,小朋友這樣做很難
[00:00:52.560 --> 00:00:55.640]  感謝整個恩典,今天在恩典裡面
[00:00:55.640 --> 00:00:58.700]  我們一班長者,蒙主眷由思恩
[00:00:58.700 --> 00:01:01.540]  在封面文章,銀執事也寫了一篇
[00:01:01.540 --> 00:01:05.340]  很有提醒的文章,臣給我們這麼多的恩典
[00:01:05.340 --> 00:01:07.440]  希望,希望
[00:01:07.440 --> 00:01:09.100]  是下一代
[00:01:09.100 --> 00:01:12.860]  兒,孫
[00:01:12.860 --> 00:01:16.580]  如果兒那裡做不到,起碼孫那裡就要做了
[00:01:16.580 --> 00:01:20.300]  長者,上帝留給我們生命氣息在的時候
[00:01:20.300 --> 00:01:23.140]  還有些事要做的,因為很多時候
[00:01:23.140 --> 00:01:26.160]  既往過去做的事
[00:01:26.160 --> 00:01:27.840]  已經追不回來了
[00:01:28.360 --> 00:01:31.300]  如果錯了就錯了,不對就不對了
[00:01:31.300 --> 00:01:33.880]  沒得追的了,但唯有
[00:01:33.880 --> 00:01:35.760]  前車可鑑
[00:01:35.760 --> 00:01:39.020]  還有一年日,在地上的日子
[00:01:39.020 --> 00:01:42.320]  前面要怎麼走,求主給我們清楚指示
[00:01:42.320 --> 00:01:46.200]  引導,因為這個是聖經的記載
[00:01:46.200 --> 00:01:49.860]  在哥倫多主子第十章裡面,保羅對哥倫多教會
[00:01:49.860 --> 00:01:53.060]  這個提示,特別後面那一節
[00:01:53.060 --> 00:01:56.060]  所提到,所遇見的試探
[00:01:56.060 --> 00:01:58.540]  所遇見的試煉,考驗
[00:01:58.540 --> 00:02:00.120]  都是人所能受的
[00:02:00.120 --> 00:02:02.500]  在末後的日子,往後的日子中間
[00:02:02.500 --> 00:02:05.300]  我相信,不一定
[00:02:05.300 --> 00:02:08.900]  風平浪靜,什麼都不用管的,是嗎?
[00:02:08.900 --> 00:02:12.360]  起碼,健康要面對,是嗎?
[00:02:12.360 --> 00:02:14.900]  希望,下一代他們
[00:02:14.900 --> 00:02:17.980]  不要單單生生性性
[00:02:17.980 --> 00:02:21.160]  然後他們真的可以敬畏神過日子
[00:02:21.160 --> 00:02:24.400]  我想這個是長者最大的心願
[00:02:24.980 --> 00:02:27.440]  他們發不發達
[00:02:27.440 --> 00:02:29.480]  他們健不健康
[00:02:29.480 --> 00:02:31.480]  我想你們經歷過都知道
[00:02:31.480 --> 00:02:33.780]  最重要,他們敬畏神
[00:02:33.780 --> 00:02:37.020]  有天父看顧他們
[00:02:37.020 --> 00:02:39.560]  這首詩歌很有意思的
[00:02:39.560 --> 00:02:41.580]  天父必看顧你
[00:02:41.580 --> 00:02:44.820]  今早在一些茶經班
[00:02:44.820 --> 00:02:47.300]  其實很多時候信徒都不
[00:02:47.300 --> 00:02:50.720]  如果你是一個神的兒女,你都會面對一個很大的考驗
