
[00:00:00.000 --> 00:00:01.360]  各位弟兄妹妹早晨
[00:00:01.360 --> 00:00:04.640]  今天我們是講第二堂
[00:00:04.640 --> 00:00:06.960]  就是講約會與見殿
[00:00:06.960 --> 00:00:10.360]  剛纔讀的經文分了兩大部份
[00:00:10.360 --> 00:00:11.880]  第六章和第七章
[00:00:11.880 --> 00:00:13.280]  第六章是講約會的
[00:00:13.280 --> 00:00:14.720]  第七章是講見殿的
[00:00:14.720 --> 00:00:16.520]  也沒有可能整章都讀出來
[00:00:16.520 --> 00:00:18.560]  所以抽了中間一些精髓
[00:00:18.560 --> 00:00:20.320]  待會也會講很多
[00:00:20.320 --> 00:00:21.720]  所以如果大家自己有聖經
[00:00:21.720 --> 00:00:25.000]  也可能要打開《撒慕爾記》下六章和第七章
[00:00:25.000 --> 00:00:26.800]  這個鋪排我不詳細讀了
[00:00:26.800 --> 00:00:28.080]  我想大家都知道
[00:00:28.080 --> 00:00:30.080]  接下來這段日子
[00:00:30.080 --> 00:00:32.480]  就會講這個題目和講這段經文
[00:00:32.480 --> 00:00:36.240]  在我整個的準備過程當中
[00:00:36.240 --> 00:00:37.560]  我很深體會到
[00:00:37.560 --> 00:00:39.960]  大衛爲什麼得門上帝的喜悅呢
[00:00:39.960 --> 00:00:41.440]  就好像上個星期講
[00:00:41.440 --> 00:00:43.960]  他是凡事都禱告上帝
[00:00:43.960 --> 00:00:45.680]  很有神的心
[00:00:45.680 --> 00:00:46.840]  還有一樣東西就是
[00:00:46.840 --> 00:00:48.360]  他有一個悔改的心
[00:00:48.360 --> 00:00:50.880]  所以到了下個禮拜
[00:00:50.880 --> 00:00:53.360]  講悔罪與犯罪悔改
[00:00:53.360 --> 00:00:54.800]  我們更加要留心
[00:00:56.040 --> 00:00:59.880]  來幫助大家去追溯到大衛的心評
[00:00:59.880 --> 00:01:01.720]  所以我們在這段時間
[00:01:01.720 --> 00:01:02.840]  推出了一個叫
[00:01:02.840 --> 00:01:04.800]  《大衛心評》的靈脩運動
[00:01:04.800 --> 00:01:06.360]  每天一起靈脩
[00:01:06.360 --> 00:01:08.080]  思考大衛人生
[00:01:08.080 --> 00:01:09.480]  大衛一生
[00:01:09.480 --> 00:01:11.920]  看看這件事幫不幫到大家
[00:01:11.920 --> 00:01:14.560]  可能都有人在參加
[00:01:14.560 --> 00:01:16.240]  如果還沒參加還可以
[00:01:16.240 --> 00:01:19.520]  你只要下載了我們教會的土導應用軟件
[00:01:19.520 --> 00:01:22.960]  你就可以參加到我們的靈脩運動
[00:01:22.960 --> 00:01:25.360]  之前的小冊子都差不多派完了
[00:01:25.360 --> 00:01:27.080]  只剩下一兩本
[00:01:27.080 --> 00:01:29.560]  我最感恩的是
[00:01:29.560 --> 00:01:31.280]  收到一些講道回應
[00:01:31.280 --> 00:01:34.360]  有些人覺得收到回應可能不是好事
[00:01:34.360 --> 00:01:37.760]  我都視爲一個對我的欣賞
[00:01:37.760 --> 00:01:39.800]  起碼他肯聽我講道
[00:01:39.800 --> 00:01:41.840]  聽完有挑戰的
[00:01:41.840 --> 00:01:43.320]  或者有不同意的
[00:01:43.320 --> 00:01:43.960]  都是好的
[00:01:43.960 --> 00:01:45.960]  起碼代表他聽了
[00:01:45.960 --> 00:01:47.640]  這裏我收到一位弟兄
