
[00:00:00.000 --> 00:00:05.720]  今天講到的題目:「隨時隨地,助人歸正」
[00:00:05.720 --> 00:00:10.800]  相信都是使徒保羅在宣教傳福音的服事上
[00:00:10.800 --> 00:00:13.440]  一個很明顯的生命寫照
[00:00:13.440 --> 00:00:16.760]  究竟保羅怎樣可以無論在任何的處境
[00:00:16.760 --> 00:00:20.520]  任何的環境,甚至在逆境當中
[00:00:20.520 --> 00:00:24.440]  他仍然可以持守著那份熱誠,那份熱心
[00:00:24.440 --> 00:00:29.320]  來傳揚耶穌基督就是那份寶貴的救恩
[00:00:29.320 --> 00:00:33.120]  我們今天嘗試在使徒行傳第十八章
[00:00:33.120 --> 00:00:36.400]  一至六節,十八到二十八節
[00:00:36.400 --> 00:00:38.400]  我們分開三個段落
[00:00:38.400 --> 00:00:40.640]  想跟大家分享有三方面
[00:00:40.640 --> 00:00:43.840]  在聖經給我們一個很寶貴的提醒
[00:00:43.840 --> 00:00:48.000]  我們能夠隨時隨地,助人歸正
[00:00:48.000 --> 00:00:53.080]  在進入經文之先,我們一起祈禱
[00:00:53.080 --> 00:00:54.840]  親愛的天父上帝感謝祢
[00:00:54.840 --> 00:00:57.760]  感謝祢讓我們都能夠得著福音
[00:00:57.760 --> 00:01:00.040]  我們知道完全是恩典
[00:01:00.040 --> 00:01:02.480]  我們能夠可以被祢使用
[00:01:02.480 --> 00:01:06.640]  在傳福音的事上有份更加是恩上加恩
[00:01:06.640 --> 00:01:10.520]  主啊,願祢賜福這一段時間
[00:01:10.520 --> 00:01:14.000]  願聽的講的,同樣得著那份的領受
[00:01:14.000 --> 00:01:16.560]  和指引又能夠進行
[00:01:16.560 --> 00:01:20.720]  同心的祈禱,奉主耶穌得聖的名字而求
[00:01:20.720 --> 00:01:22.280]  阿門
[00:01:22.280 --> 00:01:25.640]  我今天嘗試從三方面來跟大家分享
[00:01:25.640 --> 00:01:28.360]  看看在《仕途行傳》第十八章
