
[00:00:00.000 --> 00:00:03.640]  今天早上藉著高岸多傳書
[00:00:03.640 --> 00:00:06.520]  我們剛剛讀到這幾段經節
[00:00:06.520 --> 00:00:11.880]  來看看幫助我們思想到神的心意
[00:00:11.880 --> 00:00:14.120]  是我們怎樣去建立一個合一
[00:00:14.120 --> 00:00:18.080]  和一個和諧的教會的生活
[00:00:18.080 --> 00:00:20.280]  以致令到在教會外面的人
[00:00:20.280 --> 00:00:22.400]  看到我們這個教會的時候
[00:00:22.400 --> 00:00:27.160]  感覺到這是一個值得羨慕的地方
[00:00:27.160 --> 00:00:29.800]  所以我們先做一個低頭禱告
[00:00:29.800 --> 00:00:35.880]  將我們今天時間的訊息交給神
[00:00:35.880 --> 00:00:40.200]  主感謝祢的愛
[00:00:40.200 --> 00:00:43.160]  我們雖然當日活在罪中的時候
[00:00:43.160 --> 00:00:44.440]  祢招聚我們
[00:00:44.440 --> 00:00:48.120]  因為祢的愛先臨到我們當中
[00:00:48.120 --> 00:00:51.400]  以致我們得到這個新的生命
[00:00:51.400 --> 00:00:54.960]  都藉著主耶穌基督預備救贖
[00:00:54.960 --> 00:00:58.360]  我們可以稱為阿爸父
[00:00:58.360 --> 00:01:00.920]  弟兄姊妹也可以稱為弟兄姊妹
[00:01:00.920 --> 00:01:04.040]  在這個屬靈的家裡面一起同工
[00:01:04.040 --> 00:01:06.920]  在這個地上我們感謝祢給我們
[00:01:06.920 --> 00:01:08.840]  預備了這個屬靈的家
[00:01:08.840 --> 00:01:10.320]  也在這個雙城這個地方
[00:01:10.320 --> 00:01:13.040]  為我們預備了這個教會
[00:01:13.040 --> 00:01:15.040]  以致我們可以一起來敬拜祢
[00:01:15.040 --> 00:01:17.120]  一起來學習到侍奉祢
[00:01:17.120 --> 00:01:21.240]  更加在這個家裡面成長
[00:01:21.240 --> 00:01:23.440]  主求祢的聖靈幫助我們
[00:01:23.440 --> 00:01:25.960]  怎樣去今天藉著祢的話語
[00:01:25.960 --> 00:01:27.720]  明白祢的心意
[00:01:27.720 --> 00:01:29.720]  明白怎樣在未來日子
[00:01:29.720 --> 00:01:31.000]  怎樣在這個雙城
[00:01:31.000 --> 00:01:35.400]  這個華人教會發揮到教會功效
[00:01:35.400 --> 00:01:36.760]  將主祢的愛
[00:01:36.760 --> 00:01:41.480]  將祢的祝福帶給這個社區
