
[00:00:00.000 --> 00:00:02.000]  我們先打開程序內頁
[00:00:02.000 --> 00:00:04.800]  我想今天有一段很長的經文
[00:00:04.800 --> 00:00:07.500]  就是《約翰福音》二十一章的一至十九節
[00:00:07.500 --> 00:00:10.800]  我想我先讀到十四節之後
[00:00:10.800 --> 00:00:15.600]  然後胡仲同我一起重讀十五至十九節
[00:00:15.600 --> 00:00:16.100]  好嗎?
[00:00:16.100 --> 00:00:17.900]  好,請聽我先讀
[00:00:17.900 --> 00:00:25.700]  「這室是以後耶穌在提比利亞海邊有向門徒顯現
[00:00:25.700 --> 00:00:28.500]  他怎樣顯現,記載下面
[00:00:29.100 --> 00:00:34.100]  西門彼得叫底土馬的多馬
[00:00:34.100 --> 00:00:37.100]  加利利的加拿人拿旦葉
[00:00:37.100 --> 00:00:42.600]  西比泰的兩個兒子和另外兩個門徒都在一起
[00:00:42.600 --> 00:00:45.100]  西門彼得對他們說
[00:00:45.100 --> 00:00:46.600]  我打如去
[00:00:46.600 --> 00:00:48.100]  他們對他說
[00:00:48.100 --> 00:00:50.300]  我們也和你一起去
[00:00:50.300 --> 00:00:53.500]  他們就出去賞鳥算
[00:00:53.500 --> 00:00:56.900]  那一夜並沒有打著什麽
[00:00:57.600 --> 00:00:59.100]  天剛亮的時候
[00:00:59.100 --> 00:01:01.100]  耶穌站在岸上
[00:01:01.100 --> 00:01:04.300]  門徒卻不知道他是耶穌
[00:01:04.300 --> 00:01:06.500]  耶穌就對他們說
[00:01:06.500 --> 00:01:10.400]  孩子們,你們在吃有吃的沒有
[00:01:10.400 --> 00:01:13.600]  他們回答他沒有
[00:01:13.600 --> 00:01:15.400]  耶穌對他們說
[00:01:15.400 --> 00:01:18.400]  你們把網紗在船的右邊
[00:01:18.400 --> 00:01:19.700]  就會得到
[00:01:19.700 --> 00:01:23.000]  於是他們紗下網去
[00:01:23.000 --> 00:01:24.900]  竟拉不上來了
[00:01:24.900 --> 00:01:27.100]  因為雨很多
[00:01:27.900 --> 00:01:30.800]  耶穌所愛的那門徒對彼得說
[00:01:30.800 --> 00:01:32.200]  施主
[00:01:32.200 --> 00:01:35.300]  那時西門彼得赤著身子
[00:01:35.300 --> 00:01:36.900]  一聽見施主
[00:01:36.900 --> 00:01:38.500]  就速上外衣
[00:01:38.500 --> 00:01:39.900]  跳進海裡
[00:01:39.900 --> 00:01:42.800]  其餘的門徒一離岸不遠
[00:01:42.800 --> 00:01:44.100]  約有二百找
[00:01:44.100 --> 00:01:45.800]  就坐著小船
[00:01:45.800 --> 00:01:48.100]  把那網魚拉過來
[00:01:48.100 --> 00:01:49.800]  他們上了岸
[00:01:49.800 --> 00:01:52.000]  看見那裡有炭火
[00:01:52.000 --> 00:01:54.100]  上面有魚和餅
[00:01:54.100 --> 00:01:56.000]  耶穌對他們說
[00:01:56.400 --> 00:01:59.300]  把剛才打的魚拿幾條來
[00:01:59.300 --> 00:02:01.900]  西門彼得就上船
[00:02:01.900 --> 00:02:03.900]  把網拉到岸上
[00:02:03.900 --> 00:02:06.100]  網裡滿了大魚
[00:02:06.100 --> 00:02:08.100]  共一百五十三條
[00:02:08.100 --> 00:02:10.300]  雖然雨這樣多
[00:02:10.300 --> 00:02:12.000]  網卻沒有破
[00:02:12.000 --> 00:02:14.000]  耶穌對他們說
[00:02:14.000 --> 00:02:15.800]  你們來吃早飯
[00:02:15.800 --> 00:02:19.500]  門徒中沒有一個敢問他你是誰
[00:02:19.500 --> 00:02:22.200]  因為他們知道他是主
[00:02:22.200 --> 00:02:23.900]  耶穌走過來
[00:02:23.900 --> 00:02:25.500]  拿餅給他們
[00:02:25.800 --> 00:02:27.600]  也照樣拿魚給他們
[00:02:27.600 --> 00:02:30.200]  耶穌從死人中復活後
[00:02:30.200 --> 00:02:31.700]  向門徒顯現
[00:02:31.700 --> 00:02:33.500]  這是第三次
[00:02:33.500 --> 00:02:34.500]  以後我們一起讀
[00:02:34.500 --> 00:02:37.300]  他們吃完了早飯
[00:02:37.300 --> 00:02:39.600]  耶穌對西門彼得說
[00:02:39.600 --> 00:02:41.600]  若愛的兒子西門
[00:02:41.600 --> 00:02:44.400]  你愛的這些更深密
[00:02:44.400 --> 00:02:46.000]  彼得對他說
[00:02:46.000 --> 00:02:46.800]  主啊
[00:02:46.800 --> 00:02:47.400]  是的
[00:02:47.400 --> 00:02:49.200]  你知道我愛你
[00:02:49.200 --> 00:02:50.300]  耶穌說
[00:02:50.300 --> 00:02:52.200]  你餵養我的小羊
[00:02:52.200 --> 00:02:54.700]  耶穌第二次又對他說
[00:02:55.100 --> 00:02:56.700]  若愛的兒子西門
[00:02:56.700 --> 00:02:58.000]  你愛我嗎
[00:02:58.000 --> 00:02:59.600]  彼得對他說
[00:02:59.600 --> 00:03:00.400]  主啊
[00:03:00.400 --> 00:03:01.000]  是的
[00:03:01.000 --> 00:03:02.700]  你知道我愛你
[00:03:02.700 --> 00:03:03.900]  耶穌說
