
[00:00:00.000 --> 00:00:01.640]  每一年的靈修主日
[00:00:01.640 --> 00:00:04.120]  大概講完都會問你
[00:00:04.120 --> 00:00:07.600]  今天靈修了沒有?
[00:00:07.600 --> 00:00:09.380]  你今天靈修了沒有?
[00:00:09.380 --> 00:00:15.480]  靈修了 今天100%靈修
[00:00:15.480 --> 00:00:18.380]  靈修幫助我們去貼近神
[00:00:18.380 --> 00:00:21.260]  讓神的話語進入我們生命當中
[00:00:21.260 --> 00:00:25.540]  這是整卷詩篇的150篇裏面
[00:00:25.540 --> 00:00:27.860]  一個中心的題子
[00:00:27.860 --> 00:00:29.240]  在詩篇的第一節當中
[00:00:29.240 --> 00:00:32.280]  講到什麼是有福的人
[00:00:32.280 --> 00:00:36.760]  有福的人就是他晝夜思想耶和華的話語
[00:00:36.760 --> 00:00:39.040]  「這人便為有福」
[00:00:39.040 --> 00:00:41.120]  所以弟子們當你說沒有動力去靈修
[00:00:41.120 --> 00:00:42.760]  靈修沒有得著
[00:00:42.760 --> 00:00:46.360]  詩篇卻一而再再而三講出這則智慧之言
[00:00:46.360 --> 00:00:50.080]  愛慕神話語的這個人就是有福
[00:00:50.080 --> 00:00:53.000]  而今天我們所看的詩篇144篇
[00:00:53.000 --> 00:00:57.560]  是回到主題上展示什麼是有福的人
[00:00:57.560 --> 00:01:01.480]  這群有福的人怎樣與主有約
[00:01:01.480 --> 00:01:04.640]  我們會一路去看144篇這篇詩篇
[00:01:04.640 --> 00:01:07.640]  藉著私人的心境去了解
[00:01:07.640 --> 00:01:10.720]  亦都去靈修了一些現身的應用
[00:01:10.720 --> 00:01:15.920]  學會與神有約有哪五大方面的幫助
[00:01:15.920 --> 00:01:17.480]  第一點我和大家分享的是
[00:01:17.480 --> 00:01:21.400]  「與你有約,有險可守」
[00:01:21.400 --> 00:01:25.160]  我請你幫我讀144篇的第一節
[00:01:25.160 --> 00:01:27.640]  在你唐聖經的920頁
[00:01:27.640 --> 00:01:29.160]  預備起
[00:01:29.160 --> 00:01:33.240]  「耶和華是我的盆石,是應當稱頌的,
[00:01:33.240 --> 00:01:39.040]  他教導我的受作之,是以我的天下大將」
[00:01:39.040 --> 00:01:41.240]  這裡一開始私人去稱頌上主
[00:01:41.240 --> 00:01:44.240]  他說「耶和華是我的盆石」
[00:01:44.240 --> 00:01:45.480]  是什麼意思呢?
[00:01:45.480 --> 00:01:49.000]  盆石這個詞可以是一塊很大的石頭
[00:01:49.000 --> 00:01:51.240]  我小時候便開始聽這個形容詞
[00:01:51.240 --> 00:01:52.360]  「神是我們的盆石」
[00:01:52.360 --> 00:01:53.360]  我不是很明白
[00:01:53.360 --> 00:01:55.600]  「神是一塊很大的石頭」即是怎樣呢?
[00:01:55.600 --> 00:01:58.240]  很大的石頭我站在上面
[00:01:58.240 --> 00:02:01.960]  怎樣對我有安慰和幫助呢?
[00:02:01.960 --> 00:02:05.720]  原來這個名詞不單是代表一大塊石頭
[00:02:05.720 --> 00:02:10.240]  亦都可以代表一大堆石頭的石山的山頂
[00:02:10.240 --> 00:02:12.400]  總之是表達一個很穩固
[00:02:12.400 --> 00:02:15.560]  在上面可以建屋建城的一個形象
[00:02:15.560 --> 00:02:18.360]  而盆石更加在今天這個經文當中
[00:02:18.360 --> 00:02:21.040]  亦都好像外面這幅圖畫一樣
[00:02:21.040 --> 00:02:23.440]  一個峭壁的圖畫
[00:02:23.440 --> 00:02:27.320]  這個峭壁的圖畫亦都稱為盆石
[00:02:27.320 --> 00:02:29.120]  意思是很多的岩石
[00:02:29.120 --> 00:02:32.040]  岩岩潺潺向上向左向右的石頭
[00:02:32.040 --> 00:02:34.200]  形成一大片的石壁
[00:02:34.200 --> 00:02:36.040]  是一個險要之地
[00:02:36.040 --> 00:02:37.640]  易守難攻
[00:02:37.640 --> 00:02:40.000]  當人進入這個峭壁的範圍當中
[00:02:40.000 --> 00:02:41.920]  是可以躲藏在裏面
[00:02:41.920 --> 00:02:43.880]  形成一個天然的堡壘
[00:02:43.880 --> 00:02:44.880]  所以他第二節說
[00:02:44.880 --> 00:02:47.000]  「耶和華是我的堡壘」
[00:02:47.000 --> 00:02:48.040]  我的高台
[00:02:48.040 --> 00:02:50.320]  你是居高臨下的位置
