
[00:00:00.000 --> 00:00:03.900]  天母感謝妳讓我們有這麼開學的日子
[00:00:03.900 --> 00:00:06.300]  我們仍然懷著歡喜快樂的心
[00:00:06.300 --> 00:00:08.000]  來到妳面前敬拜妳
[00:00:08.000 --> 00:00:12.100]  主要為新開展的士工團契去交托
[00:00:12.100 --> 00:00:14.900]  求主妳自己親自來成就
[00:00:14.900 --> 00:00:16.600]  按妳的旨意來成就
[00:00:16.600 --> 00:00:19.600]  主要又幫助我們今天能夠專心
[00:00:19.600 --> 00:00:21.400]  來跟前聽妳的話語
[00:00:21.400 --> 00:00:25.200]  讓這片道幫助剛剛開學的每一個年輕人
[00:00:25.200 --> 00:00:27.200]  能夠帶著一個輕散的心
[00:00:27.200 --> 00:00:29.600]  來面對學業帶來的壓力
[00:00:29.600 --> 00:00:32.700]  我們向心禱告 奉主耶穌基督明求 阿門
[00:00:32.700 --> 00:00:34.700]  在我預備的時候 我就在想
[00:00:34.700 --> 00:00:36.700]  誰會想到這些呢
[00:00:36.700 --> 00:00:40.300]  講道就講道 還要講九型人格
[00:00:40.300 --> 00:00:43.500]  你本身講道已經要講聖經了
[00:00:43.500 --> 00:00:46.000]  還要研究九型人格是什麼
[00:00:46.000 --> 00:00:47.500]  如何結合在聖經裡面
[00:00:47.500 --> 00:00:50.200]  後來想一想 原來那個想法的人是我
[00:00:50.200 --> 00:00:52.400]  我真的覺得考起講完
[00:00:52.400 --> 00:00:54.700]  又要研究一下那個人格是什麼
[00:00:54.700 --> 00:00:57.800]  又要講一下究竟跟讀聖經有什麼關係
[00:00:57.800 --> 00:01:00.400]  今天來到第五號的型格
[00:01:00.400 --> 00:01:03.000]  就叫做知行者的光與暗
[00:01:03.000 --> 00:01:05.000]  永不滿足的所樂門
[00:01:05.000 --> 00:01:07.000]  其實我知道你們
[00:01:07.000 --> 00:01:09.000]  一路過了幾個星期
[00:01:09.000 --> 00:01:13.900]  其實上個禮拜講多瑪是第六號型人格
[00:01:13.900 --> 00:01:15.600]  是因為要遷就講完的日期
[00:01:15.600 --> 00:01:17.800]  所以六和五就倒轉了
[00:01:17.800 --> 00:01:21.400]  其實你們就會填上網的問卷
[00:01:21.400 --> 00:01:22.600]  我見到有一次
[00:01:22.600 --> 00:01:24.800]  你們分組的時候要填
[00:01:24.800 --> 00:01:27.100]  填得很苦惱 覺得很煩
[00:01:27.100 --> 00:01:28.800]  最少都幾十題
[00:01:28.800 --> 00:01:31.800]  不是說最多是二百多題
[00:01:31.800 --> 00:01:33.800]  其實我看了一些書
[00:01:33.800 --> 00:01:38.300]  一個是九型人格的專家
[00:01:38.300 --> 00:01:40.900]  他說有一個很快速的測試
[00:01:40.900 --> 00:01:43.300]  雖然不會是最準確
[00:01:43.300 --> 00:01:45.800]  因為一定要做完二百多題才是最準確
[00:01:45.800 --> 00:01:49.000]  但如果你追求一種快速的測試
[00:01:49.000 --> 00:01:50.900]  這個問題其實
[00:01:50.900 --> 00:01:52.100]  接下來這條問題
[00:01:52.100 --> 00:01:52.800]  你答完之後
[00:01:52.800 --> 00:01:54.800]  你都能夠給自己一個快速測試
[00:01:54.800 --> 00:01:57.200]  你是甚麼人格
[00:01:57.200 --> 00:02:00.100]  先不要出這個
[00:02:00.100 --> 00:02:01.600]  一條問題
[00:02:01.600 --> 00:02:04.100]  這個叫水晶球的測試
[00:02:04.100 --> 00:02:08.900]  心理學家或輔導員都喜歡用這個水晶球
[00:02:08.900 --> 00:02:11.000]  為甚麼這裡這麼暗
[00:02:11.000 --> 00:02:12.600]  是這樣的
[00:02:12.600 --> 00:02:14.600]  這個水晶球的測試
[00:02:14.600 --> 00:02:16.900]  你去測試一個人
[00:02:16.900 --> 00:02:20.100]  心裏面最根本的願望是甚麼
[00:02:20.100 --> 00:02:21.100]  問題是
[00:02:21.100 --> 00:02:24.300]  如果神今天答應滿足你一個願望
[00:02:24.300 --> 00:02:25.500]  你祈求甚麼
[00:02:25.500 --> 00:02:26.900]  祂就會給你
[00:02:26.900 --> 00:02:29.300]  一生人只有一次機會
[00:02:29.300 --> 00:02:30.100]  你要好好掌握
[00:02:30.100 --> 00:02:33.400]  你不要說我要一部switch
[00:02:33.400 --> 00:02:34.400]  這樣太少了
[00:02:34.400 --> 00:02:36.100]  你不是一生人拿了一部switch
[00:02:36.100 --> 00:02:38.100]  那你開飯嗎
[00:02:38.100 --> 00:02:38.900]  你當然要想一些
[00:02:38.900 --> 00:02:41.000]  那些東西對你來說真的很重要
[00:02:41.000 --> 00:02:43.000]  是你的基本願望
[00:02:43.000 --> 00:02:44.500]  如果你想到這件事
[00:02:44.500 --> 00:02:45.700]  這件事神說
[00:02:45.700 --> 00:02:47.000]  今天你求甚麼
[00:02:47.000 --> 00:02:48.100]  我就給你這件事
[00:02:48.100 --> 00:02:49.600]  一生人只有一次機會
[00:02:49.600 --> 00:02:51.800]  你最想得到的是甚麼
[00:02:51.800 --> 00:02:53.500]  你可以自己想想嗎
