
[00:00:00.000 --> 00:00:02.920]  好,我們的根源,馬達福音第一章
[00:00:02.920 --> 00:00:09.560]  不知道大家對自己的爸爸媽媽的認識深不深
[00:00:09.560 --> 00:00:12.600]  有沒有人記得自己爸爸媽媽的全名
[00:00:12.600 --> 00:00:15.480]  真的好,這堂的反應不錯
[00:00:15.480 --> 00:00:17.480]  真的記不記得
[00:00:17.480 --> 00:00:19.960]  他坐在我旁邊而已,不記得
[00:00:19.960 --> 00:00:24.280]  你又記不記得你爺爺媽媽的全名,中文
[00:00:24.280 --> 00:00:25.280]  記不記得
[00:00:25.280 --> 00:00:30.280]  記得我記得的舉手,都有七成
[00:00:30.280 --> 00:00:35.880]  那你記不記得你外公外婆的全名,中文
[00:00:35.880 --> 00:00:37.880]  記不記得
[00:00:37.880 --> 00:00:41.880]  太爺太嫲呢
[00:00:41.880 --> 00:00:45.480]  嘩,Dr.Steven
[00:00:45.480 --> 00:00:48.480]  太公太婆呢
[00:00:48.480 --> 00:00:50.480]  有點沉默了
[00:00:50.480 --> 00:00:55.480]  我這麼多堂課,第一堂可以超越了爺爺媽媽
[00:00:55.480 --> 00:00:56.480]  很好笑
[00:00:56.480 --> 00:01:00.480]  為什麼呢,因為那些名字我們都不記得,我們不認識
[00:01:00.480 --> 00:01:05.480]  不過其實那些名字,每一個不是一個很冷酷的名字
[00:01:05.480 --> 00:01:09.480]  每一個都是一個生命和故事
[00:01:09.480 --> 00:01:14.480]  每一個都在告訴我們他的過去
[00:01:14.480 --> 00:01:18.480]  我記得我外婆是1899年出生
[00:01:18.480 --> 00:01:20.480]  因為都是外婆
[00:01:20.480 --> 00:01:23.480]  她說了一個笑話,我覺得很好笑
[00:01:23.480 --> 00:01:25.480]  但是在她心裡是很艱難的
[00:01:25.480 --> 00:01:29.480]  當日本人打仗的時候,她來到香港
[00:01:29.480 --> 00:01:31.480]  她說沒有工作,什麼都做
[00:01:31.480 --> 00:01:35.480]  又做泥水工作,又做台米,什麼都做
[00:01:35.480 --> 00:01:39.480]  有一次,當她病了,第一次看西醫
[00:01:39.480 --> 00:01:42.480]  當時西醫跟她說,你吃藥是藥水
[00:01:42.480 --> 00:01:44.480]  一天吃四次,每次吃一格
[00:01:44.480 --> 00:01:47.480]  她帶她回家,她趕著要開工
[00:01:47.480 --> 00:01:49.480]  她跟自己說,我吃中藥
[00:01:49.480 --> 00:01:53.480]  每一天都吃幾次,每次吃一碗
[00:01:53.480 --> 00:01:57.480]  一格,浪費我的時間
[00:01:57.480 --> 00:02:02.480]  於是她回家,開了個蓋,就怎樣呢
[00:02:02.480 --> 00:02:07.480]  喝光了
[00:02:07.480 --> 00:02:11.480]  當時我的反應就像你們那樣
[00:02:11.480 --> 00:02:14.480]  然後我問我外婆,那怎麼辦
[00:02:14.480 --> 00:02:16.480]  馬上進了醫院,洗胃
[00:02:16.480 --> 00:02:18.480]  然後我問,那怎麼辦
[00:02:18.480 --> 00:02:21.480]  她說,我第二天就出院,繼續開工
[00:02:21.480 --> 00:02:23.480]  她說,要不然,怎麼養你媽
[00:02:23.480 --> 00:02:25.480]  要不然,怎麼養你
[00:02:25.480 --> 00:02:27.480]  那個故事聽起來很有趣
[00:02:27.480 --> 00:02:31.480]  但是,的確背後有很多東西可以告訴我們
[00:02:31.480 --> 00:02:33.480]  今天當我們看《馬太福音》
[00:02:33.480 --> 00:02:35.480]  這個耶穌的家譜
[00:02:35.480 --> 00:02:38.480]  我們看一看,如果你們就這樣驟眼看
[00:02:38.480 --> 00:02:42.480]  我保證,你很快就會睡著了
[00:02:42.480 --> 00:02:45.480]  不過如果我們看背後,每一個人名的故事
[00:02:45.480 --> 00:02:47.480]  肯定有些不同
[00:02:47.480 --> 00:02:49.480]  我少說背景,就會進入故事
[00:02:49.480 --> 00:02:52.480]  背景其實在新約,有兩個主要地方說
[00:02:52.480 --> 00:02:55.480]  耶穌的家譜,祂的先祖
[00:02:55.480 --> 00:02:57.480]  一個地方在《馬太福音》第一章
[00:02:57.480 --> 00:03:00.480]  第二在《路加福音》,兩個角度
[00:03:00.480 --> 00:03:05.480]  《馬太福音》通常是說猶太人的角度去看
[00:03:05.480 --> 00:03:09.480]  《馬太福音》裏面
[00:03:09.480 --> 00:03:11.480]  先清清喉嚨
[00:03:11.480 --> 00:03:15.480]  舊約我們第一個是《創世紀》
[00:03:15.480 --> 00:03:17.480]  新約第一個書記是《馬太福音》第一章
[00:03:17.480 --> 00:03:19.480]  第一章第一節究竟要說什麼呢?
[00:03:19.480 --> 00:03:21.480]  我們看一看背景
[00:03:21.480 --> 00:03:23.480]  我們一起讀《馬太福音》第一章第一節
[00:03:23.480 --> 00:03:24.480]  1,2,3
[00:03:24.480 --> 00:03:26.480]  阿伯拉罕的後裔
[00:03:26.480 --> 00:03:27.480]  大衛的子孫
[00:03:27.480 --> 00:03:30.480]  耶穌基督的家譜
[00:03:30.480 --> 00:03:34.480]  這裡說了很簡單介紹有三個重要的人物
[00:03:34.480 --> 00:03:37.480]  這三個重要的人物,為什麼在第一章第一節呢?
[00:03:37.480 --> 00:03:40.480]  為什麼在新約裏面這麼重要呢?
[00:03:40.480 --> 00:03:43.480]  因為耶穌距離現在是多少年呢?
[00:03:43.480 --> 00:03:51.480]  2,014還是2,016還是2,018
[00:03:51.480 --> 00:03:52.480]  因為算錯了
[00:03:52.480 --> 00:03:54.480]  應該是2015的
[00:03:54.480 --> 00:03:56.480]  不過有五年偏差,4至6年
[00:03:56.480 --> 00:03:58.480]  可能應該是2020的
[00:03:58.480 --> 00:04:00.480]  但是那時候呢
[00:04:00.480 --> 00:04:02.480]  在《馬太福音》第一章第一節
[00:04:02.480 --> 00:04:04.480]  他提了兩個重要的人物,除了耶穌
[00:04:04.480 --> 00:04:06.480]  第一個阿伯拉罕是距離耶穌2,000年
[00:04:06.480 --> 00:04:10.480]  他提到神要藉著他
[00:04:10.480 --> 00:04:14.480]  叫到地上萬族都要得福
[00:04:14.480 --> 00:04:16.480]  不過這句話很有趣
[00:04:16.480 --> 00:04:17.480]  當時沒有人明白
[00:04:17.480 --> 00:04:19.480]  因為阿伯拉罕死了
[00:04:19.480 --> 00:04:20.480]  沒有翻生
[00:04:20.480 --> 00:04:21.480]  沒有事情發生
[00:04:21.480 --> 00:04:22.480]  不知道發生什麼事
[00:04:22.480 --> 00:04:24.480]  拜拜
[00:04:24.480 --> 00:04:26.480]  接著一千年後
[00:04:26.480 --> 00:04:28.480]  大衛出來
[00:04:28.480 --> 00:04:30.480]  開始明白多一點
[00:04:30.480 --> 00:04:33.480]  基礎是阿伯拉罕和神納約之後
[00:04:33.480 --> 00:04:35.480]  神再和大衛說
[00:04:35.480 --> 00:04:37.480]  你的家和你的國
[00:04:37.480 --> 00:04:39.480]  必在我面前永遠建立
[00:04:39.480 --> 00:04:43.480]  你的國為也必堅定直到永遠
[00:04:43.480 --> 00:04:45.480]  不過沒多久
[00:04:45.480 --> 00:04:47.480]  國破家亡
[00:04:47.480 --> 00:04:49.480]  你說什麼
[00:04:49.480 --> 00:04:50.480]  死了
[00:04:50.480 --> 00:04:52.480]  不過再去到耶穌那裡
[00:04:52.480 --> 00:04:54.480]  大概我們知道
[00:04:54.480 --> 00:04:56.480]  咦,原來發生什麼事
[00:04:56.480 --> 00:04:57.480]  再一千年之後
[00:04:57.480 --> 00:04:59.480]  我們多讀《路加福音》
[00:04:59.480 --> 00:05:01.480]  一章31至33節
[00:05:01.480 --> 00:05:02.480]  1,2,3
[00:05:02.480 --> 00:05:04.480]  你要懷孕生子
[00:05:04.480 --> 00:05:06.480]  給他起名叫耶穌
[00:05:06.480 --> 00:05:21.480]  開始明白一點
[00:05:21.480 --> 00:05:22.480]  這段福音
