
[00:00:00.000 --> 00:00:06.000]  今天早上是教會48周年的崇拜
[00:00:06.000 --> 00:00:09.000]  我們感謝教會的元首基督
[00:00:09.000 --> 00:00:11.000]  我們感謝教會的元首基督
[00:00:11.000 --> 00:00:14.000]  一直恩領教會
[00:00:14.000 --> 00:00:18.000]  讓我們這個小小的燈臺
[00:00:18.000 --> 00:00:21.000]  可以繼續為主發光
[00:00:21.000 --> 00:00:25.000]  大家知不知道在一段婚姻關係裏面
[00:00:25.000 --> 00:00:27.000]  大家知不知道在一段婚姻關係當中
[00:00:27.000 --> 00:00:30.000]  我們經歷了48周年的婚姻
[00:00:30.000 --> 00:00:32.000]  如果經歷了48周年的婚姻
[00:00:32.000 --> 00:00:33.000]  通常稱為什麽婚呢
[00:00:33.000 --> 00:00:35.000]  通常稱為什麽婚呢
[00:00:35.000 --> 00:00:38.000]  不知道
[00:00:38.000 --> 00:00:41.000]  未婚
[00:00:41.000 --> 00:00:45.000]  你看牧師今天穿紫色應該有點啟示
[00:00:45.000 --> 00:00:47.000]  你看教士今天穿紫色有點啟示
[00:00:47.000 --> 00:00:50.000]  這個叫做紫金婚48年
[00:00:50.000 --> 00:00:52.000]  這個叫做紫金婚48年
[00:00:52.000 --> 00:00:56.000]  這個是法國人創立的一個獨有的名稱
[00:00:56.000 --> 00:00:58.000]  這個是法國人創立的一個獨有的名稱
[00:00:58.000 --> 00:01:02.000]  所以今天為了祝賀教會48周年的紫金
[00:01:02.000 --> 00:01:03.000]  所以今天為了祝賀教會48周年的紫金
[00:01:03.000 --> 00:01:05.000]  所以今天為了祝賀教會48周年的紫金
[00:01:05.000 --> 00:01:07.000]  我都穿一身紫色來襯衣
[00:01:07.000 --> 00:01:08.000]  所以今天牧師也穿一身紫色來襯衣
[00:01:08.000 --> 00:01:09.000]  所以今天牧師也穿一身紫色來襯衣
[00:01:09.000 --> 00:01:11.000]  如果時光倒流的話
[00:01:11.000 --> 00:01:13.000]  如果時間倒流的話
[00:01:13.000 --> 00:01:15.000]  48年前是1974年
[00:01:15.000 --> 00:01:18.000]  48年前是1974年
[00:01:18.000 --> 00:01:20.000]  知不知道當年發生了什麽大事
[00:01:20.000 --> 00:01:22.000]  知不知道當年發生了什麽大事
[00:01:22.000 --> 00:01:25.000]  1974年是一個大時機
[00:01:25.000 --> 00:01:27.000]  1974年是一個大時機
[00:01:27.000 --> 00:01:29.000]  中文正式成為法定語言
[00:01:29.000 --> 00:01:31.000]  中文正式成為法定語言
[00:01:31.000 --> 00:01:34.000]  法律的效力和英文是同等的
[00:01:34.000 --> 00:01:36.000]  法律的效力和英文是同等的
[00:01:36.000 --> 00:01:39.000]  同一年香港廉政公署成立
[00:01:39.000 --> 00:01:42.000]  同一年香港廉政公署成立
[00:01:42.000 --> 00:01:45.000]  成就了我們今天的前執事、白執事
[00:01:45.000 --> 00:01:48.000]  成就了我們今天的白執事
[00:01:48.000 --> 00:01:51.000]  還有香港消費委員會成立
[00:01:51.000 --> 00:01:53.000]  還有香港消費委員會成立
[00:01:53.000 --> 00:01:56.000]  還有尖沙咀國語證詢會立會
[00:01:56.000 --> 00:01:57.000]  還有尖沙咀國語證詢會立會
[00:01:57.000 --> 00:02:00.000]  和香港尖沙咀國語監會成立
[00:02:00.000 --> 00:02:01.000]  和香港尖沙咀國語監會成立
[00:02:01.000 --> 00:02:03.000]  世界大事有一些這樣的記載
[00:02:03.000 --> 00:02:05.000]  世界大事有一些這樣的記載
[00:02:05.000 --> 00:02:09.000]  全世界的人口在48年前突破了40億
[00:02:09.000 --> 00:02:12.000]  全世界的人口在48年前突破了40億
[00:02:12.000 --> 00:02:13.000]  全世界的人口在48年前突破了40億
[00:02:13.000 --> 00:02:15.000]  美國總統尼克遜的水門事件
[00:02:15.000 --> 00:02:16.000]  美國總統尼克遜的水門事件
[00:02:16.000 --> 00:02:17.000]  也在那一年下台
[00:02:17.000 --> 00:02:19.000]  美國總統尼克遜的水門事件
[00:02:19.000 --> 00:02:20.000]  也在那一年下台
[00:02:20.000 --> 00:02:23.000]  48年到底是一個什麼概念呢
[00:02:23.000 --> 00:02:24.000]  大家有沒有想過
[00:02:24.000 --> 00:02:26.000]  48週年到底是一個什麼概念呢
[00:02:26.000 --> 00:02:27.000]  大家有沒有想過
[00:02:27.000 --> 00:02:28.000]  存在著什麼的意義呢
[00:02:28.000 --> 00:02:29.000]  存在著什麼樣的意義呢
[00:02:29.000 --> 00:02:30.000]  我計算一下
[00:02:30.000 --> 00:02:33.000]  48年等於576個月
[00:02:33.000 --> 00:02:36.000]  我們記住48年等於576個月
[00:02:36.000 --> 00:02:42.000]  576個月等於2504.57個星期
[00:02:42.000 --> 00:02:47.000]  這個576個月等於2504.57個星期
[00:02:47.000 --> 00:02:53.000]  這個2504.57個星期等於17532天
[00:02:53.000 --> 00:02:58.000]  這個2404.57個星期等於17532天
[00:02:58.000 --> 00:03:04.000]  17532天等於42768小時
[00:03:04.000 --> 00:03:08.000]  這個17532天等於420768小時
[00:03:08.000 --> 00:03:09.000]  簡單來說
[00:03:09.000 --> 00:03:13.000]  48年是大部分人的三分之二的人生
[00:03:13.000 --> 00:03:14.000]  簡單來說
[00:03:14.000 --> 00:03:19.000]  48年可以是一個數字
[00:03:19.000 --> 00:03:20.000]  48年可以是一個數字
[00:03:20.000 --> 00:03:22.000]  這個數字代表什麼意義呢
[00:03:22.000 --> 00:03:23.000]  這個數字代表什麼意義呢
[00:03:23.000 --> 00:03:27.000]  或者教會存在了48年代表什麼意義呢
