
[00:00:00.000 --> 00:00:03.400]  讀一段聖經,在以佛所說的第三章第二十節
[00:00:03.400 --> 00:00:06.400]  只有一節的聖經,我想我們一同來唸來
[00:00:06.400 --> 00:00:09.720]  神能照著運行在我們心裡的大力
[00:00:09.720 --> 00:00:12.080]  匆匆逐逐的成就一切
[00:00:12.080 --> 00:00:13.720]  超過我們所求所想
[00:00:13.720 --> 00:00:14.840]  再讀一遍來
[00:00:14.840 --> 00:00:18.160]  神能照著運行在我們心裡的大力
[00:00:18.160 --> 00:00:20.560]  匆匆逐逐的成就一切
[00:00:20.560 --> 00:00:24.000]  超過我們所求所想的
[00:00:24.000 --> 00:00:25.880]  上禮拜我們教會好幾位牧者
[00:00:25.880 --> 00:00:28.160]  我們一同去到阿姆斯特丹
[00:00:28.160 --> 00:00:34.120]  參加Empowered 21所舉辦的福音動員大會
[00:00:34.120 --> 00:00:38.080]  在現場大概有從125個國家
[00:00:38.080 --> 00:00:40.440]  有七千多位信徒
[00:00:40.440 --> 00:00:43.600]  跟教會的領袖同聚一堂
[00:00:43.600 --> 00:00:45.920]  我們經過四天的大會
[00:00:45.920 --> 00:00:51.040]  一同領受了一個福音遍傳的意象
[00:00:51.040 --> 00:00:54.720]  為什麼這一次這個世界級的福音動員大會
[00:00:54.720 --> 00:00:56.640]  是這麼重要呢
[00:00:56.640 --> 00:00:59.280]  因為我們相信未來十年
[00:00:59.280 --> 00:01:01.640]  將是神所賜給我們
[00:01:01.640 --> 00:01:06.240]  福音遍傳世界一個最好的時機
[00:01:06.240 --> 00:01:08.840]  除了是因為在疫情之後
[00:01:08.840 --> 00:01:11.280]  我們看見神會帶領我們進入一個
[00:01:11.280 --> 00:01:14.240]  豐收的新季節之外
[00:01:14.240 --> 00:01:15.880]  更重要的是
[00:01:15.880 --> 00:01:18.040]  2033年
[00:01:18.040 --> 00:01:21.400]  將會是主耶穌基督從死裡復活
[00:01:21.400 --> 00:01:23.920]  並且頒布大使命
[00:01:23.920 --> 00:01:28.880]  給教會整整兩千年的一個里程碑
[00:01:28.880 --> 00:01:30.480]  所以大會的主席
[00:01:30.480 --> 00:01:33.720]  也是Aurora Robert University的校長
[00:01:33.720 --> 00:01:35.440]  Billy Wilson牧師
[00:01:35.440 --> 00:01:37.640]  向我們發出挑戰
[00:01:37.640 --> 00:01:41.840]  而且邀請我們與他一同來夢想
[00:01:41.840 --> 00:01:44.240]  在未來十年當中
[00:01:44.240 --> 00:01:47.800]  能夠將福音遍傳全世界
[00:01:47.800 --> 00:01:49.200]  我相信任何人聽到
[00:01:49.200 --> 00:01:52.280]  這樣一個偉大的目標的時候
[00:01:52.280 --> 00:01:55.000]  第一個想法一定是
[00:01:55.000 --> 00:01:57.600]  這是一個很好的理想
[00:01:57.600 --> 00:02:00.360]  但是可能嗎
[00:02:00.360 --> 00:02:03.600]  第一天晚上Rick Warren牧師
[00:02:03.600 --> 00:02:05.080]  在晚堂的信息裡面
[00:02:05.080 --> 00:02:09.800]  所傳達一個信息深深的觸動我心
[00:02:09.800 --> 00:02:14.120]  他說今天神要尋找的器皿
[00:02:14.120 --> 00:02:16.760]  不是那些資源很多
[00:02:16.760 --> 00:02:19.920]  或者是能力很強的人
[00:02:19.920 --> 00:02:22.960]  今天神所尋找的器皿
[00:02:22.960 --> 00:02:28.560]  只是一個能與神一同夢想的人
[00:02:28.560 --> 00:02:32.200]  因為自從夢想是從神而來
[00:02:32.200 --> 00:02:37.040]  而且只有神能夠使我們的夢想成真
[00:02:37.040 --> 00:02:41.600]  第二點今天你是個有夢想的人嗎
[00:02:41.600 --> 00:02:44.080]  可能你會說牧師我已經年紀一大把了
[00:02:44.080 --> 00:02:47.240]  你這個夢想還是向年輕人去說吧
[00:02:47.240 --> 00:02:49.000]  No No No No
[00:02:49.000 --> 00:02:51.120]  你還記得當亞伯拉罕
[00:02:51.120 --> 00:02:52.920]  他領受從神來的意象
[00:02:52.920 --> 00:02:56.280]  是什麼時候他領受他的夢想的
[00:02:56.280 --> 00:02:58.480]  是什麼時候他看見
[00:02:58.480 --> 00:03:03.000]  他的子孫會像天上的星星那麼多的
[00:03:03.000 --> 00:03:06.440]  是在他七十五歲的時候
[00:03:06.440 --> 00:03:08.800]  他才從神來領受的意象
[00:03:08.800 --> 00:03:13.760]  神對他說他的後裔要像天上的星星那樣多
[00:03:13.760 --> 00:03:16.280]  七十五歲
[00:03:16.280 --> 00:03:19.560]  所以夢想永遠不嫌太晚
[00:03:19.560 --> 00:03:21.240]  跟你媽媽說夢想永遠不嫌太晚
[00:03:21.240 --> 00:03:25.040]  跟她說
[00:03:25.040 --> 00:03:28.080]  事實上今天只要你是神的兒女
[00:03:28.080 --> 00:03:31.240]  你應當有所夢想
[00:03:31.240 --> 00:03:36.600]  因為你是這位偉大奇妙真神的兒女
[00:03:36.600 --> 00:03:38.920]  雖然在我們人生的過程當中
[00:03:38.920 --> 00:03:43.000]  我們是會遭遇到挫折跟困境
[00:03:43.000 --> 00:03:44.960]  但這些挫折跟困境
[00:03:44.960 --> 00:03:49.280]  並不代表說神在我們身上是沒有計劃
[00:03:49.280 --> 00:03:52.400]  事實上神在我們每一個人身上
[00:03:52.400 --> 00:03:54.800]  都有奇妙的計劃
[00:03:54.800 --> 00:03:55.920]  再來跟你旁邊說
[00:03:55.920 --> 00:03:57.400]  神在你身上有奇妙的計劃
[00:03:57.400 --> 00:04:00.520]  跟她說
[00:04:00.520 --> 00:04:03.960]  所以這為什麼保羅在以佛所述三章二十節很清楚
[00:04:03.960 --> 00:04:05.960]  對我們說神能照著運行
[00:04:05.960 --> 00:04:07.920]  在我們心中的大力
[00:04:07.920 --> 00:04:09.640]  充充足足的成就
[00:04:09.640 --> 00:04:14.600]  一切超乎我們所求所想
[00:04:14.600 --> 00:04:16.760]  所以今天做一個神的兒女
[00:04:16.760 --> 00:04:20.720]  你應當要重新來夢想
[00:04:20.720 --> 00:04:23.160]  你說我們怎麼樣來重新夢想的三方面
[00:04:23.160 --> 00:04:26.400]  第一個你要尋求神的智慧
[00:04:26.400 --> 00:04:30.840]  跟你旁邊說要尋求神的智慧
[00:04:30.840 --> 00:04:31.920]  對不起 不用我告訴你
[00:04:31.920 --> 00:04:36.480]  今天我們所處的世代是充滿知識的世代
[00:04:36.480 --> 00:04:38.480]  無論在網路上
[00:04:38.480 --> 00:04:39.920]  無論在社群媒體上
