
[00:00:00.000 --> 00:00:04.000]  主持人:頂子妹早晨
[00:00:04.000 --> 00:00:11.000]  主持人:頂子妹在上星期還記得道牧師一開始給我們一個新的書卷
[00:00:11.000 --> 00:00:15.000]  主持人:我們一起學習,就是什麼書卷呢?
[00:00:15.000 --> 00:00:18.000]  主持人:是的,你很聰明,是《使徒行傳》
[00:00:18.000 --> 00:00:22.000]  主持人:當你閱讀《使徒行傳》時,你會發現很多聖靈的工作
[00:00:22.000 --> 00:00:24.000]  主持人:有很多神職的歧視
[00:00:24.000 --> 00:00:31.000]  主持人:你會看到聖靈的能力在耶路撒冷的使徒裏面有一個很大的彰顯
[00:00:31.000 --> 00:00:35.000]  主持人:當他們越來越傳福音時,越發被神使用
[00:00:35.000 --> 00:00:38.000]  主持人:他們充滿著從神而來的能力
[00:00:38.000 --> 00:00:43.000]  主持人:更加你會看到他們被聖靈充滿,帶著那份信心和勇氣
[00:00:43.000 --> 00:00:46.000]  主持人:他們就可以傳,去醫治,去行神職
[00:00:46.000 --> 00:00:50.000]  主持人:但他們一路走出去,一路服侍主,服侍人的時候
[00:00:50.000 --> 00:00:56.000]  主持人:同樣都會看到他們面對著很多的迫迫,很多的難阻,很多的難處
[00:00:56.000 --> 00:01:01.000]  主持人:甚至打後的經文,你會看到有使徒做甚麼?
[00:01:01.000 --> 00:01:03.000]  主持人:就是殉道
[00:01:03.000 --> 00:01:10.000]  主持人:越迫迫,越難阻的時候,反而得救的人數是怎樣的?
[00:01:10.000 --> 00:01:12.000]  主持人:是天天加增
[00:01:12.000 --> 00:01:17.000]  主持人:所以《使徒行傳》又叫做《聖靈行傳》
[00:01:17.000 --> 00:01:23.000]  主持人:當聖靈工作,要成就上帝的旨意的時候,是沒有人難阻的
[00:01:23.000 --> 00:01:29.000]  主持人:神的國度是一直不間斷地要去擴展的
[00:01:29.000 --> 00:01:32.000]  主持人:所以弟兄姊妹,你有沒有經驗或者發現過
[00:01:32.000 --> 00:01:38.000]  主持人:當你越想去服侍,或者越想去做神的工作的時候
[00:01:38.000 --> 00:01:42.000]  主持人:眼裡有些東西好像卡住你,阻著你
[00:01:42.000 --> 00:01:47.000]  主持人:你卻步,你也不要去吧
[00:01:47.000 --> 00:01:52.000]  主持人:今天這篇講道的時候,安靜的時候,也讓我有些回想
[00:01:52.000 --> 00:02:00.000]  主持人:我記得我在這裡,大隊去親子短孫
[00:02:00.000 --> 00:02:04.000]  主持人:從小到大,我們一起去澳門,去澳門親子短孫
