
[00:00:00.000 --> 00:00:02.560]  我們現在要看第三節和第四節
[00:00:02.560 --> 00:00:07.040]  要記得第三節和第四節其實是若拿整個故事最後的總結
[00:00:07.040 --> 00:00:10.220]  第三節
[00:00:10.220 --> 00:00:17.840]  「耶和華,哦,現在求你取我的性命,因為我死了比活著更好。」
[00:00:17.840 --> 00:00:21.880]  你再記住,這次是若拿第幾次求死
[00:00:21.880 --> 00:00:23.940]  不是第一次
[00:00:23.940 --> 00:00:25.320]  是第二次
[00:00:25.320 --> 00:00:27.940]  第一次就是他出城之後
[00:00:27.940 --> 00:00:31.340]  因為那棵樹的問題,所以他向神求死
[00:00:31.340 --> 00:00:35.580]  這次是他第二次求死,他這次求得更加激烈
[00:00:35.580 --> 00:00:39.880]  但我想你想一想,究竟若拿在求什麼
[00:00:39.880 --> 00:00:41.860]  若拿是不是真的求死呢?
[00:00:41.860 --> 00:00:45.300]  我想告訴你,若拿不是自己求自己死的
[00:00:45.300 --> 00:00:49.900]  若拿是在求上帝從他面前消失
[00:00:49.900 --> 00:00:52.960]  他要上帝在他面前消失
[00:00:52.960 --> 00:00:56.660]  我不知道你有沒有聽過英文有一句說話
[00:00:56.660 --> 00:00:59.600]  我想也能播出的,叫做「Go to hell」
[00:00:59.600 --> 00:01:03.380]  有些人你很受不了他不信的時候,你做什麼呢?
[00:01:03.380 --> 00:01:04.340]  「Go to hell」
[00:01:04.340 --> 00:01:06.700]  你去死吧
[00:01:06.700 --> 00:01:10.060]  他不可以叫上帝「Go to hell」
[00:01:10.060 --> 00:01:14.000]  因為擺明地獄就是上帝不會去的地方
[00:01:14.000 --> 00:01:14.980]  所以他說
[00:01:14.980 --> 00:01:18.740]  我沒辦法叫你去「Go to hell」,那不如我去「Go to hell」
[00:01:18.740 --> 00:01:23.260]  如果我死了,我去了地獄,我就不用再應酬你了
[00:01:25.020 --> 00:01:28.980]  所以從頭到尾,他說的不是單單求死那麼簡單
[00:01:28.980 --> 00:01:33.740]  他說「我不想再應酬你,麻煩你離開」
[00:01:33.740 --> 00:01:39.140]  若拿的求死是若拿對耶和華最終的不敬
[00:01:39.140 --> 00:01:40.660]  Ultimate disrespect
[00:01:40.660 --> 00:01:48.700]  他恨惡耶和華到一個極點,他要求死
[00:01:48.700 --> 00:01:51.900]  還有一節,最關鍵的那一節
[00:01:55.740 --> 00:02:01.260]  「耶和華說,你這樣發怒,對嗎?」
[00:02:01.260 --> 00:02:05.540]  你要記得這一節其實是整個故事的最後一節
[00:02:05.540 --> 00:02:09.860]  接著後面的五至十一節是回憶錄
[00:02:09.860 --> 00:02:11.300]  你明白嗎?
[00:02:11.300 --> 00:02:14.460]  這一節是整個故事的最後一節
[00:02:14.460 --> 00:02:18.620]  「耶和華對他說,你這樣發怒,對嗎?」
[00:02:18.620 --> 00:02:20.420]  是不是很面熟?
[00:02:20.420 --> 00:02:24.380]  這不是第一次,之前
[00:02:25.940 --> 00:02:28.420]  或者之後,其實我們現在回到未來
[00:02:28.420 --> 00:02:33.900]  之前在第九節裡面,上帝已經跟他說過一樣東西
[00:02:33.900 --> 00:02:35.820]  他說「你這樣發怒,對嗎?」
[00:02:35.820 --> 00:02:38.860]  是那棵樹的問題
[00:02:38.860 --> 00:02:42.980]  這次他重複同一個問題「你這樣發怒,對嗎?」
