
[00:00:00.000 --> 00:00:03.420]  今天的講題叫「提升靈性智能」
[00:00:03.420 --> 00:00:10.420]  會是比書系列到第四章第八至九節
[00:00:10.420 --> 00:00:15.000]  上星期從牧師講一個題目叫作「智慧的人」
[00:00:15.000 --> 00:00:18.080]  如果大家記得他都講了四點
[00:00:18.080 --> 00:00:21.040]  是聆聽的人、是能夠說話的人
[00:00:21.040 --> 00:00:24.400]  是有行動的人和是禱告的人
[00:00:24.400 --> 00:00:27.400]  今天我和大家分享這個題目
[00:00:27.400 --> 00:00:32.560]  行動或者實踐都是一個非常關鍵的要素
[00:00:32.560 --> 00:00:45.520]  俗語有云:「思想決定行動,行動決定習慣,習慣決定品德,品德決定你的命途」
[00:00:45.520 --> 00:00:51.020]  今天我們每一個人手上都有智能電話
[00:00:51.020 --> 00:00:56.440]  彈指之間我們可以盡覽世界的資訊
[00:00:56.440 --> 00:01:02.360]  很多有趣的影片或者你從未看過的東西
[00:01:02.360 --> 00:01:04.500]  其實你都可以在手機裡看到
[00:01:04.500 --> 00:01:08.040]  不用飛到別處都可以看到
[00:01:08.040 --> 00:01:13.400]  每一天全球的低頭族花了很多時間在網絡上
[00:01:13.400 --> 00:01:20.200]  源源不絕的影片、資訊真的會叫我們上癮
[00:01:20.200 --> 00:01:23.840]  你想想如果你坐在那裡看一些影片
[00:01:23.840 --> 00:01:30.560]  可以看1個小時、2個小時,很快就過了
[00:01:30.560 --> 00:01:33.560]  就是1個小時、2個小時就過去了
[00:01:33.560 --> 00:01:36.960]  有時候都會成為手機資訊的奴隸
[00:01:36.960 --> 00:01:43.920]  如果你們真的因為智能電話令你們上癮
[00:01:43.920 --> 00:01:45.720]  脫不了勾的時候
[00:01:45.720 --> 00:01:51.080]  那你一定要看這期的《城內城外》
[00:01:51.080 --> 00:01:53.720]  歐長江博士寫了一篇文章
[00:01:53.720 --> 00:01:57.680]  《如何跟智能電話脫勾》
[00:01:57.680 --> 00:02:04.080]  但問題是我們每一天思考什麼呢?
[00:02:04.080 --> 00:02:09.640]  腦袋在想什麼呢?
[00:02:09.640 --> 00:02:14.160]  或者我們在注目什麼事情呢?
[00:02:14.160 --> 00:02:17.040]  其實在在影響我們的言語
[00:02:17.040 --> 00:02:19.880]  影響我們的行為、影響我們的品格
[00:02:19.880 --> 00:02:24.200]  好的品德是真正成功人的記號
[00:02:24.200 --> 00:02:25.640]  所以《針言》也有說到
[00:02:25.640 --> 00:02:28.800]  你要保守你的心勝過保守一切
[00:02:28.800 --> 00:02:32.760]  因為一生的果效是由心發出的
[00:02:32.760 --> 00:02:38.160]  有人說我是不是真的需要為自己的思想去負責任呢?
[00:02:38.160 --> 00:02:42.320]  答案是絕對需要的
[00:02:42.320 --> 00:02:46.000]  那我們需不需要為了自己的靈性成不成長
[00:02:46.000 --> 00:02:49.840]  去負責任呢?絕對都是需要的
[00:02:49.840 --> 00:02:53.400]  《菲律賓書》四章八至九節
[00:02:53.400 --> 00:02:56.160]  我們一起讀這兩節的經文吧
[00:02:56.160 --> 00:02:59.240]  弟兄們 我還有話說
[00:02:59.240 --> 00:03:07.440]  凡是真實的、莊重的、公義的、純潔的、可愛的、明星美好的
[00:03:07.440 --> 00:03:12.720]  又或者有什麼未得、有什麼值得讚揚的地方
[00:03:12.720 --> 00:03:16.040]  這些事你們都要思量
[00:03:16.040 --> 00:03:23.840]  你們從我身上所學習的、所領受的、所聽見的、所看見的
[00:03:23.840 --> 00:03:26.840]  這些事你們都要實踐出來
[00:03:26.840 --> 00:03:32.120]  這樣至平安的神就必與你們同在
[00:03:32.120 --> 00:03:37.320]  那我會用這個新漢語譯本
[00:03:37.320 --> 00:03:42.520]  第八節說到一開始我還有話說
[00:03:42.520 --> 00:03:47.440]  意思就是說 最後 沒了
[00:03:47.440 --> 00:03:51.080]  寶來有另一番的勸勉 也是一段的結語
[00:03:51.080 --> 00:03:53.680]  而這兩節有兩個的命令詞
[00:03:53.680 --> 00:03:56.320]  第一個就是要思量
[00:03:56.320 --> 00:03:59.760]  第二個就是要實踐
[00:03:59.760 --> 00:04:04.120]  之後說到一個應許
[00:04:04.120 --> 00:04:10.160]  這樣至平安的神就必與你們同在
[00:04:10.160 --> 00:04:14.640]  這是一個很大的應許、很大的祝福
[00:04:14.640 --> 00:04:16.320]  我們要看到第八節
[00:04:16.320 --> 00:04:20.680]  寶羅是推薦了一連串的品德給菲勒比人的
[00:04:20.680 --> 00:04:22.720]  要他們去思量
[00:04:22.720 --> 00:04:28.080]  值得注意的是 思量就不只是頭腦的認知
[00:04:28.080 --> 00:04:30.960]  而是會生出行動來的
[00:04:30.960 --> 00:04:34.840]  成為我們的生活方式
[00:04:34.840 --> 00:04:42.120]  譬如我們也要思量神的說話 思量不只是水過鴨背
[00:04:42.120 --> 00:04:46.000]  在第六節寶羅說 應當一無掛慮
[00:04:46.000 --> 00:04:47.800]  這是命令
[00:04:47.800 --> 00:04:52.560]  這個命令你們要一無掛慮
[00:04:52.560 --> 00:04:55.120]  我們要行動才行
[00:04:55.120 --> 00:04:57.480]  我們要有什麼方法呢
[00:04:57.480 --> 00:04:58.880]  其實都說了
[00:04:58.880 --> 00:05:02.000]  凡是藉著禱告祈求 懷著感謝的心
[00:05:02.000 --> 00:05:05.200]  將你們所需要的說給神知道
[00:05:05.200 --> 00:05:07.880]  那我們有沒有去做呢
[00:05:07.880 --> 00:05:11.880]  如果我們有很多困擾 煩擾我們的時候
[00:05:11.880 --> 00:05:15.800]  我們第一時間就去實踐 去行出來
[00:05:15.800 --> 00:05:21.240]  去禱告祈求 將我們一切的事情說給神聽的時候
[00:05:21.240 --> 00:05:24.880]  必定經歷神很奇妙的作為
[00:05:24.880 --> 00:05:30.040]  叫我們都可以將這些憂慮、擔心放下
[00:05:30.040 --> 00:05:34.440]  這個「思量」這個字的意思就是
[00:05:34.440 --> 00:05:37.760]  要考慮、要思考
[00:05:37.760 --> 00:05:41.800]  要推斷、衡量某事物的份量和價值
[00:05:41.800 --> 00:05:43.960]  並且容讓這個評估的結果
[00:05:43.960 --> 00:05:47.120]  去影響將要活出來的生命
[00:05:47.120 --> 00:05:51.640]  意思就是說 你是要經過思考、經過分析
[00:05:51.640 --> 00:05:56.640]  按邏輯原則所做的選擇和判斷
[00:05:56.640 --> 00:05:59.200]  你做這個選擇和判斷的時候
[00:05:59.200 --> 00:06:02.880]  你就要去行出來、活出來
[00:06:02.880 --> 00:06:06.200]  所以是要思量的
[00:06:06.200 --> 00:06:13.720]  是要經過時間思考、去衡量某些事物
[00:06:13.720 --> 00:06:16.000]  衡量某些事物有甚麼價值
[00:06:16.000 --> 00:06:19.320]  衡量某些事物的份量是怎樣
