
[00:00:00.000 --> 00:00:08.120]  感謝耶穌基督為我們獻唱一首美好的詩歌
[00:00:08.120 --> 00:00:13.760]  讓我們讚歎這位永恆的主 祂的光照大地
[00:00:13.760 --> 00:00:17.880]  我們先一起低頭同心祈禱
[00:00:17.880 --> 00:00:21.240]  蔡天父上帝我們感謝讚美你
[00:00:21.240 --> 00:00:24.000]  多謝你讓我們在今天的早上
[00:00:24.000 --> 00:00:27.720]  一同回到這裡去聆聽你的話語
[00:00:27.720 --> 00:00:31.240]  主聖靈求你開啟我們心裡的眼睛
[00:00:31.240 --> 00:00:33.720]  開啟我們心裡的耳朵
[00:00:33.720 --> 00:00:36.800]  讓一瞬間無論是聽的還是說的
[00:00:36.800 --> 00:00:41.120]  願你的話語都成為我們生命的提醒和動力
[00:00:41.120 --> 00:00:45.200]  我們這樣祈禱是奉靠主耶穌基督得聖名字祈求
[00:00:45.200 --> 00:00:46.240]  阿們
[00:00:46.240 --> 00:00:48.240]  有一個故事是這樣的
[00:00:48.240 --> 00:00:50.760]  有一位牧師他住在村屋
[00:00:50.760 --> 00:00:53.720]  有一晚他在祈禱的時候
[00:00:53.720 --> 00:00:57.920]  哇 外面有幾隻牛蛙叫得很大聲
[00:00:57.920 --> 00:01:00.480]  如果住村屋聽過牛蛙的聲音
[00:01:00.480 --> 00:01:03.200]  你就會知道有多厲害
[00:01:03.200 --> 00:01:04.840]  他想盡辦法想著
[00:01:04.840 --> 00:01:07.360]  不行 我要去專心祈禱
[00:01:07.360 --> 00:01:10.360]  但是無奈真的不行 因為太吵了
[00:01:10.360 --> 00:01:13.480]  於是他就向著窗外大叫
[00:01:13.480 --> 00:01:15.640]  不要吵啊 我在祈禱啊
[00:01:15.640 --> 00:01:19.320]  你妨礙我聆聽上帝的聲音
[00:01:19.320 --> 00:01:22.400]  誰知道當牧師一聲令下的時候
[00:01:22.400 --> 00:01:25.200]  外面的牛蛙真的不叫
[00:01:25.200 --> 00:01:29.560]  其他的動物和昆蟲都好像立刻沒有聲音一樣
[00:01:29.560 --> 00:01:32.160]  哇 這個環境真是寧靜
[00:01:32.160 --> 00:01:35.320]  令到他可以專心祈禱
[00:01:35.320 --> 00:01:40.000]  不過牧師的心突然間有一個意念浮了出來
[00:01:40.000 --> 00:01:42.920]  就打斷了他祈禱
[00:01:42.920 --> 00:01:44.560]  那個意念就說
[00:01:44.560 --> 00:01:47.240]  說不定牛蛙的叫聲
[00:01:47.240 --> 00:01:49.840]  和你唱詩和祈禱的聲音一樣
[00:01:49.840 --> 00:01:52.200]  都能夠取悅上帝呢
[00:01:52.200 --> 00:01:56.640]  哇 牧師立刻聽到之後就覺得
[00:01:56.640 --> 00:01:58.720]  哇 沒可能啊
[00:01:58.720 --> 00:02:00.640]  牛蛙的聲音這麼吵
[00:02:00.640 --> 00:02:04.520]  怎麼能夠進入上帝尊貴的耳朵啊
[00:02:04.520 --> 00:02:07.920]  但是牧師心底的這個意念繼續很堅持
[00:02:07.920 --> 00:02:11.240]  就說 你為什麼不去想想
[00:02:11.240 --> 00:02:15.240]  上帝為什麼要創造那些聲音呢
[00:02:15.240 --> 00:02:18.360]  牧師決心就要尋根究底
[00:02:18.360 --> 00:02:22.240]  於是牧師伸頭出去 向著窗外大叫
