
[00:00:00.000 --> 00:00:02.000]  我們一起再次禱告
[00:00:02.000 --> 00:00:05.140]  多謝全能的天父上帝
[00:00:05.140 --> 00:00:07.140]  祢呼召我們
[00:00:07.140 --> 00:00:08.540]  因為祢愛我們
[00:00:08.540 --> 00:00:10.300]  祢又呼召我們
[00:00:10.300 --> 00:00:12.300]  跟從祢敬拜祢
[00:00:12.300 --> 00:00:14.300]  多謝祢
[00:00:14.300 --> 00:00:17.060]  其實無論我們在自己家裡
[00:00:17.060 --> 00:00:20.540]  或者回到神的家裡
[00:00:20.540 --> 00:00:24.180]  我們同樣以心靈誠實敬拜祢
[00:00:24.180 --> 00:00:27.540]  我們知道祢同樣的越南
[00:00:27.540 --> 00:00:32.340]  但對於我們來說主要是我們更加滿心的感謝
[00:00:32.340 --> 00:00:35.860]  因為我們可以跟弟兄姊妹在一起
[00:00:35.860 --> 00:00:37.860]  見到面
[00:00:37.860 --> 00:00:40.940]  那種同在
[00:00:40.940 --> 00:00:43.940]  彼此的問安
[00:00:43.940 --> 00:00:45.940]  彼此的鼓勵
[00:00:45.940 --> 00:00:47.940]  實在是我們很需要
[00:00:47.940 --> 00:00:49.940]  所以主多謝祢帶領我們
[00:00:49.940 --> 00:00:53.940]  可以這樣一起聚集
[00:00:53.940 --> 00:00:57.940]  今天我們在信仰上面
[00:00:57.940 --> 00:01:00.940]  再次重整我們的生命
[00:01:00.940 --> 00:01:05.940]  看到我們有在主耶穌裡面的奇妙的救恩
[00:01:05.940 --> 00:01:08.940]  奇妙的基礎
[00:01:08.940 --> 00:01:10.940]  我們繼續前行
[00:01:10.940 --> 00:01:12.940]  繼續向上
[00:01:12.940 --> 00:01:15.940]  繼續忠心跟從祢
[00:01:15.940 --> 00:01:19.940]  又繼續抓緊祢給我們的應許
[00:01:19.940 --> 00:01:23.940]  我們必定能夠反敗為勝
[00:01:23.940 --> 00:01:27.940]  勝利而且勝結
[00:01:27.940 --> 00:01:29.940]  仰望禱告奉耶穌基督的名
[00:01:29.940 --> 00:01:31.940]  阿們
[00:01:31.940 --> 00:01:36.940]  疫情差不多過去
[00:01:36.940 --> 00:01:39.940]  不過總是過不去
[00:01:39.940 --> 00:01:43.940]  還有一些好像吊著尾巴
[00:01:43.940 --> 00:01:47.940]  人生其實很多地方都是這樣
[00:01:47.940 --> 00:01:51.940]  未必可以很完美的毫無瑕疵
[00:01:51.940 --> 00:01:53.940]  永遠都不犯罪
[00:01:53.940 --> 00:01:55.940]  我們都很想
[00:01:55.940 --> 00:01:57.940]  不過我們又知道
[00:01:57.940 --> 00:02:01.940]  我們現實的人生不是這樣
[00:02:01.940 --> 00:02:03.940]  就好像疫情一樣
[00:02:03.940 --> 00:02:07.940]  我前兩天特意上網再看一次
[00:02:07.940 --> 00:02:10.940]  這個疫情
[00:02:10.940 --> 00:02:14.940]  令到二億五千萬的人被感染
[00:02:14.940 --> 00:02:18.940]  死亡的人數超過五百萬
[00:02:18.940 --> 00:02:22.940]  我的數學其實是一般般
[00:02:22.940 --> 00:02:25.940]  死的人有五百萬
