
[00:00:00.000 --> 00:00:10.100]  今日的題目叫「什麼時候我們可以離棄神?」
[00:00:10.100 --> 00:00:11.600]  當我定這個題目的時候
[00:00:11.600 --> 00:00:15.200]  我心裡有兩個感想
[00:00:15.200 --> 00:00:16.600]  第一個感想就是
[00:00:16.600 --> 00:00:21.200]  我想起我以往信仰的歷程裡
[00:00:21.200 --> 00:00:26.200]  時不時的確會見到身旁的一些人
[00:00:26.200 --> 00:00:28.200]  我所認識的一些人
[00:00:28.200 --> 00:00:31.200]  他們來教會一段時間
[00:00:31.200 --> 00:00:35.200]  我們彼此相處一段時間之後
[00:00:35.200 --> 00:00:37.200]  後來不知道為什麼
[00:00:37.200 --> 00:00:39.200]  不知道是什麼原因
[00:00:39.200 --> 00:00:42.200]  他們不再來教會
[00:00:42.200 --> 00:00:46.200]  後來會知道他們是離開教會
[00:00:46.200 --> 00:00:49.200]  甚至是離開神
[00:00:49.200 --> 00:00:51.200]  我心裡就會問
[00:00:51.200 --> 00:00:55.200]  究竟他們發生了什麼事
[00:00:55.200 --> 00:00:59.200]  令他們不再來教會
[00:00:59.200 --> 00:01:03.200]  究竟他們遇到什麼困難
[00:01:03.200 --> 00:01:07.200]  令他們認為這個困難大到
[00:01:07.200 --> 00:01:09.200]  連創造天地萬物
[00:01:09.200 --> 00:01:12.200]  創造我們人的這位造物主神
[00:01:12.200 --> 00:01:15.200]  都幫不了他們
[00:01:15.200 --> 00:01:21.200]  以致他們要離開
[00:01:21.200 --> 00:01:26.200]  在我以前去過的幾間教會裡
[00:01:26.200 --> 00:01:30.200]  在我所認識的人之中
[00:01:30.200 --> 00:01:32.200]  有少年人
[00:01:32.200 --> 00:01:33.200]  有青年人
[00:01:33.200 --> 00:01:35.200]  有成年人
[00:01:35.200 --> 00:01:36.200]  有中年人
[00:01:36.200 --> 00:01:38.200]  有老年人
[00:01:38.200 --> 00:01:40.200]  無論什麼年紀的人都好
[00:01:40.200 --> 00:01:42.200]  總有一些人
[00:01:42.200 --> 00:01:46.200]  慢慢地就會離開教會
[00:01:46.200 --> 00:01:49.200]  離開神
[00:01:49.200 --> 00:01:53.200]  他們有種種原因會離開神
[00:01:53.200 --> 00:01:55.200]  有些人會因為
[00:01:55.200 --> 00:01:58.200]  學業成績不好
[00:01:58.200 --> 00:02:00.200]  所以離開神
[00:02:00.200 --> 00:02:03.200]  有些人因為失戀
[00:02:03.200 --> 00:02:04.200]  離開神
[00:02:04.200 --> 00:02:08.200]  有些人因為家庭很辛苦
[00:02:08.200 --> 00:02:10.200]  搞關係很困難
[00:02:10.200 --> 00:02:12.200]  所以離開神
[00:02:12.200 --> 00:02:14.200]  有些人的婚姻失敗
[00:02:14.200 --> 00:02:16.200]  所以離開神
[00:02:16.200 --> 00:02:18.200]  有些人因為失業
[00:02:18.200 --> 00:02:21.200]  離開神
[00:02:21.200 --> 00:02:23.200]  有些人因為失去
[00:02:23.200 --> 00:02:26.200]  他所親愛的家人
[00:02:26.200 --> 00:02:27.200]  因此他很失望
[00:02:27.200 --> 00:02:29.200]  離開神
[00:02:29.200 --> 00:02:32.200]  有些人失去健康
[00:02:32.200 --> 00:02:35.200]  又失去希望
[00:02:35.200 --> 00:02:38.200]  所以離開神
[00:02:38.200 --> 00:02:40.200]  還有很多很多其他的原因
[00:02:40.200 --> 00:02:43.200]  數之不盡
[00:02:43.200 --> 00:02:45.200]  總之就是令到他們
[00:02:45.200 --> 00:02:48.200]  做了一個決定
[00:02:48.200 --> 00:02:51.200]  離開神
[00:02:51.200 --> 00:02:54.200]  我心裏也有人問
