
[00:00:00.000 --> 00:00:04.000]  想問問大家,你每次在家裡出外,
[00:00:04.000 --> 00:00:08.000]  你會帶上什麼裝備呢?
[00:00:08.000 --> 00:00:11.000]  當然了,你說今天我回來就會,
[00:00:11.000 --> 00:00:13.000]  星期天我一定會穿西裝,
[00:00:13.000 --> 00:00:16.000]  這個,會回來教會裡面,
[00:00:16.000 --> 00:00:20.000]  或者今天你們都會選擇一套特別的服飾,
[00:00:20.000 --> 00:00:23.000]  除了衣服之外呢,你會帶些什麼?
[00:00:23.000 --> 00:00:27.000]  必定要帶的了,其實很多東西都會,
[00:00:27.000 --> 00:00:29.000]  有些什麼?
[00:00:31.000 --> 00:00:35.000]  鎖匙要帶,忘記帶鎖匙,有時候回不了家,
[00:00:35.000 --> 00:00:37.000]  那要帶什麼?
[00:00:37.000 --> 00:00:41.000]  手機要帶,很重要的,
[00:00:41.000 --> 00:00:43.000]  手機沒了好像生活不了,
[00:00:43.000 --> 00:00:45.000]  接著會帶些什麼?
[00:00:45.000 --> 00:00:47.000]  因為八達通要帶,
[00:00:47.000 --> 00:00:48.000]  搭車、搭船,
[00:00:48.000 --> 00:00:50.000]  帶銀包,
[00:00:50.000 --> 00:00:52.000]  還有些什麼?
[00:00:52.000 --> 00:00:55.000]  眼鏡,
[00:00:55.000 --> 00:00:58.000]  最近都要帶多一樣東西,
[00:00:59.000 --> 00:01:00.000]  口罩,大家都知道,
[00:01:00.000 --> 00:01:03.000]  有些疫情出現就會帶口罩,
[00:01:03.000 --> 00:01:08.000]  所以我們都會為我們日常生活裡面,
[00:01:08.000 --> 00:01:10.000]  除了上班、上學,
[00:01:10.000 --> 00:01:12.000]  或者一般的外出,
[00:01:12.000 --> 00:01:14.000]  都會選擇穿什麼服飾,
[00:01:14.000 --> 00:01:17.000]  都會帶上剛才所說的一些裝備,
[00:01:17.000 --> 00:01:19.000]  有時候我們去某些地方,
[00:01:19.000 --> 00:01:21.000]  可能去行山、去旅行,
[00:01:21.000 --> 00:01:23.000]  更加要帶多一些不同的裝備,
[00:01:23.000 --> 00:01:26.000]  所以我們都會為自己選擇,
[00:01:26.000 --> 00:01:27.000]  為自己去安排,
[00:01:28.000 --> 00:01:31.000]  剛才主席幫我們讀了這段經文,
[00:01:31.000 --> 00:01:33.000]  保羅跟我們說,
[00:01:33.000 --> 00:01:35.000]  我們除了這些,
[00:01:35.000 --> 00:01:39.000]  原來我們有一個屬靈的裝備是要穿戴的,
[00:01:39.000 --> 00:01:41.000]  這是很重要的事情,
[00:01:41.000 --> 00:01:43.000]  因為作為一個基督徒的,
[00:01:43.000 --> 00:01:45.000]  基督耶穌的門徒,
[00:01:45.000 --> 00:01:49.000]  我們知道我們自己其實是處身一個,
[00:01:49.000 --> 00:01:53.000]  屬靈爭戰的世界裡面,
[00:01:53.000 --> 00:01:56.000]  我們會對於疫情的時候,
[00:01:56.000 --> 00:01:57.000]  我們會很緊張,
[00:01:57.000 --> 00:01:59.000]  有沒有疫情來到香港,
[00:01:59.000 --> 00:02:00.000]  會不會有機會,
[00:02:00.000 --> 00:02:07.000]  武漢那些新型的病毒會進來香港,
[00:02:07.000 --> 00:02:08.000]  我們會很緊張,
[00:02:08.000 --> 00:02:10.000]  但其實我們在屬靈世界裡面,
[00:02:10.000 --> 00:02:13.000]  這個緊張的情況,
[00:02:13.000 --> 00:02:15.000]  這個凶險的情況,
[00:02:15.000 --> 00:02:18.000]  比一切疫情更加厲害,
[00:02:18.000 --> 00:02:21.000]  魔鬼撒旦就是掌管,
[00:02:21.000 --> 00:02:28.000]  控制著屬天空屬靈界的情況,
[00:02:28.000 --> 00:02:32.000]  但我們可能在這個世界裡面,
[00:02:32.000 --> 00:02:34.000]  我們忙碌於我們生活,
[00:02:34.000 --> 00:02:35.000]  我們不會體會到,
[00:02:35.000 --> 00:02:37.000]  好像屬靈一個角度裡面,
[00:02:37.000 --> 00:02:40.000]  那麼多的爭戰和爭執,
[00:02:40.000 --> 00:02:41.000]  但保羅就提出,
[00:02:41.000 --> 00:02:43.000]  其實就是這樣的情況,
[00:02:43.000 --> 00:02:50.000]  所以我們如果要去贏得天空屬靈氣的惡魔的時候,
[00:02:50.000 --> 00:02:55.000]  就一定要去使用這個全副的裝備,
[00:02:55.000 --> 00:02:57.000]  裡面講及到有真理,
[00:02:57.000 --> 00:02:58.000]  公義,
[00:02:58.000 --> 00:02:59.000]  平安的福音,
