
[00:00:00.000 --> 00:00:03.000]  獵王紀合一王朝的第九章
[00:00:03.000 --> 00:00:06.000]  今天我們要講第九章
[00:00:06.000 --> 00:00:09.000]  我們上次已經開始了獵王紀上的第九章
[00:00:09.000 --> 00:00:11.000]  但是沒有講完
[00:00:11.000 --> 00:00:13.000]  今天是會講第十章
[00:00:13.000 --> 00:00:17.000]  是講到所羅門王對外的事工
[00:00:17.000 --> 00:00:19.000]  其中一樣我們會見到的
[00:00:19.000 --> 00:00:22.000]  就是所羅門他的聲名遠播
[00:00:22.000 --> 00:00:26.000]  很多外國的君王他們都仰慕所羅門
[00:00:26.000 --> 00:00:30.000]  今天我們會見到士巴女王就是一個例子
[00:00:30.000 --> 00:00:33.000]  士巴女王來到探望所羅門
[00:00:33.000 --> 00:00:35.000]  今天的這篇道的題目
[00:00:35.000 --> 00:00:38.000]  就是士巴女王看見榮耀
[00:00:38.000 --> 00:00:41.000]  神卻看見危機
[00:00:41.000 --> 00:00:44.000]  士巴女王的確見到所羅門的榮耀
[00:00:44.000 --> 00:00:49.000]  但是在背後是有很多暗藏的危機
[00:00:49.000 --> 00:00:52.000]  今天的大綱一共是有五點
[00:00:52.000 --> 00:00:56.000]  大部份仍然是獵王紀上的第九章
[00:00:56.000 --> 00:01:01.000]  開始第一點就是所羅門王對外的外交手段
[00:01:01.000 --> 00:01:06.000]  第二點他鞏固了自己的王國
[00:01:06.000 --> 00:01:09.000]  第三點他將榮耀歸給神
[00:01:09.000 --> 00:01:14.000]  他獻祭在聖殿來敬拜耶和華
[00:01:14.000 --> 00:01:18.000]  第四點他擴張了海上的勢力
[00:01:18.000 --> 00:01:22.000]  第五點就是獵王紀上的第十章
[00:01:22.000 --> 00:01:27.000]  我們能夠見到所羅門王赴禮堂皇的生活
[00:01:27.000 --> 00:01:29.000]  我講很多的系列
[00:01:29.000 --> 00:01:33.000]  我都講過是為了要陪大家來讀經
[00:01:33.000 --> 00:01:35.000]  所以如果你今天聽我這篇道的話
[00:01:35.000 --> 00:01:40.000]  你就應該要讀獵王紀上的第八章和第九章
[00:01:40.000 --> 00:01:46.000]  而都要讀的經文就是歷代之下的第八章和第九章
[00:01:46.000 --> 00:01:49.000]  因為所講的都是同一樣的事
[00:01:49.000 --> 00:01:51.000]  在今天的經文
[00:01:51.000 --> 00:01:55.000]  推羅王希蘭的名字又再出現
[00:01:55.000 --> 00:01:58.000]  記不記得推羅王就是大衛的好朋友
