
[00:00:00.000 --> 00:00:02.920]  今天我和大家一起來看一段經文
[00:00:02.920 --> 00:00:05.300]  《出一及記》的第四章
[00:00:05.300 --> 00:00:07.480]  我不知道大家看到這段經文的時候
[00:00:07.480 --> 00:00:10.760]  有沒有一些印象
[00:00:10.760 --> 00:00:12.280]  可能你都會有一些印象
[00:00:12.280 --> 00:00:14.560]  就是我們上個星期
[00:00:14.560 --> 00:00:18.880]  都是講《出一及記》第三第四章
[00:00:18.880 --> 00:00:20.080]  大家還記不記得上個星期
[00:00:20.080 --> 00:00:22.400]  曹牧師在這裡講的題目是甚麼
[00:00:22.400 --> 00:00:25.080]  是摩西對神的回應
[00:00:25.080 --> 00:00:28.040]  他講了一句說話或一個問題
[00:00:28.040 --> 00:00:29.800]  他問甚麼
[00:00:29.800 --> 00:00:32.760]  我是甚麼人
[00:00:32.760 --> 00:00:38.160]  這就是上一次曹牧師去港道的訊息
[00:00:38.160 --> 00:00:40.000]  如果大家要重溫
[00:00:40.000 --> 00:00:41.680]  可以在網上重溫
[00:00:41.680 --> 00:00:42.360]  可以在外面
[00:00:42.360 --> 00:00:45.560]  我們也有一些港道的記錄
[00:00:45.560 --> 00:00:46.480]  大家可以拿回去
[00:00:46.480 --> 00:00:48.440]  回去坐在一旁看看
[00:00:48.440 --> 00:00:52.240]  我也覺得神都好讓我可以有一個補足
[00:00:52.240 --> 00:00:53.960]  互補當中
[00:00:53.960 --> 00:00:56.000]  曹牧師講了
[00:00:56.000 --> 00:00:58.320]  《出一及記》三章四章的時候
[00:00:58.320 --> 00:01:02.680]  其實我可以不用講那麼多這個背景
[00:01:02.680 --> 00:01:03.960]  所以我可以很直接
[00:01:03.960 --> 00:01:06.400]  在《出一及記》四章十到二十六節
[00:01:06.400 --> 00:01:09.280]  跟大家領受神給我們的訊息
[00:01:09.280 --> 00:01:11.080]  我又很想趁今年
[00:01:11.080 --> 00:01:15.240]  我們基督事主與己與人結年
[00:01:15.240 --> 00:01:17.160]  是我們今年這個主題
[00:01:17.160 --> 00:01:19.760]  很想從摩西所經歷的
[00:01:19.760 --> 00:01:23.760]  我們一齊再一次認定基督事主
[00:01:23.760 --> 00:01:25.800]  我們能夠學習
[00:01:25.800 --> 00:01:29.160]  怎樣可以與人 與自己
[00:01:29.160 --> 00:01:32.920]  更加是與造物主的結年
[00:01:32.920 --> 00:01:35.200]  揸入的四章經文
[00:01:35.200 --> 00:01:36.720]  開始的時候我會
[00:01:36.720 --> 00:01:39.840]  這個上星期也有看過的
[00:01:39.840 --> 00:01:42.440]  簡單來講就是講到摩西與神講
[00:01:42.440 --> 00:01:44.160]  去絕口殯舌
[00:01:44.160 --> 00:01:45.920]  去做不到事的
[00:01:45.920 --> 00:01:51.120]  神要去跟法老說話
[00:01:51.120 --> 00:01:55.360]  要將以色列人帶領離開埃及
[00:01:55.360 --> 00:01:57.240]  而我神怎樣回應呢
[00:01:57.240 --> 00:02:01.680]  其中一個就說是誰做人的口呢
[00:02:01.680 --> 00:02:03.480]  誰做人的口呢
[00:02:03.480 --> 00:02:05.240]  然後就講了不同的一些說話
[00:02:05.240 --> 00:02:06.800]  這就提醒我們
[00:02:06.800 --> 00:02:11.360]  神創造你和我
[00:02:11.360 --> 00:02:15.160]  但是摩西有一點點跟神講數
[00:02:15.160 --> 00:02:17.360]  神就有點生氣了
[00:02:17.360 --> 00:02:18.800]  他就告訴他
[00:02:18.800 --> 00:02:23.600]  他會用他哥哥阿倫來幫他
[00:02:23.600 --> 00:02:28.000]  阿倫就會成為摩西的口
[00:02:28.000 --> 00:02:29.320]  而這裏提到
[00:02:29.320 --> 00:02:31.280]  他要以你當作神
[00:02:31.280 --> 00:02:36.520]  就是阿倫就要將摩西當作神一樣
[00:02:36.520 --> 00:02:38.560]  於是這段經文就是
[00:02:38.560 --> 00:02:39.640]  上星期沒講到的
[00:02:39.640 --> 00:02:42.720]  下星期就講摩西回到他岳父的家
