
[00:00:00.000 --> 00:00:01.280]  各位姐妹們平安
[00:00:01.280 --> 00:00:03.840]  在今天講到之前
[00:00:03.840 --> 00:00:05.640]  我想首先向
[00:00:05.640 --> 00:00:08.200]  中文大學合唱團致謝
[00:00:08.200 --> 00:00:11.780]  剛才那首歌叫什麼名字
[00:00:11.780 --> 00:00:15.360]  我想大家再次給他們掌聲
[00:00:15.360 --> 00:00:27.400]  中文大學合唱團的歷史其實和中文大學的歷史是很類似的
[00:00:27.900 --> 00:00:30.460]  中文大學由三間書院所組成
[00:00:30.460 --> 00:00:31.480]  最初的時候
[00:00:31.480 --> 00:00:33.020]  中文大學合唱團
[00:00:33.020 --> 00:00:35.320]  其實都是在這樣的背景底下
[00:00:35.320 --> 00:00:36.340]  組成
[00:00:36.340 --> 00:00:39.680]  現在已經組成到現在已經有50年歷史了
[00:00:39.680 --> 00:00:42.500]  如果要追溯去組成之前就更加不止了
[00:00:42.500 --> 00:00:46.840]  我們很感謝他們今天在我們當中來獻唱
[00:00:46.840 --> 00:00:48.120]  還有我相信
[00:00:48.120 --> 00:00:53.000]  可能有些團員都是第一次來參加崇擊禮拜堂的崇拜
[00:00:54.280 --> 00:00:59.140]  希望今天的崇拜會令到大家對於在中文大學裡面
[00:00:59.140 --> 00:01:04.780]  這個禮拜堂和這個禮拜堂所表達的信仰有多一點的認識
[00:01:04.780 --> 00:01:08.880]  今天的題目是
[00:01:08.880 --> 00:01:11.940]  如果耶穌顯現你認不認得出祂呢
[00:01:11.940 --> 00:01:14.260]  你有沒有聽過別人說
[00:01:14.260 --> 00:01:16.300]  如果你想我信耶穌
[00:01:16.300 --> 00:01:18.600]  你叫耶穌出來給我看看
[00:01:18.600 --> 00:01:22.180]  其實
[00:01:22.180 --> 00:01:23.720]  我們試試想一想
[00:01:24.240 --> 00:01:25.260]  如果現在
[00:01:25.260 --> 00:01:28.600]  耶穌真的突然間跳出來
[00:01:28.600 --> 00:01:31.160]  其實你認不認得那個就是耶穌呢
[00:01:31.160 --> 00:01:33.720]  OK
[00:01:33.720 --> 00:01:36.280]  我不認得不要緊
[00:01:36.280 --> 00:01:39.080]  那祂告訴我祂是耶穌不就行了
[00:01:39.080 --> 00:01:41.900]  如果祂告訴你我就是耶穌
[00:01:41.900 --> 00:01:44.200]  那你又肯不肯定
[00:01:44.200 --> 00:01:45.480]  祂就是耶穌呢
[00:01:45.480 --> 00:01:49.580]  我猜這個問題真是
[00:01:49.580 --> 00:01:51.640]  問問自己就發覺
[00:01:52.140 --> 00:01:54.440]  這個要求其實都
[00:01:54.440 --> 00:01:55.720]  不是很
[00:01:55.720 --> 00:01:57.260]  有用
[00:01:57.260 --> 00:02:01.100]  其實不要說我們
[00:02:01.100 --> 00:02:03.920]  懷疑自己認不認得出祂
[00:02:03.920 --> 00:02:07.240]  你記不記得你剛才讀過的福音經課
[00:02:07.240 --> 00:02:10.060]  福音經課那個故事
[00:02:10.060 --> 00:02:15.440]  在二馬五獅路上那兩個門徒
[00:02:15.440 --> 00:02:17.240]  都認不出
[00:02:17.240 --> 00:02:19.020]  復活之後的耶穌
[00:02:19.020 --> 00:02:21.080]  何況是
[00:02:21.320 --> 00:02:23.120]  隔了二千年的我們呢
[00:02:23.120 --> 00:02:28.740]  我們今天再來看這個故事
[00:02:28.740 --> 00:02:31.300]  不是為了預備有一刻
[00:02:31.300 --> 00:02:33.360]  耶穌突然出現在我們面前
[00:02:33.360 --> 00:02:35.140]  我們有什麼方法可以認得出祂
[00:02:35.140 --> 00:02:36.680]  不是
[00:02:36.680 --> 00:02:38.720]  我們今天再讀這個故事
[00:02:38.720 --> 00:02:40.260]  是想
