
[00:00:00.000 --> 00:00:05.120]  在兩年前我有一次跟師母去一個會友家吃晚飯
[00:00:05.120 --> 00:00:08.200]  這個會友家有一個女兒在讀大學
[00:00:08.200 --> 00:00:10.400]  她忽然間問我們夫婦
[00:00:10.400 --> 00:00:14.440]  她說牧師師母你有沒有看過一齣連續劇
[00:00:14.440 --> 00:00:15.680]  我說什麼連續劇
[00:00:15.680 --> 00:00:17.360]  她說《恩還傳》
[00:00:17.360 --> 00:00:18.600]  我聽都沒聽過
[00:00:18.600 --> 00:00:21.040]  在那個時候我沒聽過
[00:00:21.040 --> 00:00:23.520]  她說《恩還傳》很出名的
[00:00:23.520 --> 00:00:24.800]  很好看
[00:00:24.800 --> 00:00:27.240]  她說我看了兩次
[00:00:27.240 --> 00:00:28.240]  我說多少集
[00:00:28.240 --> 00:00:31.880]  她說六十多集 六十多集看兩次都挺厲害的
[00:00:31.880 --> 00:00:33.000]  我說這麼好看
[00:00:33.000 --> 00:00:34.880]  她說真的很好看
[00:00:34.880 --> 00:00:37.880]  於是那一晚我跟師母回家
[00:00:37.880 --> 00:00:40.800]  在Youtube下載看了第一集
[00:00:40.800 --> 00:00:43.200]  看完第一集後我們每晚都看一集
[00:00:43.200 --> 00:00:44.800]  結果看了六十多集
[00:00:44.800 --> 00:00:48.200]  看著看著都挺好看的
[00:00:48.200 --> 00:00:53.520]  原來我看回清朝那邊的宮廷戲
[00:00:53.520 --> 00:00:55.560]  讓我看到聖經那邊一句說話
[00:00:55.560 --> 00:00:58.480]  「絕對絕對是很特別」
[00:00:58.480 --> 00:01:01.960]  這句說話就是「日光之下無生事」
[00:01:01.960 --> 00:01:05.240]  我們看回今天我跟大家分享的經文
[00:01:05.240 --> 00:01:07.480]  就是有些改變
[00:01:07.480 --> 00:01:12.480]  我們去年教會所有同工都是講羅馬書
[00:01:12.480 --> 00:01:14.480]  所以我們無論哪個同工講到
[00:01:14.480 --> 00:01:16.600]  都是逐章逐章 逐段逐段
[00:01:16.600 --> 00:01:18.760]  來將羅馬書講完
[00:01:18.760 --> 00:01:20.160]  今年我們有些改變
[00:01:20.160 --> 00:01:24.680]  我們可以同工自己走在一起決定講什麼
[00:01:24.680 --> 00:01:26.960]  或者我們自由可以講什麼
[00:01:26.960 --> 00:01:29.880]  我們比較自由一點這一年
[00:01:29.880 --> 00:01:33.600]  去年我心裏很有感動
[00:01:33.600 --> 00:01:35.080]  很想講一本書
[00:01:35.080 --> 00:01:37.920]  這本書是我從來沒講過的一本書
[00:01:37.920 --> 00:01:41.000]  就是在教育那邊的《耳絲帖記》
[00:01:41.000 --> 00:01:46.040]  因為當我自己再看回整本《耳絲帖記》的時候
[00:01:46.040 --> 00:01:47.520]  我忽然之間發覺
