
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹們主內平安
[00:00:02.000 --> 00:00:05.000]  稍微做一個補充
[00:00:05.000 --> 00:00:06.000]  不是我的爺爺
[00:00:06.000 --> 00:00:08.000]  是我的父親
[00:00:08.000 --> 00:00:12.000]  感謝神
[00:00:12.000 --> 00:00:14.000]  非常高興
[00:00:14.000 --> 00:00:15.000]  今天早晨
[00:00:15.000 --> 00:00:18.000]  能夠來到北宣
[00:00:18.000 --> 00:00:19.000]  特別來到我們
[00:00:19.000 --> 00:00:21.000]  普通話的聚會
[00:00:21.000 --> 00:00:22.000]  在這邊
[00:00:22.000 --> 00:00:23.000]  與弟兄姊妹們一起
[00:00:23.000 --> 00:00:25.000]  敬拜我們的主
[00:00:25.000 --> 00:00:27.000]  我們的上帝
[00:00:27.000 --> 00:00:29.000]  我想也特別謝謝
[00:00:29.000 --> 00:00:31.000]  貴教會的通過
[00:00:31.000 --> 00:00:33.000]  給我這樣的一個機會
[00:00:33.000 --> 00:00:35.000]  能夠在這邊
[00:00:35.000 --> 00:00:37.000]  在我們教會的
[00:00:37.000 --> 00:00:39.000]  拆傳主日
[00:00:39.000 --> 00:00:40.000]  特別在這邊
[00:00:40.000 --> 00:00:42.000]  跟弟兄姊妹們一起
[00:00:42.000 --> 00:00:44.000]  分享信息
[00:00:44.000 --> 00:00:47.000]  其實我一般都非常習慣
[00:00:47.000 --> 00:00:48.000]  一講就講
[00:00:48.000 --> 00:00:50.000]  一個多鐘頭的到
[00:00:50.000 --> 00:00:51.000]  所以呢
[00:00:51.000 --> 00:00:53.000]  我看到今天我的時間
[00:00:53.000 --> 00:00:55.000]  我就發現貴教會
[00:00:55.000 --> 00:00:57.000]  喝咖啡不是喝Latte
[00:00:57.000 --> 00:00:59.000]  是喝Espresso
[00:00:59.000 --> 00:01:01.000]  我們的時間非常的有限
[00:01:01.000 --> 00:01:02.000]  非常的有限
[00:01:02.000 --> 00:01:04.000]  但是也求神
[00:01:04.000 --> 00:01:06.000]  在我們的當中
[00:01:06.000 --> 00:01:09.000]  來打開我們每個人的心門
[00:01:09.000 --> 00:01:11.000]  開我們的心竅
[00:01:11.000 --> 00:01:14.000]  讓我們能夠一起
[00:01:14.000 --> 00:01:15.000]  領受祂的話
[00:01:15.000 --> 00:01:16.000]  今天早晨
[00:01:16.000 --> 00:01:17.000]  要跟大家一起
[00:01:17.000 --> 00:01:19.000]  分享的題目是
[00:01:19.000 --> 00:01:20.000]  曠野之路
[00:01:20.000 --> 00:01:22.000]  救恩之道
[00:01:22.000 --> 00:01:26.000]  曠野之路
[00:01:26.000 --> 00:01:29.000]  救恩之道
[00:01:29.000 --> 00:01:31.000]  當然
[00:01:31.000 --> 00:01:32.000]  若是你熟悉
[00:01:32.000 --> 00:01:33.000]  使徒行傳的話
[00:01:33.000 --> 00:01:34.000]  會知道
[00:01:34.000 --> 00:01:35.000]  我們剛剛翻到
[00:01:35.000 --> 00:01:37.000]  使徒行傳第八章
[00:01:37.000 --> 00:01:39.000]  其實是在整個
[00:01:39.000 --> 00:01:41.000]  使徒行傳當中的一個
[00:01:41.000 --> 00:01:43.000]  新的一個轉捩點
[00:01:43.000 --> 00:01:45.000]  許多聖經專家
[00:01:45.000 --> 00:01:46.000]  告訴我們
[00:01:46.000 --> 00:01:47.000]  其實我們剛剛
[00:01:47.000 --> 00:01:49.000]  一起朗誦
[00:01:49.000 --> 00:01:51.000]  使徒行傳一章八節
[00:01:51.000 --> 00:01:52.000]  其實就是整個
[00:01:52.000 --> 00:01:54.000]  使徒行傳的一個大綱
[00:01:54.000 --> 00:01:56.000]  也就是說
[00:01:56.000 --> 00:01:57.000]  從第一章到第七章
[00:01:57.000 --> 00:01:59.000]  我們看到路加作者
[00:01:59.000 --> 00:02:00.000]  他的重點
[00:02:00.000 --> 00:02:01.000]  是在於福音
[00:02:01.000 --> 00:02:03.000]  怎麼樣在耶路撒冷
[00:02:03.000 --> 00:02:05.000]  這個地方展開
[00:02:05.000 --> 00:02:06.000]  然後從第八章
[00:02:06.000 --> 00:02:09.000]  一直到其實第十二章
[00:02:09.000 --> 00:02:11.000]  我們就看到路加
[00:02:11.000 --> 00:02:12.000]  就描述福音
[00:02:12.000 --> 00:02:13.000]  怎麼從耶路撒冷
[00:02:13.000 --> 00:02:15.000]  到猶大全地
[00:02:15.000 --> 00:02:17.000]  以及到撒瑪利亞
[00:02:17.000 --> 00:02:19.000]  然後從第十三章
[00:02:19.000 --> 00:02:21.000]  一直到第二十八章
[00:02:21.000 --> 00:02:23.000]  其實主要所在描述的
[00:02:23.000 --> 00:02:25.000]  就是福音怎麼樣
[00:02:25.000 --> 00:02:27.000]  往地琪邁進
[00:02:27.000 --> 00:02:29.000]  甚至有聖經專家
[00:02:29.000 --> 00:02:31.000]  告訴我們其實今天
[00:02:31.000 --> 00:02:32.000]  你我正在寫
[00:02:32.000 --> 00:02:35.000]  使徒行傳第二十九章
[00:02:35.000 --> 00:02:37.000]  不曉得寫得怎麼樣
[00:02:37.000 --> 00:02:38.000]  第八章是一個
[00:02:38.000 --> 00:02:40.000]  新的一個開始
[00:02:40.000 --> 00:02:41.000]  當然我想若是
[00:02:41.000 --> 00:02:42.000]  我們有更多的時間
[00:02:42.000 --> 00:02:44.000]  我們可以很快的注意一下
[00:02:44.000 --> 00:02:46.000]  第八章一開始描述了
[00:02:46.000 --> 00:02:49.000]  因者教會遇到逼迫
[00:02:49.000 --> 00:02:53.000]  因此門徒們就四散
[00:02:53.000 --> 00:02:54.000]  而當他們四散的時候
[00:02:54.000 --> 00:02:57.000]  若是你聖經還是打開的話
[00:02:57.000 --> 00:02:58.000]  我們就讀到
[00:02:58.000 --> 00:03:00.000]  他們就四散
[00:03:00.000 --> 00:03:02.000]  或者他們就分散
[00:03:02.000 --> 00:03:05.000]  且往各處去傳道
[00:03:05.000 --> 00:03:08.000]  在第四節這樣告訴我們
[00:03:08.000 --> 00:03:09.000]  也就是說
[00:03:09.000 --> 00:03:13.000]  當教會遇到逼迫的時候
