
[00:00:00.000 --> 00:00:02.120]  感謝神 今早沒有下雨
[00:00:02.120 --> 00:00:03.720]  你們有沒有人帶雨傘?
[00:00:03.720 --> 00:00:04.780]  沒有
[00:00:04.780 --> 00:00:07.000]  有沒有帶雨傘?
[00:00:07.000 --> 00:00:14.240]  是的 因為我們每個人都有預備
[00:00:14.240 --> 00:00:15.480]  作好準備
[00:00:15.480 --> 00:00:17.360]  很多時候我們為了
[00:00:17.360 --> 00:00:20.280]  前面需要發生的事有預備
[00:00:20.280 --> 00:00:24.040]  接下來這幾天很大雨 很大風
[00:00:24.040 --> 00:00:28.440]  所以很多人就預備他們這些沙包
[00:00:28.440 --> 00:00:29.720]  為了防水
[00:00:29.720 --> 00:00:33.360]  為了看看屋頂有沒有積樹葉
[00:00:33.360 --> 00:00:37.320]  讓水不會積泉等等
[00:00:37.320 --> 00:00:40.520]  因為我們都會計劃為前面有預備
[00:00:40.520 --> 00:00:41.600]  有沒有預備?
[00:00:41.600 --> 00:00:43.240]  當然有
[00:00:43.240 --> 00:00:45.160]  正常的人都會想下
[00:00:45.160 --> 00:00:46.680]  明天有什麼預備
[00:00:46.680 --> 00:00:48.680]  明天吃什麼 買什麼
[00:00:48.680 --> 00:00:50.240]  正常的人都會想下
[00:00:50.240 --> 00:00:55.920]  我們要預備一些我們所需用的一切
[00:00:55.920 --> 00:00:58.920]  包括我們人生不同的階段
[00:00:59.040 --> 00:01:02.840]  讀書的時候就要預備學費
[00:01:02.840 --> 00:01:06.440]  工作的時候就要預備結婚
[00:01:06.440 --> 00:01:08.880]  就預備經費
[00:01:08.880 --> 00:01:11.680]  沒有家的就想下
[00:01:11.680 --> 00:01:14.880]  什麼時候要買一間屋來安居
[00:01:14.880 --> 00:01:16.480]  我們都有積蓄
[00:01:16.480 --> 00:01:17.160]  什麼?
[00:01:17.160 --> 00:01:19.280]  積蓄防饑
[00:01:19.280 --> 00:01:22.240]  現在我們來到這個階段
[00:01:22.240 --> 00:01:23.320]  快要退休了
[00:01:23.320 --> 00:01:26.200]  很多人就退休了
[00:01:26.200 --> 00:01:27.600]  或者已經退休了
[00:01:27.600 --> 00:01:29.200]  都會想下究竟
[00:01:29.200 --> 00:01:32.680]  我們的退休夠不夠錢用
[00:01:32.680 --> 00:01:37.280]  人一定會正常來說會預備的
[00:01:37.280 --> 00:01:40.400]  但如果我們在人生當中
[00:01:40.400 --> 00:01:41.960]  短短幾十寒暑
[00:01:41.960 --> 00:01:43.000]  真是快
[00:01:43.000 --> 00:01:45.560]  又來又說新年了
[00:01:45.560 --> 00:01:47.960]  又一個寒暑又到了
[00:01:47.960 --> 00:01:50.880]  匆匆幾十年真是很快過去
[00:01:50.880 --> 00:01:52.640]  如果我們這麼短的人生
[00:01:52.640 --> 00:01:54.320]  都會有這麼多預備
[00:01:54.320 --> 00:01:55.720]  積蓄防饑
[00:01:55.720 --> 00:01:56.920]  預備未來
[00:01:57.200 --> 00:02:00.480]  何況我們將來永恆
[00:02:00.480 --> 00:02:03.360]  將來是永永遠遠
[00:02:03.360 --> 00:02:04.880]  億億萬萬年
[00:02:04.880 --> 00:02:07.080]  如果今天幾十年
[00:02:07.080 --> 00:02:09.640]  我們都這麼緊張來預備
[00:02:09.640 --> 00:02:13.440]  為什麼不為未來做好預備呢
[00:02:13.440 --> 00:02:18.040]  現在那些退休金叫catch up
[00:02:18.040 --> 00:02:19.200]  大家有沒有知道
[00:02:19.200 --> 00:02:20.800]  你過了多少歲
[00:02:20.800 --> 00:02:25.400]  什麼?
[00:02:25.400 --> 00:02:26.440]  七十歲
[00:02:26.440 --> 00:02:27.440]  不是
[00:02:27.440 --> 00:02:28.960]  catch up那些說
[00:02:28.960 --> 00:02:30.720]  你以前儲不夠錢
[00:02:30.720 --> 00:02:32.240]  然後退休不夠錢用
[00:02:32.240 --> 00:02:35.360]  現在政府給你在稅務上有優惠
[00:02:35.360 --> 00:02:35.920]  你知的
[00:02:35.920 --> 00:02:37.640]  你儲退休金
[00:02:37.640 --> 00:02:40.440]  可以catch up
[00:02:40.440 --> 00:02:42.560]  五十歲以上可以catch up
[00:02:42.560 --> 00:02:44.800]  所以你們有沒有超過五十歲
[00:02:44.800 --> 00:02:46.680]  我不敢問
[00:02:46.680 --> 00:02:53.160]  我發覺我以前退休儲得不夠錢
[00:02:53.160 --> 00:02:55.160]  到五十歲之後就catch up
[00:02:55.160 --> 00:02:57.240]  希望儲多一點
[00:02:57.240 --> 00:02:58.720]  每個人都會這樣預備
[00:02:58.720 --> 00:03:00.960]  所以現在我教我的女兒
[00:03:00.960 --> 00:03:02.800]  她前幾年開始工作
[00:03:02.800 --> 00:03:06.360]  我就說現在開始要設一個退休戶口
[00:03:06.360 --> 00:03:08.240]  開始儲錢
[00:03:08.240 --> 00:03:12.240]  因為到你們去到社交安全的時候
[00:03:12.240 --> 00:03:13.000]  靠
[00:03:13.000 --> 00:03:15.440]  差不多可能都不用靠她了
[00:03:15.440 --> 00:03:16.920]  都沒什麼用
[00:03:16.920 --> 00:03:20.600]  所以現在就好好儲錢
[00:03:20.600 --> 00:03:22.040]  不過我又教她
[00:03:22.040 --> 00:03:22.960]  因為她問我
[00:03:22.960 --> 00:03:25.480]  就是財務的事應該怎樣處理
[00:03:25.480 --> 00:03:28.160]  我說the first rule of thumb
[00:03:28.160 --> 00:03:29.520]  就是第一個最重要的
[00:03:29.520 --> 00:03:30.680]  Finance 101
[00:03:30.680 --> 00:03:34.560]  我說記得十一奉獻
[00:03:34.560 --> 00:03:36.360]  所以她都很感謝神下
[00:03:36.360 --> 00:03:41.640]  她就開始做事學習奉獻
[00:03:41.640 --> 00:03:42.800]  因為我們知道
[00:03:42.800 --> 00:03:43.920]  為什麼我會這樣教她
[00:03:43.920 --> 00:03:47.280]  因為我們知道這個是蒙福的道路
[00:03:47.280 --> 00:03:52.440]  這個是為將來做好預備
[00:03:52.440 --> 00:03:54.920]  不單止為我們退休做好預備
[00:03:54.920 --> 00:03:57.240]  就是為我們永恆做好預備
[00:03:57.240 --> 00:03:59.800]  為來世做好預備
[00:03:59.800 --> 00:04:02.360]  所以這個實在是很重要
[00:04:02.360 --> 00:04:08.200]  是主耶穌多次多次在他的教導裡面提醒我們
[00:04:08.200 --> 00:04:11.880]  因為我們得救是白白的恩典
[00:04:11.880 --> 00:04:14.080]  但是將來要不要得賞賜呢
[00:04:14.080 --> 00:04:16.360]  我剛才唱過一首詩歌
[00:04:16.360 --> 00:04:18.880]  就是看我們有沒有預備好
[00:04:18.880 --> 00:04:21.880]  來得神的賞賜
[00:04:21.880 --> 00:04:24.640]  神很希望賞賜我們
