
[00:00:00.000 --> 00:00:03.400]  今天跟大家講的題目
[00:00:03.400 --> 00:00:05.200]  前四個字你一定懂的
[00:00:05.200 --> 00:00:07.600]  叫做「寂寞難耐」
[00:00:07.600 --> 00:00:09.800]  但後四個字更重要
[00:00:09.800 --> 00:00:12.500]  「有神共命」
[00:00:12.500 --> 00:00:13.800]  「寂寞難耐」
[00:00:13.800 --> 00:00:15.100]  你應該聽過的
[00:00:15.100 --> 00:00:16.700]  「寂寞難耐」
[00:00:16.700 --> 00:00:17.400]  對不對
[00:00:17.400 --> 00:00:18.800]  「寂寞難耐」
[00:00:18.800 --> 00:00:21.800]  這樣我們唱
[00:00:21.800 --> 00:00:24.800]  但最重要是「有神共命」
[00:00:24.800 --> 00:00:27.300]  「寂寞」這兩個字
[00:00:27.300 --> 00:00:29.800]  知不知道現在很流行
[00:00:29.800 --> 00:00:31.700]  英國二零一八年
[00:00:31.700 --> 00:00:34.800]  就有「孤獨大臣」的設立
[00:00:34.800 --> 00:00:37.500]  而「寂寞」這個病
[00:00:37.500 --> 00:00:39.800]  有人叫做「孤獨病」
[00:00:39.800 --> 00:00:41.800]  就已經席捲全球
[00:00:41.800 --> 00:00:46.100]  成為癌症之後是致命的
[00:00:46.100 --> 00:00:47.600]  這裡說
[00:00:47.600 --> 00:00:50.800]  世衛說寂寞就好像每天吃十五支煙那樣
[00:00:50.800 --> 00:00:52.900]  傷害我們的身心
[00:00:52.900 --> 00:00:54.400]  而有兩類人
[00:00:54.400 --> 00:00:56.300]  你自己檢查一下你自己是不是這類
[00:00:56.300 --> 00:00:58.000]  六十五歲以上老年人
[00:00:58.000 --> 00:00:59.300]  最容易有寂寞
[00:00:59.300 --> 00:01:01.000]  和年輕人
[00:01:01.000 --> 00:01:03.000]  老年人可能失智
[00:01:03.000 --> 00:01:05.800]  我前幾天開會才知道
[00:01:05.800 --> 00:01:07.100]  可能無論失智
[00:01:07.100 --> 00:01:09.100]  你記憶力衰退
[00:01:09.100 --> 00:01:11.900]  三個又一個
[00:01:11.900 --> 00:01:13.900]  所以我現在買定那些失智的書
[00:01:13.900 --> 00:01:18.300]  給賀牧師看
[00:01:18.300 --> 00:01:20.700]  年輕人也是
[00:01:20.700 --> 00:01:25.100]  全學我剛剛在臉書才收到一個網友告訴我
[00:01:25.100 --> 00:01:27.700]  他的子女不肯上學
[00:01:27.700 --> 00:01:28.700]  好了什麼叫孤獨
[00:01:28.700 --> 00:01:29.600]  原來有等級的
[00:01:29.600 --> 00:01:31.600]  你看看你第幾個等級
[00:01:31.600 --> 00:01:32.800]  第一個等級很多人都有
[00:01:32.800 --> 00:01:34.800]  一個人去逛超市
