
[00:00:00.000 --> 00:00:06.500]  今天我們要談的是「惠義受迫害的人有福了」
[00:00:06.500 --> 00:00:14.000]  今天我們要談的題目是在八福的最尾
[00:00:14.000 --> 00:00:29.500]  我不知道大家在登山補訓的八福中看到了些什麼
[00:00:30.000 --> 00:00:36.500]  因為我看到很多牧者的講道都很精彩
[00:00:36.500 --> 00:00:38.500]  但來到最後的時候
[00:00:38.500 --> 00:00:42.500]  我可能有一個 wrap up
[00:00:42.500 --> 00:00:47.500]  我們人生的生命在神裡面是怎樣的
[00:00:47.500 --> 00:00:50.500]  我們一起看看今天的經文
[00:01:01.000 --> 00:01:06.500]  這個是馬太福五章十節
[00:01:06.500 --> 00:01:14.000]  「惠義受迫害的人有福了,因為天國是他們的」
[00:01:14.000 --> 00:01:18.000]  如果你看這個,你會覺得很奇怪
[00:01:18.000 --> 00:01:24.000]  為什麼我們要受迫害才可以得到福分
[00:01:24.000 --> 00:01:29.000]  很多時候我們去想八福的時候都會覺得很奇怪
[00:01:29.000 --> 00:01:34.000]  但其實如果你去思想一下的時候
[00:01:34.000 --> 00:01:39.000]  全部都是因為我們跟神要有一個關係
[00:01:39.000 --> 00:01:42.000]  以致我們可以得到這個福分
[00:01:42.000 --> 00:01:44.000]  我們一起祈禱
[00:01:44.000 --> 00:01:47.000]  傳人賜給天父,我們真的感謝你
[00:01:47.000 --> 00:01:53.000]  你是創造天地萬物,無所不知,無所不能的主宰
[00:01:53.000 --> 00:02:01.000]  你願意來到這個世上,為我們不只是跟我們有這個關係
[00:02:01.000 --> 00:02:07.000]  是要在十字架上受苦、受難、受迫害
[00:02:07.000 --> 00:02:14.000]  以致我們可以有這個福分,去到主理裡面
[00:02:14.000 --> 00:02:20.000]  以致我們可以跟主理復原一個關係
[00:02:20.000 --> 00:02:23.000]  求主祢今天賜給我們一個心
[00:02:23.000 --> 00:02:25.000]  因為開了我們的心
[00:02:25.000 --> 00:02:30.000]  以致我們可以跟主一起同行
[00:02:30.000 --> 00:02:33.000]  一起跟隨主理一生一世
[00:02:33.000 --> 00:02:37.000]  我們求您佩戴奉主耶穌的聖命求,Amen
[00:02:37.000 --> 00:02:44.000]  今年我們要進入小組,做門徒
[00:02:44.000 --> 00:02:47.000]  其實這個很重要
[00:02:47.000 --> 00:02:51.000]  因為當中我們要知道
