
[00:00:00.000 --> 00:00:02.120]  好,我們先讀一節聖經
[00:00:02.120 --> 00:00:05.440]  記載在菲律賓書的第一章第六節
[00:00:05.440 --> 00:00:08.320]  好嗎?我們一起讀吧
[00:00:08.320 --> 00:00:12.920]  我深信那在你們心裡動了善功的
[00:00:12.920 --> 00:00:14.800]  必成全者功
[00:00:14.800 --> 00:00:17.400]  直到耶穌基督的日子
[00:00:17.400 --> 00:00:19.920]  菲律賓書一章六節
[00:00:19.920 --> 00:00:21.680]  熟不熟?有沒有看過這節經文?
[00:00:21.680 --> 00:00:23.480]  都有吧?讀多一次
[00:00:23.480 --> 00:00:26.240]  試試記住它,好嗎?
[00:00:26.240 --> 00:00:29.360]  我今天主要跟大家看這一節聖經
[00:00:29.360 --> 00:00:31.000]  我們讀多一次,謝謝
[00:00:31.000 --> 00:00:35.000]  我深信那在你們心裡動了善功的
[00:00:35.000 --> 00:00:36.880]  必成全者功
[00:00:36.880 --> 00:00:39.560]  直到耶穌基督的日子
[00:00:39.560 --> 00:00:42.400]  菲律賓書一章六節
[00:00:42.400 --> 00:00:43.920]  今天我跟大家分享這個題目
[00:00:43.920 --> 00:00:46.920]  叫做為主做最好
[00:00:46.920 --> 00:00:51.760]  You do the best, God do the rest
[00:00:51.760 --> 00:00:53.400]  幾個星期前我的兒子
[00:00:53.400 --> 00:00:55.960]  十七歲的兒子就告訴我
[00:00:55.960 --> 00:00:59.800]  Daddy,學校將會有一個運動會
[00:00:59.800 --> 00:01:04.240]  你可不可以應邀參加家教會
[00:01:04.240 --> 00:01:07.560]  裏面那個四乘一百接力賽?
[00:01:07.560 --> 00:01:12.680]  嘩,雖然他知道我年輕讀書的時間
[00:01:12.680 --> 00:01:15.920]  都是跑步,我是跑短跑的
[00:01:15.920 --> 00:01:19.800]  我都代表校隊參加四乘一百的
[00:01:19.800 --> 00:01:21.800]  當時我都可以跑到十二秒多
[00:01:21.800 --> 00:01:24.280]  現在二十秒都不知道能否跑
[00:01:24.280 --> 00:01:28.960]  邀請之下我就覺得心裏有點忐忑
[00:01:28.960 --> 00:01:33.720]  因為都很久沒有參加比賽
[00:01:33.720 --> 00:01:38.600]  而且再加上年事開始入伍
[00:01:38.600 --> 00:01:43.160]  都應該不會參加這些比賽
[00:01:43.160 --> 00:01:46.200]  不過往往都自己有一些藉口
[00:01:46.200 --> 00:01:48.200]  因為譬如腳有些傷患
[00:01:48.200 --> 00:01:50.680]  所以都是不要了
[00:01:50.680 --> 00:01:52.880]  所以這些這麼劇烈的比賽
[00:01:52.880 --> 00:01:54.880]  我就很少去想
[00:01:54.880 --> 00:01:57.720]  不過有機會跟弟兄姊妹分享的時候
[00:01:57.720 --> 00:01:59.360]  說起這件事
[00:01:59.360 --> 00:02:00.800]  弟兄姊妹就說
[00:02:00.800 --> 00:02:03.240]  你兒子十七歲了
[00:02:03.240 --> 00:02:05.120]  現在的年輕人
[00:02:05.120 --> 00:02:08.560]  還會叫父母幫他一起參加比賽嗎?
[00:02:08.560 --> 00:02:10.560]  你如果這麼好
[00:02:10.560 --> 00:02:11.560]  他邀請你
[00:02:11.560 --> 00:02:13.880]  你簡直要駭人反應
[00:02:13.880 --> 00:02:15.720]  這樣鼓勵下
[00:02:15.720 --> 00:02:18.200]  就多想兩下
[00:02:18.200 --> 00:02:21.080]  兒子還說這次是很重要的
[00:02:21.080 --> 00:02:24.800]  因為是他最後一次跟他的好朋友
[00:02:24.800 --> 00:02:26.360]  黃金組合
[00:02:26.360 --> 00:02:28.600]  他們兩個跑得很快
[00:02:28.600 --> 00:02:30.840]  是最後一次
[00:02:30.840 --> 00:02:32.800]  因為他的同學已經中六
[00:02:32.800 --> 00:02:34.760]  即將畢業
[00:02:34.760 --> 00:02:36.600]  於是他還說
[00:02:36.600 --> 00:02:40.160]  爸爸,我們一定贏的
[00:02:40.160 --> 00:02:42.200]  當他這樣鼓勵我的時候
[00:02:42.200 --> 00:02:45.080]  就說很久都沒有機會拿獎
[00:02:45.080 --> 00:02:46.680]  好啊,試試
[00:02:46.680 --> 00:02:49.280]  好,我就答應了他
[00:02:49.280 --> 00:02:52.040]  答應他之後師母就特別提醒我
[00:02:52.040 --> 00:02:55.680]  你真的要想清楚
[00:02:55.680 --> 00:02:57.880]  你也要鍛鍊一下
[00:02:57.880 --> 00:02:59.240]  起碼有一個星期
[00:02:59.240 --> 00:03:01.880]  你要每晚跟我上去跑步
[00:03:01.880 --> 00:03:04.960]  否則你這樣一下子
[00:03:04.960 --> 00:03:07.680]  明天就有新聞報道
[00:03:07.680 --> 00:03:09.760]  摔死就不好了
[00:03:09.760 --> 00:03:12.720]  你應該還可以侍奉著
[00:03:12.720 --> 00:03:14.600]  我也有聽話
[00:03:14.600 --> 00:03:16.720]  我也有跟他晚上跑步
[00:03:16.720 --> 00:03:19.480]  他現在身體慢慢穩定
[00:03:19.480 --> 00:03:21.360]  每天都跑步
[00:03:21.360 --> 00:03:23.400]  我有聽話嗎?
[00:03:23.400 --> 00:03:24.400]  有的
[00:03:24.400 --> 00:03:26.680]  一晚那麼多
[00:03:26.680 --> 00:03:28.560]  因為覺得那一晚跑得不錯
[00:03:28.560 --> 00:03:30.120]  腳也不太痛
[00:03:30.120 --> 00:03:32.960]  最後那一百公尺
[00:03:32.960 --> 00:03:34.760]  一鼓作氣衝衝衝衝
[00:03:34.760 --> 00:03:36.240]  咦,這樣也發力了
[00:03:36.240 --> 00:03:39.040]  雖然沒有以前那麼快
[00:03:39.040 --> 00:03:41.360]  但是也OK
[00:03:41.360 --> 00:03:43.520]  我就以為OK了
[00:03:43.520 --> 00:03:46.840]  然後到那天準備比賽
[00:03:46.840 --> 00:03:47.800]  比賽的時候
[00:03:47.800 --> 00:03:49.160]  因為以往的經驗
[00:03:49.160 --> 00:03:53.760]  我都會看看旁邊那一隊有什麼參賽代表
[00:03:53.760 --> 00:03:55.160]  我跑第二棒的
[00:03:55.160 --> 00:03:58.040]  看看第二棒是什麼參加者
[00:03:58.040 --> 00:03:59.520]  什麼家長
[00:03:59.520 --> 00:04:00.360]  心裡有數
[00:04:00.360 --> 00:04:04.960]  我覺得在我的意志和拼勁裡面
[00:04:04.960 --> 00:04:06.080]  十拿九穩
[00:04:06.080 --> 00:04:07.640]  非常有把握
[00:04:07.640 --> 00:04:09.720]  於是準備上線
[00:04:09.720 --> 00:04:13.680]  我們跑第一條線
[00:04:13.680 --> 00:04:14.800]  第二棒
[00:04:14.800 --> 00:04:16.240]  第一棒是一位老師
[00:04:16.240 --> 00:04:17.000]  第二棒是我
[00:04:17.000 --> 00:04:18.160]  第三棒是我的兒子
[00:04:18.160 --> 00:04:19.840]  第四棒是他的同學
[00:04:19.840 --> 00:04:21.200]  真的非常好
[00:04:21.200 --> 00:04:23.600]  他們兩個拉在後面追
