
[00:00:00.000 --> 00:00:02.560]  大堅指揮部主 黎平安
[00:00:02.560 --> 00:00:06.580]  不經不覺我們去到講生命記
[00:00:06.580 --> 00:00:13.120]  我們最近都是看回舊約
[00:00:13.120 --> 00:00:15.220]  特別是摩西五經
[00:00:15.220 --> 00:00:18.160]  用一個宏觀的方法去看
[00:00:18.160 --> 00:00:21.080]  不是每章每節去解
[00:00:21.080 --> 00:00:23.320]  我們真的用一個
[00:00:23.320 --> 00:00:27.120]  退後一點點看回摩西五經的時候
[00:00:27.120 --> 00:00:31.440]  我們看看今天上帝究竟在跟我們講什麼話
[00:00:31.440 --> 00:00:34.800]  生命記的標題
[00:00:34.800 --> 00:00:41.460]  生命記就是出自早期希臘文的版本
[00:00:41.460 --> 00:00:44.600]  七十四譯本的希臘文
[00:00:44.600 --> 00:00:46.280]  叫Teronomy那一字
[00:00:46.280 --> 00:00:50.120]  意思就是第二律法
[00:00:50.120 --> 00:00:53.280]  又或者是重複律法
[00:00:53.280 --> 00:00:55.480]  律法的重生
[00:00:55.480 --> 00:00:57.680]  這個新就是申報的新
[00:00:57.680 --> 00:00:58.760]  申請的新
[00:00:58.760 --> 00:01:00.160]  不是新舊的新
[00:01:00.160 --> 00:01:02.220]  就是reaffirm的意思
[00:01:02.220 --> 00:01:08.400]  就是有些東西再重新去再講多一次出來
[00:01:08.400 --> 00:01:14.880]  主要是講到摩西將這些之前講過的說話
[00:01:14.880 --> 00:01:21.200]  再重新一次跟一個新一代的以色列人去講
[00:01:21.200 --> 00:01:27.340]  原文的希伯來文
[00:01:27.340 --> 00:01:32.860]  第五本書的title其實就是很簡單的
[00:01:32.860 --> 00:01:35.560]  就是摩西的說話
[00:01:35.560 --> 00:01:38.840]  就是取自生命記第一章第一節
[00:01:38.840 --> 00:01:46.240]  摩西在約旦河東的曠野向以色列眾人所說的話
[00:01:46.240 --> 00:01:50.240]  這本書其實就是講一大番的說話
[00:01:50.240 --> 00:01:54.120]  是從摩西的口中講出來的
[00:01:54.120 --> 00:01:55.360]  那時間是什麼時候呢
[00:01:55.360 --> 00:01:59.640]  時間就是他們出埃及記之後的第四十年
[00:01:59.640 --> 00:02:01.720]  即將進入迦南地的時候
[00:02:01.720 --> 00:02:03.960]  地點就在摩亞的平原
[00:02:03.960 --> 00:02:07.480]  就是約旦河東邊
[00:02:07.480 --> 00:02:09.120]  他們紮了營之後
[00:02:09.120 --> 00:02:10.400]  他們未過這個河
[00:02:10.400 --> 00:02:12.040]  未進入迦南地的時候
[00:02:12.040 --> 00:02:16.360]  摩西那番的臨別陣燃可以說
[00:02:16.360 --> 00:02:22.040]  整個生命記大部分都是摩西的說話
[00:02:22.040 --> 00:02:24.240]  包括摩西第一次講的話
[00:02:24.240 --> 00:02:26.720]  就是第一章第四章
[00:02:26.720 --> 00:02:29.920]  他講到回顧出埃及記
[00:02:29.920 --> 00:02:34.360]  出埃及抗野漂流的經歷
[00:02:34.360 --> 00:02:37.040]  這些經歷之前我講出埃及記
[00:02:37.040 --> 00:02:40.440]  或者文素記利美記都有講過
[00:02:40.440 --> 00:02:44.120]  抗野中的那個經歷
[00:02:44.120 --> 00:02:50.840]  講回之前的百姓多麼不聽話
[00:02:50.840 --> 00:02:54.560]  特別是多麼博弈
[00:02:54.560 --> 00:02:57.520]  其實他們藉著這些去鼓勵新一代
[00:02:57.520 --> 00:03:00.520]  他們要聽回上帝的話
[00:03:00.520 --> 00:03:04.200]  所以頭幾章就是摩西的想當年
[00:03:04.200 --> 00:03:09.040]  年紀大了喜歡講回以前的
[00:03:09.040 --> 00:03:12.280]  我們摩西也是一樣
[00:03:12.280 --> 00:03:14.720]  第二章的講話就是很長的
[00:03:14.720 --> 00:03:16.040]  由四章到二十六章
[00:03:16.040 --> 00:03:23.760]  就是講到重新律法和生活的規則
[00:03:23.760 --> 00:03:27.400]  例如你盡心盡性盡力去愛耶和華
[00:03:27.400 --> 00:03:30.160]  又講一下敬拜生活的範疇
[00:03:30.160 --> 00:03:33.280]  講一下領袖的責任
[00:03:33.280 --> 00:03:36.400]  社會公義的法則 倫理
[00:03:36.400 --> 00:03:41.040]  人際關係是包羅萬有的
[00:03:41.040 --> 00:03:44.440]  但是你也說這些話其實已經講過了
[00:03:44.440 --> 00:03:47.240]  為什麼講過又再講呢
[00:03:47.240 --> 00:03:51.280]  那會不會老人家比較善忘
[00:03:51.280 --> 00:03:53.320]  講過忘記了
[00:03:53.320 --> 00:03:55.760]  有時候我們年紀大了
[00:03:55.760 --> 00:03:57.960]  講來講去其實已經講過了
[00:03:57.960 --> 00:04:00.840]  又講 那些人就說我們長氣
[00:04:00.840 --> 00:04:03.480]  就等於我們小時候說父母長氣
[00:04:03.480 --> 00:04:06.560]  媽 你知道了 你講過了 又再講
[00:04:06.560 --> 00:04:11.440]  其實當我們做人父母的時候我們也很長氣
[00:04:11.440 --> 00:04:12.720]  輪到小孩子說我們
[00:04:12.720 --> 00:04:15.760]  媽 你很長氣 爸爸你很長氣
[00:04:15.760 --> 00:04:16.880]  但是摩西其實不是長氣
[00:04:16.880 --> 00:04:18.360]  因為其實他有責任
[00:04:18.360 --> 00:04:21.680]  他也有必要重新去再講過這些話
