
[00:00:00.000 --> 00:00:04.420]  明天早上會 應該是午安 還是晚安
[00:00:04.420 --> 00:00:09.120]  很開心今天能夠在當中我們一起看一段經文
[00:00:09.120 --> 00:00:10.320]  多謝大家
[00:00:10.320 --> 00:00:14.000]  我今天會講這一段聖經
[00:00:14.000 --> 00:00:17.540]  阿摩斯書的五章十八至二十七節
[00:00:17.540 --> 00:00:21.580]  這個翻譯是我自己翻譯來的
[00:00:21.580 --> 00:00:23.600]  希伯來文翻譯成中文和英文
[00:00:23.600 --> 00:00:28.200]  英文細一點 因為英文我們看不太多
[00:00:28.200 --> 00:00:32.980]  我們希望今天有空間我們解一解這幾節聖經
[00:00:32.980 --> 00:00:36.200]  我們特別處理這十節經文
[00:00:36.200 --> 00:00:38.520]  他們十八節這樣說
[00:00:38.520 --> 00:00:41.960]  那些以為耶和華日子來到的有和了
[00:00:41.960 --> 00:00:44.640]  你們為何以為這是耶和華日子呢
[00:00:44.640 --> 00:00:48.080]  其實乃日黑暗無光明
[00:00:48.080 --> 00:00:50.140]  這一節本身應該難解的
[00:00:50.140 --> 00:00:53.780]  要去理解這段經文其實有點難
[00:00:53.780 --> 00:00:58.140]  什麼叫耶和華日子來到是有和
[00:00:58.140 --> 00:01:02.480]  還要說那天其實是黑暗無光明
[00:01:02.480 --> 00:01:05.820]  你想像一幅圖畫 譬如有唐慶
[00:01:05.820 --> 00:01:10.420]  教會有十週年 二十週年 五十週年 一百週年 百五週年的唐慶
[00:01:10.420 --> 00:01:13.180]  怎麼會有個人突然走出來
[00:01:13.180 --> 00:01:17.240]  例如李應新牧師說唐慶有很多週年
[00:01:17.240 --> 00:01:20.980]  大家一起慶祝 一起敬拜神 準備這樣的時候
[00:01:20.980 --> 00:01:23.220]  突然有個人走出來後面說
[00:01:23.220 --> 00:01:27.540]  你以為這是唐慶的日子嗎 其實是有和了
[00:01:27.540 --> 00:01:30.580]  你以為這是唐慶開心的日子呢
[00:01:30.580 --> 00:01:33.580]  其實這一天是黑暗無光明
[00:01:33.580 --> 00:01:37.820]  本身這句話已經是難理解的
[00:01:37.820 --> 00:01:39.500]  我們很少見到這些東西
[00:01:39.500 --> 00:01:43.180]  坦白說我們慶祝生日也好 慶祝唐慶也好
[00:01:43.180 --> 00:01:45.760]  你慶祝生日的時候有人走出來跟你說
[00:01:45.760 --> 00:01:49.180]  你這個生日黑暗無光明
[00:01:49.180 --> 00:01:52.900]  你以為你生氣到快要死了嗎
[00:01:52.900 --> 00:01:58.020]  從來你生日沒有人這樣 除非你的子女不長性
[00:01:58.020 --> 00:02:01.380]  這樣就很黑暗了
[00:02:01.380 --> 00:02:03.780]  基本上就很黑暗了
[00:02:03.780 --> 00:02:06.660]  所以這一節本身是很難理解
[00:02:06.660 --> 00:02:10.380]  難理解不是我們不明白這句說什麼
[00:02:10.380 --> 00:02:15.060]  我們在日常生活裡 或者日常的遭遇裡
[00:02:15.060 --> 00:02:16.260]  我們很少見到
[00:02:16.260 --> 00:02:19.580]  你可以想像 如果這麼少遭遇的話
[00:02:19.580 --> 00:02:23.340]  阿摩斯的這番話是很討人厭的
[00:02:23.340 --> 00:02:24.500]  你明白嗎 多討人厭
[00:02:24.500 --> 00:02:26.700]  你試一下 你牧師走出來說話
[00:02:26.700 --> 00:02:29.540]  隨便一個頂尖走出來 慶祝唐慶
[00:02:29.540 --> 00:02:32.860]  黑暗 最黑暗就是這一天了
[00:02:32.860 --> 00:02:34.100]  你看看大家有什麼反應
[00:02:34.100 --> 00:02:36.620]  看看牧師不知道在做什麼
[00:02:36.620 --> 00:02:38.500]  我也不知道他在做什麼
[00:02:38.500 --> 00:02:43.220]  你可以想像 我們很少見到這句話
[00:02:43.220 --> 00:02:47.940]  阿摩斯說這句話很明顯是得罪人 傷害人
[00:02:47.940 --> 00:02:51.620]  基本上 我就形容
[00:02:51.620 --> 00:02:55.380]  在我們這個時代裡 沒有再見到阿摩斯了
[00:02:55.380 --> 00:02:58.060]  我們什麼時候見到這麼討人厭的人
[00:02:58.060 --> 00:03:01.500]  和這麼得罪人的人 我們很少見到
[00:03:01.500 --> 00:03:03.980]  你想像一下唐慶的日子
[00:03:03.980 --> 00:03:08.180]  大家準備了外賢 準備了禮物送給大家的時候
[00:03:08.180 --> 00:03:09.420]  突然有個人走出來說
[00:03:09.420 --> 00:03:12.060]  這個黑暗的禮物是邪惡的
[00:03:12.060 --> 00:03:14.820]  那些食物是有毒的 吃完就死了
[00:03:14.820 --> 00:03:19.300]  你想像一下 多麼不行
[00:03:19.300 --> 00:03:25.460]  要解釋這件事 這一節是關鍵
[00:03:25.460 --> 00:03:28.460]  要解釋為什麼阿摩斯要說18節這句話
[00:03:28.460 --> 00:03:30.900]  19節這句話是關鍵
[00:03:30.900 --> 00:03:33.820]  19節這句話 你看起來不知道在說什麼
[00:03:33.820 --> 00:03:36.820]  警方就好像人躲避獅子猶如見虹
[00:03:36.820 --> 00:03:39.740]  或是進到房間 耳手較長就被射咬
[00:03:39.740 --> 00:03:41.300]  不知道在說什麼 基本上
[00:03:41.300 --> 00:03:44.980]  沒有一個比喻出來 其實是莫名其妙的
[00:03:44.980 --> 00:03:48.380]  我們試一下這樣解釋一下
[00:03:48.380 --> 00:03:53.380]  你可以想像 為什麼那些人要以耶和華的日子來到
[00:03:53.380 --> 00:03:56.500]  覺得很開心 很光明 為什麼
[00:03:56.500 --> 00:03:58.580]  因為什麼 因為
[00:03:58.580 --> 00:04:01.780]  你試想像這幅圖畫是你人生遇到的獅子
[00:04:01.780 --> 00:04:04.140]  我們耶和華是遇不到的
[00:04:04.140 --> 00:04:08.260]  我講現在 你很少遇到獅子 除了動物園之外
[00:04:08.260 --> 00:04:11.620]  除了有龍的獅子 有龍困住的獅子
[00:04:11.620 --> 00:04:14.460]  有條大坑 不知道跳得多遠
[00:04:14.460 --> 00:04:16.420]  除了那些 見到之後
[00:04:16.420 --> 00:04:19.420]  如果真的被街邊突然在杏花村平台
[00:04:19.420 --> 00:04:21.660]  有一隻獅子走過
[00:04:21.660 --> 00:04:24.780]  它快要咬死你 突然咬不死你
[00:04:24.780 --> 00:04:27.620]  你覺得是不是耶和華的日子
[00:04:27.620 --> 00:04:29.700]  你明白它想說這些嗎
[00:04:29.700 --> 00:04:31.540]  它就是說
[00:04:31.540 --> 00:04:34.980]  你已經很好了 有隻獅子快要咬死你
[00:04:34.980 --> 00:04:36.300]  它咬不死你
[00:04:36.300 --> 00:04:40.260]  你就馬上回來教會講見證
[00:04:40.260 --> 00:04:41.860]  你明白我說什麼嗎
[00:04:41.860 --> 00:04:46.460]  我地道化一點 有個在職場的同事
[00:04:46.460 --> 00:04:48.500]  很討厭的 討厭你
[00:04:48.500 --> 00:04:51.700]  想弄死你 要趕你離開公司
[00:04:51.700 --> 00:04:55.020]  你說 哇 終於這麼壞的同事
[00:04:55.020 --> 00:04:56.540]  他自己辭職了
[00:04:56.540 --> 00:04:59.660]  你說是不是耶和華的日子
[00:04:59.660 --> 00:05:02.420]  它是這樣想的 你明白嗎
[00:05:02.420 --> 00:05:04.980]  但接著那句就討厭了
[00:05:04.980 --> 00:05:10.460]  當你以為避開了那隻獅子的耶和華日子時
[00:05:10.460 --> 00:05:13.980]  結果怎樣
[00:05:13.980 --> 00:05:16.900]  那個壞的同事走了
[00:05:16.900 --> 00:05:21.540]  沒錯 大家真的很驚艷
[00:05:21.540 --> 00:05:25.780]  好像所有老闆都是壞的
[00:05:25.780 --> 00:05:28.500]  原來老闆更壞
[00:05:28.500 --> 00:05:30.100]  不好意思 我沒有得罪老闆
[00:05:30.100 --> 00:05:32.020]  某個人更壞
[00:05:32.020 --> 00:05:33.660]  你以為躲避了那隻獅子
[00:05:33.660 --> 00:05:36.020]  誰知那些窮人來了
[00:05:36.020 --> 00:05:37.580]  下一句句子一樣
[00:05:37.580 --> 00:05:41.020]  你以為有個追趕你的人來追趕你
[00:05:41.020 --> 00:05:43.300]  誰知回家逃脫了
[00:05:43.300 --> 00:05:44.940]  你回家逃脫了
[00:05:44.940 --> 00:05:47.380]  你以為哀怨長透氣的時候
[00:05:47.380 --> 00:05:50.900]  接著就一隻蛇來咬死你
[00:05:50.900 --> 00:05:54.260]  所以這句說話解釋上面那句
[00:05:54.260 --> 00:05:56.660]  你以為躲避了獅子
[00:05:56.660 --> 00:05:59.140]  你以為躲避了別人回家
[00:05:59.140 --> 00:06:01.940]  你叫這個日子叫做耶和華的日子
[00:06:01.940 --> 00:06:04.020]  我們通常都是這樣想
[00:06:04.020 --> 00:06:06.500]  最近樓市升得很高
[00:06:06.500 --> 00:06:08.660]  你以為 嘩 正呀
[00:06:08.660 --> 00:06:09.860]  我沒有發預言
[00:06:09.860 --> 00:06:11.980]  我亂說的 我不懂這些
[00:06:11.980 --> 00:06:13.460]  突然樓市崩潰
[00:06:13.460 --> 00:06:16.620]  就等於遇見紅龍被蛇咬
[00:06:16.620 --> 00:06:19.220]  他大約想說這些
[00:06:19.220 --> 00:06:24.900]  我們講多些戲在處境講
[00:06:24.900 --> 00:06:26.860]  你想像下以前北角
[00:06:26.860 --> 00:06:32.060]  耶和華在大約為所龍門之後
[00:06:32.060 --> 00:06:34.660]  就分了羅波安和耶羅波安
[00:06:34.660 --> 00:06:36.260]  南角和北角
[00:06:36.260 --> 00:06:38.180]  這些歷史我不講了
[00:06:38.180 --> 00:06:39.740]  分了之後
[00:06:39.740 --> 00:06:41.580]  北角經常被一個國家欺負
[00:06:41.580 --> 00:06:43.540]  那個叫阿蘭
