
[00:00:00.000 --> 00:00:03.560]  剛才我們唱了一首詩歌
[00:00:03.560 --> 00:00:12.320]  給我們提醒上帝真的有一個預備和一個因典在我們每一個人的心中
[00:00:12.320 --> 00:00:15.040]  但是在這個時間
[00:00:15.040 --> 00:00:17.240]  我不知道大家弟兄姊妹怎麼看
[00:00:17.240 --> 00:00:22.640]  我們接觸很多的訊息都是可能是打仗
[00:00:22.640 --> 00:00:27.560]  或者是一些的霸權
[00:00:27.560 --> 00:00:30.360]  甚至乎是詐騙
[00:00:30.360 --> 00:00:35.080]  近一點我們香港有很多災難
[00:00:35.080 --> 00:00:37.800]  有火災 有失去
[00:00:37.800 --> 00:00:41.240]  甚至乎我們自己目者都會傾
[00:00:41.240 --> 00:00:45.280]  原來我們很快就會主懷安息
[00:00:45.280 --> 00:00:48.000]  我們會突然間都會主懷安息
[00:00:48.000 --> 00:00:50.920]  所以在這個世界裏面
[00:00:50.920 --> 00:00:55.440]  我們不知道究竟我們還有什麼可以抓緊
[00:00:55.440 --> 00:00:58.440]  或者我們還有什麼可以抓緊是最重要的
[00:00:58.440 --> 00:01:01.400]  但是在這個這麼特別的時間
[00:01:01.400 --> 00:01:03.240]  這麼特別的季節
[00:01:03.240 --> 00:01:07.200]  我們就很想知道上帝提醒我們
[00:01:07.200 --> 00:01:08.440]  告訴我們
[00:01:08.440 --> 00:01:10.680]  究竟在這個世代裏面
[00:01:10.680 --> 00:01:13.440]  上帝叫我們看到這些事情
[00:01:13.440 --> 00:01:15.080]  我們身邊有的人
[00:01:15.080 --> 00:01:16.040]  發生的事情
[00:01:16.040 --> 00:01:18.320]  究竟在演繹什麼呢
[00:01:18.320 --> 00:01:22.000]  就是說其實發生在我們周圍的事情不是偶然
[00:01:22.000 --> 00:01:24.160]  是一定有意思的
[00:01:24.160 --> 00:01:27.000]  我們在這個世代是一定有一些特別的事情
[00:01:27.000 --> 00:01:30.480]  在我們這個世代裏面去經歷的
[00:01:30.480 --> 00:01:33.720]  那又跟我們有什麼關係呢
[00:01:33.720 --> 00:01:36.520]  所以這次我選擇了《路德記》
[00:01:36.520 --> 00:01:39.040]  那個焦點我剛才說了一次
[00:01:39.040 --> 00:01:41.400]  我們不是說苦難
[00:01:41.400 --> 00:01:43.320]  《路德記》裏面有很多苦難
[00:01:43.320 --> 00:01:45.240]  但是我們這次說選擇
[00:01:45.240 --> 00:01:47.280]  我們切入選擇裏面
[00:01:47.280 --> 00:01:50.440]  特別在這個不正常的時代裏面
[00:01:50.440 --> 00:01:53.760]  我們其實怎樣去尋求上帝
[00:01:53.760 --> 00:01:57.040]  因為我們在這裏是屬於上帝的
[00:01:57.040 --> 00:01:58.800]  如果當我們做每一個選擇
[00:01:58.800 --> 00:02:00.160]  我們都是自己來的話
[00:02:00.160 --> 00:02:01.760]  其實我們不需要上帝
