
[00:00:00.000 --> 00:00:03.000]  各位電影姊妹朋友,平安!
[00:00:03.000 --> 00:00:08.000]  今天是一個很令人感動感恩的時間
[00:00:08.000 --> 00:00:21.000]  因為今天是全人基督教會第一次和大家在這個地方一起去敬拜神
[00:00:24.000 --> 00:00:35.000]  因為在這個過程中我們真的虔誠著神的恩典、神的榮耀
[00:00:35.000 --> 00:00:41.000]  所以我今天也特別選了這段經文
[00:00:41.000 --> 00:00:45.000]  當我知道我第一天要來講這篇道的時候
[00:00:45.000 --> 00:00:49.000]  我心裡就出現了這段經文
[00:00:49.000 --> 00:00:54.000]  因為我想起耶穌基督的聖經之後
[00:00:54.000 --> 00:01:00.000]  門徒就開始建立一個教會的時候的光景
[00:01:00.000 --> 00:01:03.000]  我就來到這裡去想像
[00:01:03.000 --> 00:01:15.000]  我也希望我們全人教會將來真的成為一個叫神、叫人都能夠得著榮耀、得著祝福的一個地方
[00:01:15.000 --> 00:01:20.000]  所以今天很想和大家分享這段經文
[00:01:20.000 --> 00:01:24.000]  我不知道大家還有沒有印象
[00:01:24.000 --> 00:01:29.000]  其實在過去這幾年伊斯蘭國
[00:01:29.000 --> 00:01:34.000]  我們看到一些世界的現象
[00:01:34.000 --> 00:01:43.000]  就是伊斯蘭國他們在全球發動恐怖襲擊
[00:01:43.000 --> 00:01:45.000]  不知道大家知不知道
[00:01:45.000 --> 00:01:53.000]  單單在2015年已經在世界上發動超過十宗的恐怖襲擊
[00:01:53.000 --> 00:01:56.000]  導致死傷無數
[00:01:56.000 --> 00:02:00.000]  有一位曾經駐中東的資深記者
[00:02:00.000 --> 00:02:04.000]  他嘗試解構這個恐怖組織
[00:02:04.000 --> 00:02:08.000]  分析他們能夠迅速喘息的因由
[00:02:08.000 --> 00:02:13.000]  原來我們今天說的伊斯蘭國
[00:02:13.000 --> 00:02:16.000]  其實他們有好幾個名字我們都會混淆
[00:02:16.000 --> 00:02:19.000]  有時候我們聽到叫ISIS
[00:02:19.000 --> 00:02:21.000]  有時候又叫ISIL
[00:02:21.000 --> 00:02:23.000]  有時候又叫IS
[00:02:23.000 --> 00:02:27.000]  其實這幾個名字都是和他們有關
[00:02:27.000 --> 00:02:30.000]  不過名字長一點短一點
