
[00:00:00.000 --> 00:00:04.000]  有一對戀人,他們拍拖已經有一段時間
[00:00:04.000 --> 00:00:06.000]  彼此也有一定的認識
[00:00:06.000 --> 00:00:11.000]  他們漸漸發覺大家的差異好像越來越大
[00:00:11.000 --> 00:00:16.000]  他們的成長背景不同,社經地位也很不同
[00:00:16.000 --> 00:00:21.000]  但最重要的是他們的人生觀和價值觀是不一樣的
[00:00:21.000 --> 00:00:25.000]  有一天,這個女孩跟她的男朋友說
[00:00:25.000 --> 00:00:28.000]  我們會不會有將來呢?
[00:00:28.000 --> 00:00:31.000]  她男朋友沒有回答她
[00:00:31.000 --> 00:00:33.000]  後來他們分手了
[00:00:33.000 --> 00:00:36.000]  因為他們看不到將來
[00:00:36.000 --> 00:00:40.000]  所以他們的感情也沒有辦法繼續下去
[00:00:40.000 --> 00:00:42.000]  有一個家庭
[00:00:42.000 --> 00:00:47.000]  他們在他們一家人出生的地方生活了一段很長的時間
[00:00:47.000 --> 00:00:50.000]  後來他們越來越發覺
[00:00:50.000 --> 00:00:52.000]  他們在那個地區生活
[00:00:52.000 --> 00:00:57.000]  覺得無論在經濟、民生、教育和政治
[00:00:57.000 --> 00:01:00.000]  各個方面都在走下坡
[00:01:00.000 --> 00:01:05.000]  認為繼續在那裏生活是沒有前景、沒有將來
[00:01:05.000 --> 00:01:10.000]  因為他們對這個地方沒有盼望
[00:01:10.000 --> 00:01:12.000]  所以他們決定一家移民
[00:01:12.000 --> 00:01:16.000]  遠走他方,希望重新開始
[00:01:16.000 --> 00:01:19.000]  我們作為基督徒又怎樣呢?
[00:01:19.000 --> 00:01:23.000]  基督徒有沒有將來呢?
[00:01:23.000 --> 00:01:30.000]  如果做基督徒只是令我們在今世的生活有寄託
[00:01:30.000 --> 00:01:33.000]  但是沒有將來的話
[00:01:33.000 --> 00:01:36.000]  那豈不是令人很嘆氣呢?
[00:01:36.000 --> 00:01:41.000]  聖經提到我們的將來就是永生
[00:01:41.000 --> 00:01:45.000]  那到底永生是甚麼呢?
[00:01:45.000 --> 00:01:49.000]  是否永遠生存不會死呢?
[00:01:49.000 --> 00:01:53.000]  今天我跟大家講史圖信經的最後一講
