
[00:00:00.000 --> 00:00:02.000]  各位親愛的大英姐妹 你們好
[00:00:02.000 --> 00:00:04.160]  我們又開心可以相聚了
[00:00:04.160 --> 00:00:07.280]  我們星期三的《查經》還在查《生命記》
[00:00:07.280 --> 00:00:09.000]  不過就快查完了
[00:00:09.000 --> 00:00:11.080]  好 今天我們的題目叫做
[00:00:11.080 --> 00:00:15.000]  「先受後施 先接受然後才施出」
[00:00:15.000 --> 00:00:18.160]  不過就不是講捐獻或者奉獻
[00:00:18.160 --> 00:00:20.960]  是講到關於奴隸的制度
[00:00:20.960 --> 00:00:23.000]  好像跟我們現在沒有什麼關係
[00:00:23.000 --> 00:00:24.400]  我們現在沒有什麼奴隸
[00:00:24.400 --> 00:00:26.000]  除了老婆奴之外
[00:00:26.000 --> 00:00:30.760]  這個奴隸制度跟我們有什麼關係呢?
[00:00:30.760 --> 00:00:33.400]  我們先聽一首歌 都是講釋放的
[00:00:33.400 --> 00:00:35.000]  就是講釋放奴隸
[00:00:35.000 --> 00:00:37.880]  不過其實我們大家都是一個罪的奴僕
[00:00:37.880 --> 00:00:40.600]  罪的奴隸 羅馬遜很清楚的講
[00:00:40.600 --> 00:00:42.400]  但是因為主耶穌的緣故
[00:00:42.400 --> 00:00:43.720]  我們得罪釋放
[00:00:43.720 --> 00:00:46.960]  我們會不會仍然被一些東西核制著我們呢?
[00:00:46.960 --> 00:00:48.960]  其實都幫助了我們
[00:00:48.960 --> 00:00:50.960]  今天我會帶大家去看
[00:00:50.960 --> 00:00:54.640]  《生命記》第十五章的十一到第十八節
[00:00:54.640 --> 00:00:57.560]  在《生命記》第十五章十一到第十八節的經文裡面
[00:00:57.560 --> 00:01:01.040]  講及到釋放奴隸的條例
[00:01:01.040 --> 00:01:05.000]  那麼釋放奴隸跟我們現在沒有什麼關係
[00:01:05.000 --> 00:01:08.000]  香港的弟兄姊妹
[00:01:08.000 --> 00:01:12.800]  可能我們還是在家裡面會有菲傭、欣傭
[00:01:12.800 --> 00:01:16.280]  但是在英國裡面我們就很難會請到工人的
[00:01:16.280 --> 00:01:18.200]  就算是請到工人也好
[00:01:18.200 --> 00:01:20.040]  那些不是我們的奴隸
[00:01:20.040 --> 00:01:23.120]  他們有合約的 完了之後就可以走了
[00:01:23.120 --> 00:01:27.840]  所以這段經文似乎跟我們是沒有什麼關係的
[00:01:27.840 --> 00:01:31.840]  但是其實當中有很豐富的真理在當中
[00:01:31.840 --> 00:01:37.320]  而且那個應用是可以同樣應用在我們今天的生活上面
[00:01:37.320 --> 00:01:39.320]  那麼我們這一次就這樣
[00:01:39.320 --> 00:01:42.920]  我們先讀了這七八節的經文
[00:01:42.920 --> 00:01:47.440]  然後我們再逐一逐一的去探討 好不好?
[00:01:47.440 --> 00:01:50.600]  原來那地上的窮人永不斷絕
[00:01:50.600 --> 00:01:56.080]  所以我吩咐你說 總要向你地上困苦窮乏的弟兄鬆開手
[00:01:56.080 --> 00:01:59.040]  你弟兄中若有一個希伯來男人
[00:01:59.040 --> 00:02:01.240]  或希伯來女人被邁給你
[00:02:01.240 --> 00:02:06.640]  服侍你六年到第七年就要任他自由出去
[00:02:06.640 --> 00:02:10.200]  你任他自由的時候不可視他空手而去
[00:02:10.200 --> 00:02:14.600]  要從你羊群、和祥、酒渣之中多多地給他
[00:02:14.600 --> 00:02:17.200]  要說你的神怎樣賜福願你
[00:02:17.200 --> 00:02:19.160]  你也要照樣給他
[00:02:19.160 --> 00:02:21.840]  要紀念你在埃及地作過勞福
[00:02:21.840 --> 00:02:23.960]  也要說你的神將你救贖
[00:02:23.960 --> 00:02:27.760]  因此我今天吩咐你這件事
[00:02:27.760 --> 00:02:30.320]  他若對你說我不願意離開你
[00:02:30.320 --> 00:02:32.520]  是因他愛你和你的家
[00:02:32.520 --> 00:02:34.600]  且因在你那裡很好
[00:02:34.600 --> 00:02:38.640]  你就要拿張紙將他的耳朵在門上刺透
[00:02:38.640 --> 00:02:40.880]  他便永為你一路酷了
[00:02:40.880 --> 00:02:43.280]  你代婢女也要這樣
[00:02:43.280 --> 00:02:47.680]  好了 我們大概已經聽了二汪真是很美妙的聲音
[00:02:47.680 --> 00:02:50.600]  讀了這八節的經文
[00:02:50.600 --> 00:02:52.960]  那我們就逐項逐項來看
[00:02:52.960 --> 00:02:56.040]  第一 我們就要先看第十八節
[00:02:56.040 --> 00:02:58.040]  原來第十八節還沒讀
[00:02:58.040 --> 00:03:01.320]  你任他自由的時候不可以為難事
[00:03:01.320 --> 00:03:02.960]  任他服侍你六年
[00:03:02.960 --> 00:03:05.840]  交給故宮的供價多加一倍了
[00:03:05.840 --> 00:03:11.200]  又會說你的神就必在你所做的一切事上賜福願你
[00:03:11.200 --> 00:03:13.240]  好了 我們要知道
[00:03:13.240 --> 00:03:16.680]  奴隸好像是一個很不好的制度
[00:03:16.680 --> 00:03:19.880]  我們一定要回到當時的情境
[00:03:19.880 --> 00:03:22.280]  神很清楚的宣告
