
[00:00:00.000 --> 00:00:02.860]  這個訊息不是臨時拉夫
[00:00:02.860 --> 00:00:08.380]  是上次講完那三個層面的信心之後
[00:00:08.380 --> 00:00:11.320]  主席就告訴我你要講一個下集
[00:00:11.320 --> 00:00:14.360]  因為我們講治理那方面
[00:00:14.360 --> 00:00:17.680]  教會是治理的群體講得很少
[00:00:17.680 --> 00:00:20.280]  所以我講完之後就有人問我
[00:00:20.280 --> 00:00:23.680]  究竟
[00:00:23.680 --> 00:00:27.720]  我是披著屍皮的羊
[00:00:28.640 --> 00:00:32.040]  還是披著羊皮的屍呢
[00:00:32.040 --> 00:00:33.720]  你明不明白
[00:00:33.720 --> 00:00:35.520]  有些可能有些大影姐妹不知道
[00:00:35.520 --> 00:00:37.400]  什麼羊皮屍皮的羊
[00:00:37.400 --> 00:00:39.960]  我只知道披著狼皮的羊
[00:00:39.960 --> 00:00:45.480]  或者說披著狼皮的羊
[00:00:45.480 --> 00:00:48.960]  也可以是羊皮的狼
[00:00:48.960 --> 00:00:53.000]  你知不知道有些大影姐妹是披著狼皮的羊
[00:00:53.000 --> 00:00:55.000]  嚇死人了在小組裏面
[00:00:55.000 --> 00:00:58.640]  其實我就是屬於披著狼皮的羊
[00:00:58.640 --> 00:01:01.840]  你覺不覺得
[00:01:01.840 --> 00:01:04.800]  所以時不時都嚇死人
[00:01:04.800 --> 00:01:07.720]  很吃虧的披著狼皮的羊
[00:01:07.720 --> 00:01:09.960]  因為人家欺負了你
[00:01:09.960 --> 00:01:12.160]  眾人還認為你欺負人
[00:01:12.160 --> 00:01:15.080]  吃虧的地方就在這裏
[00:01:15.080 --> 00:01:17.480]  沒辦法
[00:01:17.480 --> 00:01:21.320]  誰叫你披著狼皮的羊
[00:01:21.320 --> 00:01:24.160]  你做回一隻羊就可以了
[00:01:24.160 --> 00:01:25.400]  不過現在就複雜了
[00:01:25.400 --> 00:01:30.800]  因為上次說你是披著羊皮的屍
[00:01:30.800 --> 00:01:32.160]  屍主的屍
[00:01:32.160 --> 00:01:33.360]  不是死屍的屍
[00:01:33.360 --> 00:01:42.880]  你和我有一個君王的呼喚在裏面要爆發的
[00:01:42.880 --> 00:01:43.880]  是不是
[00:01:43.880 --> 00:01:46.480]  只是說你是不行的
[00:01:46.480 --> 00:01:50.680]  因為只是你做不成屍
[00:01:50.680 --> 00:01:53.840]  你只不過是屍子的鬍子
