
[00:00:00.000 --> 00:00:05.320]  (主席)請大家打開路加坊第八章的二十二節到五十六節
[00:00:05.320 --> 00:00:07.160]  我們如果這樣看的話
[00:00:07.160 --> 00:00:09.400]  我們看到整個路加坊第八章
[00:00:09.400 --> 00:00:11.320]  雖然我們上次已經說了
[00:00:11.320 --> 00:00:16.120]  是如何聆聽今天我們要講的一個信心的學堂
[00:00:16.120 --> 00:00:18.160]  但是兩者加起來的話
[00:00:18.160 --> 00:00:19.280]  是一幅整體的圖畫
[00:00:19.280 --> 00:00:20.600]  這個整體的圖畫是什麼意思?
[00:00:20.600 --> 00:00:23.160]  就是說我們怎樣去聆聽是很重要的
[00:00:23.160 --> 00:00:24.880]  因為如果我們聽錯了
[00:00:24.880 --> 00:00:26.360]  或者誤會了的話
[00:00:26.360 --> 00:00:29.480]  就會影響了在二十二節到五十六節裏面
[00:00:29.480 --> 00:00:32.000]  怎樣去應用上帝的說話
[00:00:32.000 --> 00:00:33.160]  但是在二十二節開始
[00:00:33.160 --> 00:00:34.880]  最後一個主題
[00:00:34.880 --> 00:00:37.160]  我們能夠將整個話活現出來
[00:00:37.160 --> 00:00:39.320]  有一個很重要的元素
[00:00:39.320 --> 00:00:43.280]  和你加起來是信心
[00:00:43.280 --> 00:00:46.040]  在路加坊第八章二十二節到五十六節
[00:00:46.040 --> 00:00:47.960]  我們見到的經文裏面
[00:00:47.960 --> 00:00:50.720]  是提到耶穌是做了四件事情
[00:00:50.720 --> 00:00:54.240]  這四件事情都是彰顯出了兩方面的東西
[00:00:54.240 --> 00:00:55.960]  第一,究竟祂是誰?
[00:00:55.960 --> 00:00:58.560]  祂是哪一個是很重要的?
[00:00:58.560 --> 00:01:00.760]  因為如果我們不認定清楚
[00:01:00.760 --> 00:01:02.200]  耶穌是哪一個的話
[00:01:02.200 --> 00:01:05.400]  我們的信心就會受影響
[00:01:05.400 --> 00:01:08.720]  第二,就是在二十二節到五十六節
[00:01:08.720 --> 00:01:15.080]  終點站其實是去到路加坊第九章第一節
[00:01:15.080 --> 00:01:19.040]  在由平靜風浪到死人復活
[00:01:19.040 --> 00:01:20.680]  這四件事情裏面
[00:01:20.680 --> 00:01:22.280]  耶穌要訓練門徒
[00:01:22.280 --> 00:01:26.400]  最終的答案是要去到路加坊第九章第一節
[00:01:26.400 --> 00:01:29.040]  就是差派他們出去
[00:01:29.040 --> 00:01:32.720]  將他們所學的能夠去互現出來
[00:01:32.720 --> 00:01:34.320]  成為眾人的祝福
[00:01:34.320 --> 00:01:36.320]  所以電視節目今天你坐在這裏
[00:01:36.320 --> 00:01:37.360]  你去聽到
[00:01:37.360 --> 00:01:40.400]  你小組裏面去分享
[00:01:40.400 --> 00:01:45.680]  最主要目的不是在享受神的話
[00:01:45.680 --> 00:01:47.200]  或者我們彼此相愛的關係
[00:01:47.200 --> 00:01:48.240]  我們最重要的目的
[00:01:48.240 --> 00:01:51.040]  是能夠將神的話互現出來
[00:01:51.040 --> 00:01:53.680]  我們看看在路加坊第八章二十二節
[00:01:53.680 --> 00:01:55.120]  耶穌就坐船
[00:01:55.120 --> 00:01:57.120]  經歷了風浪
[00:01:57.120 --> 00:01:58.640]  但其實他坐船的目的是什麼呢?
[00:01:58.640 --> 00:02:02.000]  他這次坐船是要去到對面海的一個地方叫做格拉森
[00:02:02.000 --> 00:02:03.520]  如果是以色列的人都知道
[00:02:03.520 --> 00:02:05.760]  我們會在加利利海坐船
[00:02:05.760 --> 00:02:07.440]  那個正式是加利利湖
[00:02:07.440 --> 00:02:10.880]  然後就會告訴你遠處的那個地方叫做格拉森
[00:02:10.880 --> 00:02:13.440]  因為太遠我們不會上去看
[00:02:13.440 --> 00:02:14.480]  也沒有什麼東西看
[00:02:14.480 --> 00:02:17.680]  因為是一個崖邊的地方
[00:02:17.680 --> 00:02:20.080]  格拉森是一個外邦人住的地方
[00:02:20.080 --> 00:02:21.120]  不是猶太人住的地方
[00:02:21.120 --> 00:02:21.760]  為什麼呢?
[00:02:21.760 --> 00:02:22.800]  因為是養豬的
[00:02:22.800 --> 00:02:24.960]  猶太人是不會養豬的
[00:02:24.960 --> 00:02:27.520]  在這個過程裏面
