
[00:00:00.000 --> 00:00:08.000]  在4月11號 教會有一個方案館參會
[00:00:08.000 --> 00:00:11.000]  那天有一位年青人叫Wilson
[00:00:11.000 --> 00:00:15.000]  他來分享他的生命經歷的見證
[00:00:15.000 --> 00:00:17.000]  他本身也是一名記者
[00:00:17.000 --> 00:00:19.000]  後來他出了一本書
[00:00:19.000 --> 00:00:24.000]  他用了40天的時間去以色列拍照
[00:00:24.000 --> 00:00:26.000]  然後出了這本書
[00:00:26.000 --> 00:00:28.000]  以色列很好玩
[00:00:28.000 --> 00:00:29.000]  他有一個心願
[00:00:29.000 --> 00:00:32.000]  他希望人們可以藉著這本書
[00:00:32.000 --> 00:00:34.000]  去到以色列旅遊的時候
[00:00:34.000 --> 00:00:36.000]  藉此介紹耶穌給他們認識
[00:00:36.000 --> 00:00:38.000]  他很有心志
[00:00:38.000 --> 00:00:39.000]  但在他的見證裡
[00:00:39.000 --> 00:00:41.000]  他分享很早很早以前
[00:00:41.000 --> 00:00:43.000]  他自己信耶穌的時候
[00:00:43.000 --> 00:00:46.000]  他自己覺得他人生很倒楣
[00:00:46.000 --> 00:00:49.000]  他說他遇過交通意外
[00:00:49.000 --> 00:00:52.000]  鄰居火警就影響到他
[00:00:52.000 --> 00:00:55.000]  高空雜物掉下來幾乎拆死了他
[00:00:55.000 --> 00:00:56.000]  他又患上抑鬱病
[00:00:56.000 --> 00:00:59.000]  被人送到精神科病院
[00:00:59.000 --> 00:01:01.000]  後來身體有點不便
[00:01:01.000 --> 00:01:02.000]  患上骨膜炎
[00:01:02.000 --> 00:01:04.000]  而且行動也不好
[00:01:04.000 --> 00:01:07.000]  他沒有什麼好東西在他身上
[00:01:07.000 --> 00:01:09.000]  每天都有很多倒楣的事情
[00:01:09.000 --> 00:01:13.000]  在公司裡又遇到被上司針對
[00:01:13.000 --> 00:01:15.000]  他覺得耶穌根本不愛他
[00:01:15.000 --> 00:01:18.000]  去到以色列又試過被炸彈驚慌
[00:01:18.000 --> 00:01:19.000]  又擠他走
[00:01:19.000 --> 00:01:22.000]  他覺得他人生裡充滿了很多不好
[00:01:22.000 --> 00:01:25.000]  這個神耶穌是不是很愛他呢
[00:01:25.000 --> 00:01:28.000]  他說我要去找耶穌
[00:01:28.000 --> 00:01:30.000]  耶穌在以色列
[00:01:30.000 --> 00:01:32.000]  很多年前他第一次
[00:01:32.000 --> 00:01:33.000]  年輕人的時候
[00:01:33.000 --> 00:01:35.000]  他儲了很多錢
[00:01:35.000 --> 00:01:37.000]  我就去以色列找耶穌算帳
[00:01:37.000 --> 00:01:39.000]  其實我們聽上去很傻
[00:01:39.000 --> 00:01:41.000]  年輕人就這樣想
[00:01:41.000 --> 00:01:42.000]  真的這樣儲了錢
[00:01:42.000 --> 00:01:43.000]  就這樣去
[00:01:43.000 --> 00:01:45.000]  上到飛機的時候
[00:01:45.000 --> 00:01:46.000]  他就說
[00:01:46.000 --> 00:01:48.000]  糟了,不太懂得去那些地方
[00:01:48.000 --> 00:01:50.000]  在飛機上就遇到一個
[00:01:50.000 --> 00:01:52.000]  好像是虐待的人
[00:01:52.000 --> 00:01:53.000]  他說我都會去那裡
[00:01:53.000 --> 00:01:55.000]  我下飛機的時候跟你一起去
[00:01:55.000 --> 00:01:57.000]  下飛機後那個人都不知道去了哪裡
[00:01:57.000 --> 00:02:00.000]  到處找路摸索
[00:02:00.000 --> 00:02:02.000]  一時都會迷茫
[00:02:02.000 --> 00:02:04.000]  當我聽他見證的時候
[00:02:04.000 --> 00:02:06.000]  我想,做人是沒有計劃的
[00:02:06.000 --> 00:02:08.000]  在旅程裡
[00:02:08.000 --> 00:02:10.000]  如果你去出外旅遊的時候
[00:02:10.000 --> 00:02:11.000]  你當然有些計劃
[00:02:11.000 --> 00:02:13.000]  去了什麼地方
[00:02:13.000 --> 00:02:14.000]  你可能預訂好酒店
[00:02:14.000 --> 00:02:16.000]  交通怎樣去到那個地方
[00:02:16.000 --> 00:02:18.000]  或者一定的地圖等等
[00:02:18.000 --> 00:02:20.000]  你不會隨便說去就去
[00:02:20.000 --> 00:02:21.000]  不做事的
[00:02:21.000 --> 00:02:23.000]  你今天會不會這樣
[00:02:23.000 --> 00:02:24.000]  如果是這樣的話
[00:02:24.000 --> 00:02:25.000]  你都說他很傻
[00:02:25.000 --> 00:02:28.000]  很衝動
[00:02:28.000 --> 00:02:31.000]  今天我想和大家看那個經文
[00:02:31.000 --> 00:02:33.000]  馬克福音第十六章
[00:02:33.000 --> 00:02:34.000]  一至二到第十一節
[00:02:34.000 --> 00:02:36.000]  有一群婦女
[00:02:36.000 --> 00:02:37.000]  我都覺得這群婦女
[00:02:37.000 --> 00:02:38.000]  好像青年一樣
[00:02:38.000 --> 00:02:39.000]  早期的時候一樣
[00:02:39.000 --> 00:02:40.000]  又很衝動
[00:02:40.000 --> 00:02:41.000]  沒有計劃
[00:02:41.000 --> 00:02:42.000]  就做事
[00:02:42.000 --> 00:02:43.000]  在這段經文
[00:02:43.000 --> 00:02:45.000]  我們首先認識這段經文
[00:02:45.000 --> 00:02:46.000]  我們認識一下
[00:02:46.000 --> 00:02:48.000]  時間、地點、人物
[00:02:48.000 --> 00:02:49.000]  和這群婦女
[00:02:49.000 --> 00:02:51.000]  去做什麼的目的
