
[00:00:00.000 --> 00:00:04.440]  今天和大家分享的主題是「蒙福生命的藍圖」
[00:00:04.440 --> 00:00:06.860]  《雅各書》一章十九至二十五節
[00:00:06.860 --> 00:00:08.480]  「蒙福的生命」
[00:00:08.480 --> 00:00:10.880]  我相信大家都知道
[00:00:10.880 --> 00:00:14.240]  我們信靠耶穌是蒙福的
[00:00:14.240 --> 00:00:16.720]  我們已經蒙福了,是不是?
[00:00:16.720 --> 00:00:19.240]  我們已經有很多福分了
[00:00:19.240 --> 00:00:22.840]  「蒙福生命的藍圖」在這段經文裏面
[00:00:22.840 --> 00:00:24.360]  提醒我們什麼呢?
[00:00:24.360 --> 00:00:28.680]  提醒我們聖經的重要性
[00:00:28.680 --> 00:00:31.480]  「蒙福的生命必然得福」的原因就是
[00:00:31.480 --> 00:00:34.520]  我們按照聖經來行事為人
[00:00:34.520 --> 00:00:38.320]  按照聖經的教導來判斷每一件事情
[00:00:38.320 --> 00:00:40.320]  是很重要的
[00:00:40.320 --> 00:00:43.840]  因為我們是教會
[00:00:43.840 --> 00:00:45.840]  教會是什麼意思呢?
[00:00:45.840 --> 00:00:50.400]  教會就是神所呼召
[00:00:50.400 --> 00:00:53.760]  耶穌基督從一世界呼召出來的一班人
[00:00:53.760 --> 00:00:55.760]  屬於耶穌基督的
[00:00:55.760 --> 00:00:57.000]  就是教會
[00:00:57.000 --> 00:00:59.360]  我們在座每一位
[00:00:59.360 --> 00:01:01.360]  是神所呼召出來的
[00:01:01.360 --> 00:01:03.360]  是屬於耶穌基督的
[00:01:03.360 --> 00:01:05.360]  是教會
[00:01:05.360 --> 00:01:07.360]  就是我們這一班的弟兄姊妹
[00:01:07.360 --> 00:01:09.360]  就是我們這一班的人
[00:01:09.360 --> 00:01:11.360]  是屬於耶穌基督的
[00:01:11.360 --> 00:01:16.880]  教會至今有多少年了,大家知不知道?
[00:01:16.880 --> 00:01:22.160]  58年了,九龍城執事會
[00:01:22.160 --> 00:01:24.640]  是不是這麼少?
[00:01:24.640 --> 00:01:27.680]  不是喔,這個「堂」字差不多
[00:01:27.680 --> 00:01:29.680]  但是我們說
[00:01:29.680 --> 00:01:31.680]  我們成立教會
[00:01:31.680 --> 00:01:33.680]  快要80年了
[00:01:33.680 --> 00:01:35.680]  但我們說教會
[00:01:35.680 --> 00:01:38.680]  設立在地上,直至今天有多少年了?
[00:01:38.680 --> 00:01:42.000]  是1986年了
[00:01:42.000 --> 00:01:47.240]  今年我們去紀念
[00:01:47.240 --> 00:01:49.240]  宗教改革500年
[00:01:49.240 --> 00:01:51.240]  大家有沒有聽過?
[00:01:51.240 --> 00:01:53.240]  宗教改革500年
[00:01:53.240 --> 00:01:55.240]  即是500年前的教會是怎樣的呢?
[00:01:55.240 --> 00:02:00.240]  中國宗教改革500年了
[00:02:00.240 --> 00:02:02.240]  紀念500年前的教會是怎樣的呢?
[00:02:02.240 --> 00:02:04.240]  我們說
[00:02:04.240 --> 00:02:07.240]  教會就是教會
[00:02:07.240 --> 00:02:09.240]  原來昔日的教會
[00:02:09.240 --> 00:02:11.240]  500年前的教會
[00:02:11.240 --> 00:02:13.240]  他們說
[00:02:13.240 --> 00:02:16.240]  唯獨是教皇
[00:02:16.240 --> 00:02:18.240]  唯獨是聖人
[00:02:18.240 --> 00:02:20.240]  唯獨是瑪利亞
[00:02:20.240 --> 00:02:22.240]  唯獨是贖罪券
[00:02:22.240 --> 00:02:27.240]  我們看看500年前
[00:02:27.240 --> 00:02:30.240]  這個改革帶來甚麼轉變呢?
[00:02:30.240 --> 00:02:32.240]  轉變就是
[00:02:32.240 --> 00:02:35.240]  再來看看
[00:02:35.240 --> 00:02:38.240]  我們要高舉聖經
[00:02:38.240 --> 00:02:40.240]  神的恩典
[00:02:40.240 --> 00:02:42.240]  信心
[00:02:42.240 --> 00:02:45.240]  耶穌基督是重要的
[00:02:45.240 --> 00:02:47.240]  最重要的是耶穌基督
[00:02:47.240 --> 00:02:50.240]  我們就是一班屬於耶穌基督的人
[00:02:50.240 --> 00:02:52.240]  我們紀念500年前
[00:02:52.240 --> 00:02:53.240]  原來有這樣的改變
[00:02:53.240 --> 00:02:54.240]  有這樣的改革
[00:02:54.240 --> 00:02:57.240]  直至今日
[00:02:57.240 --> 00:02:59.240]  我們是一班
[00:02:59.240 --> 00:03:01.240]  在耶穌基督裏面
[00:03:01.240 --> 00:03:02.240]  初熟的果子
[00:03:02.240 --> 00:03:03.240]  聖經裏面形容
[00:03:03.240 --> 00:03:05.240]  我們是一班
[00:03:05.240 --> 00:03:08.240]  耶穌基督裏面初熟的果子
[00:03:08.240 --> 00:03:10.240]  是不同的
[00:03:10.240 --> 00:03:12.240]  是美好的
[00:03:12.240 --> 00:03:14.240]  是與別不同的
[00:03:14.240 --> 00:03:16.240]  是新人類
[00:03:16.240 --> 00:03:19.240]  蒙福的意思就是令人羨慕
[00:03:19.240 --> 00:03:21.240]  九龍城浸信會的弟兄姊妹
[00:03:21.240 --> 00:03:22.240]  你的生活
[00:03:22.240 --> 00:03:24.240]  你的行事為人
[00:03:24.240 --> 00:03:28.240]  你能不能成為別人的羨慕呢?
[00:03:28.240 --> 00:03:29.240]  別人見到你的時候
[00:03:29.240 --> 00:03:32.240]  我很喜歡信耶穌
[00:03:32.240 --> 00:03:34.240]  我很喜歡參加教會聚會
[00:03:34.240 --> 00:03:37.240]  因為有你
[00:03:37.240 --> 00:03:40.240]  有你帶我去到耶穌基督面前
[00:03:40.240 --> 00:03:44.240]  因為我在你身上見到耶穌基督
[00:03:44.240 --> 00:03:46.240]  多麼美好
[00:03:46.240 --> 00:03:48.240]  能夠讓別人
[00:03:48.240 --> 00:03:49.240]  還有未信的朋友
[00:03:49.240 --> 00:03:52.240]  從我們身上認識耶穌基督
[00:03:52.240 --> 00:03:53.240]  是多麼美好
[00:03:53.240 --> 00:03:57.240]  因為我們是初熟的果子
[00:03:57.240 --> 00:03:59.240]  是屬於耶穌基督的
[00:03:59.240 --> 00:04:02.240]  是教會
[00:04:02.240 --> 00:04:05.240]  所以五百年前
[00:04:05.240 --> 00:04:07.240]  將人的意思
[00:04:07.240 --> 00:04:10.240]  來到扭轉
[00:04:10.240 --> 00:04:13.240]  向神
[00:04:13.240 --> 00:04:15.240]  因為昔日的教會
[00:04:15.240 --> 00:04:18.240]  是著重人的權勢
[00:04:18.240 --> 00:04:19.240]  昔日的教會
[00:04:19.240 --> 00:04:22.240]  著重醫學的錢財
[00:04:22.240 --> 00:04:23.240]  昔日的教會
[00:04:23.240 --> 00:04:26.240]  是著重膜拜偶像
[00:04:26.240 --> 00:04:28.240]  大家很驚奇
[00:04:28.240 --> 00:04:30.240]  原來五百年前
[00:04:30.240 --> 00:04:32.240]  在教會裡面發生這樣的事情
[00:04:32.240 --> 00:04:35.240]  今天我們說的是聖經
[00:04:35.240 --> 00:04:38.240]  我們高舉的是神的話
[00:04:38.240 --> 00:04:40.240]  我們高舉的是耶穌基督
[00:04:40.240 --> 00:04:43.240]  我們高舉的是神的恩典
[00:04:43.240 --> 00:04:48.240]  我們高舉的是神給我們的信心
[00:04:48.240 --> 00:04:51.240]  是何等的重要
[00:04:51.240 --> 00:04:53.240]  因為我們都知道
[00:04:53.240 --> 00:04:56.240]  如果我們脫離了聖經的話
[00:04:56.240 --> 00:04:58.240]  脫離了聖經的話
[00:04:58.240 --> 00:05:01.240]  我們就是無始放的
[00:05:01.240 --> 00:05:05.240]  我們只是做自己想做的事情
[00:05:05.240 --> 00:05:10.240]  就好像我們畫一條直線
[00:05:10.240 --> 00:05:12.240]  大家都畫過直線
[00:05:12.240 --> 00:05:13.240]  用筆用間尺
[00:05:13.240 --> 00:05:17.240]  用一把直的間尺來畫
[00:05:17.240 --> 00:05:21.240]  我們試試畫
[00:05:21.240 --> 00:05:23.240]  這是不是直線
[00:05:23.240 --> 00:05:26.240]  直不直
[00:05:26.240 --> 00:05:27.240]  直不直
[00:05:27.240 --> 00:05:28.240]  這是直線
[00:05:28.240 --> 00:05:32.240]  電腦出來的一定是直的
[00:05:32.240 --> 00:05:35.240]  你說這是公認的直線
[00:05:35.240 --> 00:05:38.240]  很多時候我們說是公認的
[00:05:38.240 --> 00:05:41.240]  就是說我們大家約定俗成
[00:05:41.240 --> 00:05:43.240]  我們大家都接納這條直線
[00:05:43.240 --> 00:05:45.240]  這樣就直線了
[00:05:45.240 --> 00:05:50.240]  但心裡面可能也不是很直
[00:05:50.240 --> 00:05:51.240]  這個不是我手畫的
[00:05:51.240 --> 00:05:52.240]  是電腦畫的
[00:05:52.240 --> 00:05:56.240]  但我們說我們去衡量評估
[00:05:56.240 --> 00:05:57.240]  神的事情
[00:05:57.240 --> 00:05:58.240]  教會的生活
[00:05:58.240 --> 00:06:00.240]  我們的行事為人
[00:06:00.240 --> 00:06:02.240]  怎樣去量度
