
[00:00:00.000 --> 00:00:10.000]  道成了肉身, 住在我們中間, 匆匆滿滿地有恩典, 有真理。
[00:00:10.000 --> 00:00:18.000]  我們也見過他的榮光, 正是父獨一兒子的榮光。
[00:00:18.000 --> 00:00:28.000]  中雪節的週末, 默想耶穌進入聖城耶路撒冷, 開始祂在地上的最後一週。
[00:00:28.000 --> 00:00:37.000]  祂究竟為何而來? 什麼叫做「恩典」? 什麼叫做「榮耀」?
[00:00:37.000 --> 00:00:44.000]  歡迎大家來到我們的週六重拜。
[00:00:44.000 --> 00:00:52.000]  感恩讚美救主, 榮耀歸於真神。
[00:00:52.000 --> 00:00:58.000]  不知大家在教會內外, 有沒有聽過類似的語句?
[00:00:58.000 --> 00:01:04.000]  如果有的話, 這兩句說話一般又是在什麼場景之下出現呢?
[00:01:04.000 --> 00:01:11.000]  作為一個牧師, 我手機裏面有很多很多不同的WhatsApp群組,
[00:01:11.000 --> 00:01:18.000]  團契的群組, 執事的群組, 牧師的群組, 區會的群組。
[00:01:18.000 --> 00:01:24.000]  類似的語句, 其實經常都出現。
[00:01:24.000 --> 00:01:30.000]  情況通常是這樣, 突如其來的困難。
[00:01:30.000 --> 00:01:38.000]  疾病恐慌感到無助, 甚至是生死之間的一個搏鬥。
[00:01:38.000 --> 00:01:49.000]  而就在這個奄奄一息之間, 弟兄姊妹的切的禱告, 上帝神蹟般的結局,
[00:01:49.000 --> 00:01:55.000]  上帝榮耀的彰顯, 我們在美國的時候有一個諺語,
[00:01:55.000 --> 00:01:59.000]  那些鬼佬牧師最喜歡說 "God shows up".
[00:01:59.000 --> 00:02:07.000]  上帝終於來了, 上帝出現了, 於是行了一個偉大的神蹟。
[00:02:07.000 --> 00:02:14.000]  所謂的恩典就是神蹟其事, 所謂的榮耀就是上帝的大能。
[00:02:14.000 --> 00:02:21.000]  就好像耶穌拯救拉撒路的故事, 一點都沒有錯。
[00:02:21.000 --> 00:02:29.000]  感恩讚美救主, 榮耀歸於真神, 正是拉撒路故事的縮影。
[00:02:29.000 --> 00:02:36.000]  不過這兩句話, 不單止是適用於拉撒路的故事,
[00:02:36.000 --> 00:02:46.000]  他們也是《約翰福音》第一章《道成玉身》, 這個福音序幕神學上叫做 Prologue。
[00:02:46.000 --> 00:02:54.000]  第一章《約翰福音》的蓋要, 《約翰福音》第一章第十四節,
[00:02:54.000 --> 00:03:00.000]  道成了玉身, 住在我們中間, 匆匆滿滿地, 有恩典有真理。
[00:03:00.000 --> 00:03:05.000]  我們也見過他的榮光, 正是父獨一兒子的榮光。
[00:03:05.000 --> 00:03:15.000]  第十八節, 從他的豐富裡, 我們都領受了恩典, 而且欣賞家人。
[00:03:15.000 --> 00:03:22.000]  上帝奇妙的恩典, 上帝榮耀的大能, 改變了人的生命,
[00:03:22.000 --> 00:03:28.000]  改變了人類的歷史, 讓你和我可以走上豐盛的人生。
[00:03:28.000 --> 00:03:40.000]  正如耶穌在《約翰福音》第十章第十節這樣說, 我來是要我的羊得到生命, 並且得得更豐盛。
[00:03:40.000 --> 00:03:49.000]  我想帶你回到邵豪約翰寫作的年代, 時間是公元九十幾年,
[00:03:49.000 --> 00:03:55.000]  地點是愛琴海上一個希臘小島叫做拔摩。
[00:03:55.000 --> 00:04:10.000]  距離主耶穌基督受死復活已經有六十年的歲月, 曾幾何時基督教的信仰被猶太人所排斥, 被羅馬人所拒絕。
[00:04:10.000 --> 00:04:23.000]  不過感謝上帝經過多年的努力, 基督福音的宣講, 神職歧視的明正, 上帝的大愛, 信仰的好處, 生命的豐盛。
[00:04:23.000 --> 00:04:33.000]  在猶太人和羅馬人之間已經被廣泛的接受, 邵豪約翰再不需要逃命。
[00:04:33.000 --> 00:04:41.000]  過去五年約翰已經退休, 隱居在拔摩島上的世外桃源。
[00:04:41.000 --> 00:04:55.000]  他一直在專心撮寫他畢生人的巨著傑作, 就是第四本福音書, 他要完成上帝給他的扶托, 就是完成這本《聖經》。
[00:04:55.000 --> 00:05:04.000]  他寫第四本福音是恩典榮耀的基督福音, 這個是他福音書的主題, 恩典和榮耀。
[00:05:04.000 --> 00:05:15.000]  他要更多的人認識上帝經歷耶穌, 得著耶穌的恩典, 得享耶穌的榮耀。
[00:05:15.000 --> 00:05:34.000]  在約翰福音印刷成書的當日, 剛好是老約翰八十五歲的生日, 他的眾門生商約來到拔摩島, 給他一個生日的驚喜。
[00:05:34.000 --> 00:05:49.000]  當時鼎鼎大名超級教會的名目, 他在書上親筆提字寫上感恩讚美救主, 榮耀歸於真神。
[00:05:49.000 --> 00:06:06.000]  親愛的親戚朋友,弟兄姊妹, 你願不願意跟隨這個耶穌, 得享如此豐盛的人生, 滿有上帝的恩典和榮耀呢?
[00:06:06.000 --> 00:06:20.000]  說到這裏, 我想, 我不知道有沒有人感動, 甚至有一種衝動, 要衝上台, 掌摑我兩巴掌, 叫我醒一醒。
[00:06:20.000 --> 00:06:32.000]  沒錯, 我剛才所說的一切東西, 完全是是非, 顛倒, 一派胡言, 是一個大大的騙局。
[00:06:32.000 --> 00:06:44.000]  然而今日卻有很多的基督徒, 甘願上當曲解上帝的恩典和榮耀。
[00:06:44.000 --> 00:06:59.000]  耶穌基督受死復活後的六十年, 基督的福音不單止沒有廣泛被接受, 而且被人看為愚絕, 厭煩, 不合時宜。
[00:06:59.000 --> 00:07:17.000]  你記得保羅在哥倫多前書第一章怎說, 他說:「猶太人要的是神蹟, 希律人要的求的是智慧, 我們卻全十字架的基督, 在猶太人為半腳石, 在外邦人為愚絕。」
[00:07:17.000 --> 00:07:25.000]  拔摩島不是什麼世外桃源, 而是老使徒約翰被放逐的地方。
[00:07:25.000 --> 00:07:39.000]  大弟子玻利卡也不是什麼成功的牧師, 卻是上帝忠心的僕人, 後來為福音的緣故獻上他的生命。
[00:07:39.000 --> 00:07:52.000]  被綁在柱上, 被火燃燒, 被刀刺入, 大量的血湧出, 連火焰都熄滅。
[00:07:52.000 --> 00:08:07.000]  縱然如此, 感恩讚美救主, 榮耀歸於上帝真神, 真是約翰寫福音書的心聲。
[00:08:07.000 --> 00:08:16.000]  背景迫使我們再問自己, 到底什麼是恩典, 到底什麼是榮耀。
[00:08:16.000 --> 00:08:25.000]  約翰福音第一章第十四節: 道成了肉身, 處在我們中間, 匆匆滿滿地有恩典, 有真理。
[00:08:25.000 --> 00:08:31.000]  我們也看見過他的榮光, 正是父獨一兒子的榮光。
[00:08:31.000 --> 00:08:39.000]  從他的豐富裡, 我們都領受了恩典, 而且恩上加恩。
[00:08:39.000 --> 00:08:51.000]  這兩節聖經應該如何去明白? 約翰用了一個舊約的圖畫, 去形容上帝恩典榮光的臨在。
[00:08:51.000 --> 00:08:56.000]  他說道成了肉身, 處在我們當中。
[00:08:56.000 --> 00:09:02.000]  一個更好的翻譯應該是: 帳幕在我們當中。
[00:09:02.000 --> 00:09:12.000]  他帶我們回到出埃及記中 上帝的帳幕, Tabernacle, 上帝帳幕在人中。
[00:09:12.000 --> 00:09:15.000]  道成了肉身, 帳幕在人中。
[00:09:15.000 --> 00:09:21.000]  而這個帳幕後來又成為 君王時代裡所聞的聖典。
[00:09:21.000 --> 00:09:29.000]  一想起帳幕聖典的榮光, 猶太的讀者很自然會想起兩段聖經。
[00:09:29.000 --> 00:09:35.000]  第一段是出埃及記第四十章, 最後的尾聲, 整本書的高峰。
[00:09:35.000 --> 00:09:39.000]  那個帳幕終於完成了。
[00:09:39.000 --> 00:09:50.000]  那時出埃及記第四十章, 第三十四節, 雲彩遮蓋帳幕, 耶和華的榮光充滿了帳幕。
[00:09:50.000 --> 00:09:58.000]  我世不能盡, 雲彩停在其上, 耶和華的榮光充滿了帳幕。
[00:09:58.000 --> 00:10:03.000]  一方面, 上帝的降臨確實令人興奮。
[00:10:03.000 --> 00:10:11.000]  但另一方面, 上帝的榮光使凡人, 甚至神人摩西都卻步, 進不去。
[00:10:11.000 --> 00:10:18.000]  亦都令我們想起, 在出埃及記第三十三章時, 摩西曾經問上帝,
[00:10:18.000 --> 00:10:21.000]  他說, 顯出你的榮耀給我看。
[00:10:21.000 --> 00:10:24.000]  摩西想見上帝的榮耀, 上帝的回答是,
[00:10:24.000 --> 00:10:29.000]  你不能看見我的面, 因為你看見我的面, 你必然會死。
[00:10:29.000 --> 00:10:35.000]  上帝的榮耀對我們, 是一種極大的威脅。
[00:10:35.000 --> 00:10:44.000]  若在出埃及記第四十章不清楚, 去到二賽亞書第六章, 就非常清晰的明確。
[00:10:44.000 --> 00:10:52.000]  上帝的榮耀在祂的聖殿中彰顯, 我看見主坐在高高的寶座上。
[00:10:52.000 --> 00:10:59.000]  祂的衣裳下, 擺遮滿整個聖殿。
[00:10:59.000 --> 00:11:04.000]  聖災聖災聖災耶和華, 萬鈞之耶和華。
[00:11:04.000 --> 00:11:12.000]  祂的榮光, 普照遍滿全地。
[00:11:12.000 --> 00:11:23.000]  如果你熟悉這個故事的時候, 你記得中間有一些天使, 上面有基督徒, 他們有六個翅膀,
[00:11:23.000 --> 00:11:29.000]  兩個遮住自己的臉, 兩個遮住自己的腳, 兩個在飛翔。
[00:11:29.000 --> 00:11:35.000]  連天使超自然的生物, 都不敢注視上帝的榮光。
[00:11:35.000 --> 00:11:40.000]  聖災聖災聖災, 三次的聖災。
[00:11:40.000 --> 00:11:45.000]  毫無瑕疵聖潔的上帝。
[00:11:45.000 --> 00:11:51.000]  令到以塞亞當時有一個回應, 以塞亞是誰?
[00:11:51.000 --> 00:11:54.000]  他是上帝的忠心的僕人, 他是一個先知。
[00:11:54.000 --> 00:12:01.000]  然而在那一刻, 以塞亞的回應是, 禍災我滅亡了。
[00:12:01.000 --> 00:12:09.000]  我是一個罪人, 我有個不潔的嘴唇, 我活在不潔的盟當中。
[00:12:09.000 --> 00:12:16.000]  你試想一下, 上帝成為了肉身, 障盤於人間。
[00:12:16.000 --> 00:12:26.000]  其實是一種降臨入侵罪人的世界, 好像有些外星人來到地球上,
[00:12:26.000 --> 00:12:32.000]  他要攻擊上帝的榮光, 對於人是一種極大的威脅。
[00:12:32.000 --> 00:12:38.000]  聖潔榮光遍滿全地, 誰能承擔呢?
[00:12:38.000 --> 00:12:50.000]  誰可以擋得住上帝聖潔的榮光呢? 究竟恩典憐憫從何而來?
[00:12:50.000 --> 00:12:58.000]  所以當我們開始讀回約翰福音的 Prologue, 他的罪的時候,
[00:12:58.000 --> 00:13:04.000]  約翰給了我們一個謎語。
[00:13:04.000 --> 00:13:12.000]  他的謎語是這樣的, 他說: 上帝到成為了肉身, 住在我們當中。
[00:13:12.000 --> 00:13:18.000]  我們自己親眼看見他的榮光, 你應該死了。
[00:13:18.000 --> 00:13:24.000]  摩西沒有辦法見上帝的榮光, 見到會死人的。
