
[00:00:00.000 --> 00:00:04.040]  好 今年四月的時候
[00:00:04.040 --> 00:00:08.740]  有兩個頂姐妹分別來跟我說
[00:00:08.740 --> 00:00:13.200]  喂 你覺不覺得自己手震得很厲害
[00:00:13.200 --> 00:00:16.460]  我說 是嗎 我不覺得
[00:00:16.460 --> 00:00:19.800]  其中一個醫護的姐妹就說
[00:00:19.800 --> 00:00:21.800]  不如你去驗一下血
[00:00:21.800 --> 00:00:24.400]  我覺得你甲狀腺可能有問題
[00:00:24.400 --> 00:00:30.300]  只是一下就知道問題了 多厲害
[00:00:30.300 --> 00:00:32.300]  我真的去驗血
[00:00:32.300 --> 00:00:37.600]  驗出來比正常超出幾十倍
[00:00:37.600 --> 00:00:40.100]  然後GP就很緊張
[00:00:40.100 --> 00:00:44.100]  那個星期就接近每天都叫我去見他們
[00:00:44.100 --> 00:00:47.100]  但每天都說那幾句話
[00:00:47.100 --> 00:00:50.600]  我轉介你去專科
[00:00:50.600 --> 00:00:52.600]  為何他們那麼緊張呢
[00:00:52.600 --> 00:00:58.600]  原來這個病最終如果不治療的話
[00:00:58.600 --> 00:01:02.600]  會引致心臟衰竭死亡
[00:01:02.600 --> 00:01:08.600]  甲狀腺是身體一個很小的部分
[00:01:08.600 --> 00:01:11.100]  原來可以影響那麼大
[00:01:11.100 --> 00:01:16.600]  影響賀爾蒙 影響能量 影響身體的平衡
[00:01:16.600 --> 00:01:19.600]  我記得有一次五月的時候
[00:01:19.600 --> 00:01:23.600]  Benny牧師放假 我代他主持聖餐
[00:01:23.600 --> 00:01:28.600]  其實那次我拿著聖餐杯不停地在顫抖
[00:01:28.600 --> 00:01:33.600]  樓下的弟兄姊妹就以為我被聖靈感動
[00:01:33.600 --> 00:01:35.600]  所以在顫抖 其實我是手在顫抖
[00:01:35.600 --> 00:01:39.600]  我那一刻就想 大家趕快喝掉它
[00:01:39.600 --> 00:01:41.600]  不然我怕我打蛇
[00:01:41.600 --> 00:01:45.600]  那個影響原來是大得很厲害
[00:01:45.600 --> 00:01:48.600]  但感謝主 我這個星期再去驗血
[00:01:48.600 --> 00:01:51.600]  指數已經回到正常
[00:01:51.600 --> 00:01:54.600]  差0.1就回到正常
[00:01:54.600 --> 00:02:02.600]  整個身體都受著這部分不舒服的影響
[00:02:02.600 --> 00:02:07.600]  影響著情緒 影響著體力 影響著精神
[00:02:07.600 --> 00:02:10.600]  這個經歷令我深深體會到
[00:02:10.600 --> 00:02:15.600]  一個很小的部分都可以影響整個身體
[00:02:15.600 --> 00:02:17.600]  是不可或缺的
[00:02:17.600 --> 00:02:22.600]  上次我和大家分享《已忽所書》四章一至六節
[00:02:22.600 --> 00:02:26.600]  保羅提醒我們要行事為人
[00:02:26.600 --> 00:02:28.600]  和蒙召的恩相稱
[00:02:28.600 --> 00:02:30.600]  用謙卑 溫柔 忍耐
[00:02:30.600 --> 00:02:34.600]  去保守聖靈賜給我們合一的心
[00:02:34.600 --> 00:02:37.600]  因為我們得救是同一個主
[00:02:37.600 --> 00:02:41.600]  同一個信仰 同一個洗禮 同一個神
[00:02:41.600 --> 00:02:47.600]  今天我想繼續和大家看四章七至十六節
[00:02:47.600 --> 00:02:52.600]  保羅進一步教我們在合一的基礎裏
[00:02:52.600 --> 00:02:56.600]  在耶穌基督的身體裏
[00:02:56.600 --> 00:03:03.600]  我們怎樣去體會耶穌賜給我們每一個人的恩賜
[00:03:03.600 --> 00:03:06.600]  以致我們互相配搭彼此建立
[00:03:06.600 --> 00:03:09.600]  就好像一個身體不同的器官一樣
[00:03:09.600 --> 00:03:12.600]  各有功能不可或缺
[00:03:12.600 --> 00:03:20.600]  所以我今天讓主題叫「在基督裏,你的位置不可或缺」
[00:03:20.600 --> 00:03:24.600]  願意我們一同去思想 一同去學習
[00:03:24.600 --> 00:03:25.600]  我們一起祈禱
[00:03:25.600 --> 00:03:28.600]  主求你在裏面幫助我們
[00:03:28.600 --> 00:03:33.600]  我們很需要你的話語去提醒我們 去鼓勵我們
[00:03:33.600 --> 00:03:35.600]  求你指教我們
[00:03:35.600 --> 00:03:37.600]  在耶穌基督的身體裏
[00:03:37.600 --> 00:03:40.600]  我們每一個人怎樣去參與是其中
[00:03:40.600 --> 00:03:42.600]  主求你去看顧引領
[00:03:42.600 --> 00:03:43.600]  我們將到禱告交托
[00:03:43.600 --> 00:03:45.600]  奉主明求 阿們
[00:03:45.600 --> 00:03:49.600]  好 不如我們先一起讀下這十節經文
[00:03:49.600 --> 00:03:54.600]  我想姊妹先讀單節
[00:03:54.600 --> 00:03:55.600]  弟兄讀雙節
[00:03:55.600 --> 00:03:57.600]  我們讀完這十節經文
[00:03:57.600 --> 00:04:00.600]  姊妹準備 1 2 3
[00:04:00.600 --> 00:04:07.600]  我們各人蒙恩,都是照基督所量給各人的恩賜。
[00:04:07.600 --> 00:04:11.600]  所以經承説,他升上高天的時候,
[00:04:11.600 --> 00:04:16.600]  共會有求敵,將各人的神賜上給他。
[00:04:16.600 --> 00:04:21.600]  既說升上,豈不是先降在上嗎?
[00:04:21.600 --> 00:04:27.600]  那降馬的,就是以聖主之賜上的宗馬有力。
[00:04:27.600 --> 00:04:34.600]  他所賜的,有使徒,有先知,有傳福音的,有牧師和教師。
[00:04:34.600 --> 00:04:39.600]  我們要成全聖徒,博傳奇蹟,建立基督的身體。
[00:04:39.600 --> 00:04:46.600]  直等到我們眾人在真道上同歸於一,認識上帝的兒子,
[00:04:46.600 --> 00:04:51.600]  得以長大成人,滿有基督的新娘。
[00:04:51.600 --> 00:04:57.600]  鮮活不再作小孩子,忠義為繼和欺騙的法術,
[00:04:57.600 --> 00:05:04.600]  混於一切的不可抵抗的言論,飄來飄去,掌握我們的意念。
[00:05:04.600 --> 00:05:10.600]  唯用愛心說誠實話,凡事長進,憐於元首基督。
[00:05:10.600 --> 00:05:15.600]  全身都靠他聯絡的合夥者,百姓共同的同情者,
[00:05:15.600 --> 00:05:23.600]  朝日共聚,誓死共聚,彼此相聚。願聖體漸漸增長,在愛中紀念自己。
[00:05:45.600 --> 00:05:49.600]  主持人:在此之前,我們要重溫一節,
[00:05:49.600 --> 00:06:01.600]  「從前面四章一至六節強調教會合一之後,轉向個人恩賜的多樣性」。
[00:06:01.600 --> 00:06:06.600]  保羅在原文中是用「但是」作為轉接,
[00:06:06.600 --> 00:06:12.600]  在合一的信仰中,每一位信徒都領受了獨特的恩賜,
[00:06:12.600 --> 00:06:15.600]  這不是矛盾,而是神的智慧。
[00:06:15.600 --> 00:06:20.600]  在合一中創造多樣,在多樣中維持合一,
[00:06:20.600 --> 00:06:28.600]  使教會像一個身體般,各肢體不同,但能夠彼此依存。
[00:06:28.600 --> 00:06:36.600]  而他說的「恩」,不是指自然的能力,而是與舊恩相連的屬靈恩賜,
[00:06:36.600 --> 00:06:41.600]  是基督升天後賜給我們一個屬天的資源。
[00:06:41.600 --> 00:06:50.600]  他不是按個人的表現或偏好去分配,而是他親自量給我們。
[00:06:50.600 --> 00:07:00.600]  這是一個主權性的動作,顯示了上帝對每個信徒獨特的計劃和呼召。
[00:07:00.600 --> 00:07:04.600]  和收本將「個人」翻譯成「每個人」,
[00:07:04.600 --> 00:07:10.600]  更加清楚強調這是每一位信徒的經歷,不是少數人的特權。
[00:07:10.600 --> 00:07:18.600]  因此不是精英主義,不是精英的象徵,而是整間教會的屬靈資產。
[00:07:18.600 --> 00:07:23.600]  就好像剛才我們念回應詩的時候,
[00:07:23.600 --> 00:07:27.600]  差一支咪高峰,然後我們就立刻問有沒有多一支咪高峰,
[00:07:27.600 --> 00:07:31.600]  然後阿Keef就在一分鐘之內拿到一支咪高峰出來,
[00:07:31.600 --> 00:07:35.600]  其實給我,我一定不知道怎樣去調整咪高峰,
[00:07:35.600 --> 00:07:39.600]  所以阿Keef你是我們屬靈的資產來的。
[00:07:39.600 --> 00:07:46.600]  這段經文提醒我們,你不是偶然出現在教會裏面,
[00:07:46.600 --> 00:07:49.600]  你不是可有可無的存在,
[00:07:49.600 --> 00:07:55.600]  你是被基督親自揀選、裝備、拆牌的器皿。
[00:07:55.600 --> 00:08:01.600]  而去到第八節,保羅更加引用詩篇68篇18節,
[00:08:01.600 --> 00:08:07.600]  原文描述著神海船歸來,領受了供物。
[00:08:07.600 --> 00:08:15.600]  保羅在這裏重新詮釋,將受了貢獻改為賞賜恩賜,
[00:08:15.600 --> 00:08:21.600]  表明基督升天之後,祂不單單是一個得勝者,
[00:08:21.600 --> 00:08:26.600]  祂更加是一個拆牌者,祂將屬靈恩賜分給教會,
[00:08:26.600 --> 00:08:30.600]  使信徒能夠參與在神的使命裏面。
[00:08:30.600 --> 00:08:39.600]  而第九至第十節進一步解釋,「他既升上,豈不是也曾降下」這段說話,
[00:08:39.600 --> 00:08:43.600]  揭示了基督的降卑和升高。
[00:08:43.600 --> 00:08:47.600]  耶穌基督降世為人,死在十字架上,
[00:08:47.600 --> 00:08:52.600]  下到陰間,然後升上高天,超越萬有。
[00:08:52.600 --> 00:08:59.600]  這不單單是一個救贖的完成,更加是一個恩賜的起點,
[00:08:59.600 --> 00:09:04.600]  祂升天的目的之一就是要充滿萬有,
[00:09:04.600 --> 00:09:08.600]  將屬靈的資源分給祂的身體。
[00:09:08.600 --> 00:09:15.600]  所以來到這裏,頂尖我們要去思想,
[00:09:15.600 --> 00:09:19.600]  我們怎樣去活出蒙恩的身份。
[00:09:19.600 --> 00:09:25.600]  我們要相信我們是被揀選的器皿,
[00:09:25.600 --> 00:09:28.600]  很多人覺得自己在教會沒有什麼用,
[00:09:28.600 --> 00:09:32.600]  或只是某些人才是有才幹的人,
[00:09:32.600 --> 00:09:35.600]  那些人去做就可以了。
[00:09:35.600 --> 00:09:40.600]  但這段經文打破了這個錯誤的想法,
[00:09:40.600 --> 00:09:42.600]  這段經文提醒我們,
[00:09:42.600 --> 00:09:46.600]  每個信徒都是基督親自揀選,
[00:09:46.600 --> 00:09:48.600]  都是有屬靈恩賜的,
[00:09:48.600 --> 00:09:51.600]  所以鼓勵大家用信心宣告,
[00:09:51.600 --> 00:09:54.600]  我是被神揀選的器皿,
[00:09:54.600 --> 00:09:57.600]  不再自卑,不再和人比較,
[00:09:57.600 --> 00:10:02.600]  而是進入神為我們預備的角色裏面。
[00:10:02.600 --> 00:10:10.600]  其次,我們要有意識去尋求和運用我們的恩賜。
[00:10:10.600 --> 00:10:12.600]  有些人知道自己有恩賜,
[00:10:12.600 --> 00:10:15.600]  知道自己在哪方面有恩賜,
[00:10:15.600 --> 00:10:18.600]  但從來都不去尋求,也不去用,
[00:10:18.600 --> 00:10:21.600]  可能就是因為害羞,
[00:10:21.600 --> 00:10:25.600]  也可能就是因為覺得我生活已經很忙碌了,
[00:10:25.600 --> 00:10:27.600]  我星期六日只是想休息一下,
[00:10:27.600 --> 00:10:30.600]  或者不知道怎樣去用。
[00:10:30.600 --> 00:10:32.600]  但這段經文提醒我們,
[00:10:32.600 --> 00:10:35.600]  我們要主動尋求神的心意,
[00:10:35.600 --> 00:10:39.600]  我們要去參與教會的服事,
[00:10:39.600 --> 00:10:45.600]  去找清自己的恩賜在哪方面被神使用。
[00:10:45.600 --> 00:10:50.600]  還有就是為教會建造獻上自己,
[00:10:50.600 --> 00:10:53.600]  有些人來教會只是想領受,
[00:10:53.600 --> 00:10:58.600]  但神的心意是要我們參與建造的工程裏面。
[00:10:58.600 --> 00:11:00.600]  所以這段經文也提醒我們,
[00:11:00.600 --> 00:11:05.600]  教會,今天你們在這裏不是一個觀眾席,
[00:11:05.600 --> 00:11:09.600]  而是教會是一個屬靈的工場,
[00:11:09.600 --> 00:11:12.600]  我們一起去建立這間教會。
[00:11:12.600 --> 00:11:14.600]  所以鼓勵大家,
[00:11:14.600 --> 00:11:20.600]  如果你真的知道自己可以在哪方面去參與的時候,
[00:11:20.600 --> 00:11:23.600]  就跟主說,我願意。
[00:11:23.600 --> 00:11:26.600]  我初信教會的時候,
[00:11:26.600 --> 00:11:28.600]  我都去學習,
[00:11:28.600 --> 00:11:33.600]  就是我可以在哪方面去侍奉主呢?
[00:11:33.600 --> 00:11:37.600]  大家猜猜我第一個侍奉是做什麼?
[00:11:37.600 --> 00:11:40.600]  你們儘管在位置上喊出來。
[00:11:40.600 --> 00:11:43.600]  剛才早堂是沒有人猜到的。
[00:11:43.600 --> 00:11:47.600]  青少年,有人說青少年,不是。
[00:11:47.600 --> 00:11:51.600]  私事,私事通常是入門,都不是。
[00:11:51.600 --> 00:11:53.600]  我沒有去做私事。
[00:11:53.600 --> 00:11:55.600]  還有沒有其他人猜到?
[00:11:55.600 --> 00:11:58.600]  小朋友,都不是。
[00:11:58.600 --> 00:12:01.600]  C班,也都不是。
[00:12:01.600 --> 00:12:02.600]  好,我開估了。
[00:12:02.600 --> 00:12:07.600]  我第一個侍奉就是在教會負責做圖書組。
[00:12:07.600 --> 00:12:09.600]  圖書組做什麼呢?
[00:12:09.600 --> 00:12:13.600]  就是管理教會圖書的記錄,
[00:12:13.600 --> 00:12:18.600]  買一些新書回來,然後編號,然後包了它。
[00:12:18.600 --> 00:12:22.600]  最重要的是,這些事務性的東西,我都很喜歡的。
[00:12:22.600 --> 00:12:26.600]  最重要的是,我看完一本書,
[00:12:26.600 --> 00:12:29.600]  我可以跟弟兄姊妹分享,
[00:12:29.600 --> 00:12:32.600]  為什麼我這麼喜歡這本書,
[00:12:32.600 --> 00:12:36.600]  就去推介給弟兄姊妹一起去買。
[00:12:36.600 --> 00:12:40.600]  這個過程,我覺得很棒。
[00:12:40.600 --> 00:12:46.600]  我可以,雖然我那時候不是一個傳達人,
[00:12:46.600 --> 00:12:49.600]  但是我可以透過那個作者的分享,
[00:12:49.600 --> 00:12:52.600]  去跟弟兄姊妹分享,神是多麼美好。
[00:12:52.600 --> 00:12:56.600]  所以我就,一做圖書組的人,
[00:12:56.600 --> 00:12:58.600]  就做到我入神學院之前,
[00:12:58.600 --> 00:13:02.600]  但當然我之後還有其他的服事的。
[00:13:02.600 --> 00:13:06.600]  後來,教會因為每個禮拜都要插花的,
[00:13:06.600 --> 00:13:08.600]  但是又不夠人插,
[00:13:08.600 --> 00:13:11.600]  在我做圖書組的過程中,
[00:13:11.600 --> 00:13:16.600]  發現有一本書是講52個禮拜怎樣插花。
[00:13:16.600 --> 00:13:19.600]  我就說,那我去插吧。
[00:13:19.600 --> 00:13:22.600]  我一插,又插了幾年。
[00:13:22.600 --> 00:13:25.600]  但是我分得很清楚,
[00:13:25.600 --> 00:13:28.600]  因為不夠人,所以我去了插。
[00:13:28.600 --> 00:13:32.600]  如果有足夠的人手,我就不會搶著插。
[00:13:32.600 --> 00:13:38.600]  我們在過程中,我就體會,
[00:13:38.600 --> 00:13:42.600]  哪些東西是主給我的負擔,我的感動,
[00:13:42.600 --> 00:13:46.600]  就是我很喜歡透過圖書去祝福人。
[00:13:46.600 --> 00:13:49.600]  哪些東西是因為需要,
[00:13:49.600 --> 00:13:55.600]  所以我去頂奸,去頂著先。
[00:13:55.600 --> 00:14:00.600]  之後一直去認識主的時候,
[00:14:00.600 --> 00:14:04.600]  我發現主又給我在栽培上,
[00:14:04.600 --> 00:14:10.600]  我很喜歡幫助一些初信者成長,
[00:14:10.600 --> 00:14:14.600]  所以我就自修,因為沒有人幫我做栽培,
[00:14:14.600 --> 00:14:18.600]  我就自修怎樣去幫人做栽培,
[00:14:18.600 --> 00:14:21.600]  然後在教會如果有初信者,
[00:14:21.600 --> 00:14:24.600]  我又幫那些人做個人栽培。
[00:14:24.600 --> 00:14:29.600]  這些都是一直在我教會成長的過程中,
[00:14:29.600 --> 00:14:34.600]  我去體會主給我的那份感動。
[00:14:34.600 --> 00:14:37.600]  所以頂姐妹,你在教會裏面,
[00:14:37.600 --> 00:14:41.600]  可能你也有你的感動,有你的負擔。
[00:14:41.600 --> 00:14:47.600]  你在教會的位置是耶穌基督親自安排,
[00:14:47.600 --> 00:14:50.600]  當你能夠活出蒙恩身份的時候,
[00:14:50.600 --> 00:14:53.600]  你的生命不單是被建立,
[00:14:53.600 --> 00:14:56.600]  也能夠成為教會的祝福,
[00:14:56.600 --> 00:15:00.600]  和成為弟兄姊妹的祝福,求主幫助。
[00:15:00.600 --> 00:15:04.600]  第二點,在四章十一至十三節,
[00:15:04.600 --> 00:15:09.600]  我給他的主題是,你是教會的建造者,
[00:15:09.600 --> 00:15:14.600]  因此的目的是在於什麼呢?
[00:15:14.600 --> 00:15:17.600]  是在於自己?不是。
[00:15:17.600 --> 00:15:19.600]  保羅在這段經文說,
[00:15:19.600 --> 00:15:22.600]  因此的目的是在於成全別人。
[00:15:22.600 --> 00:15:27.600]  十一節他這樣說,他所賜的有使徒,
[00:15:27.600 --> 00:15:31.600]  有先知,有傳福音的,有牧師和教師。
[00:15:31.600 --> 00:15:35.600]  當我們明白自己是蒙恩的器皿之後,
[00:15:35.600 --> 00:15:37.600]  保羅接著就說,
[00:15:37.600 --> 00:15:41.600]  這一份恩賜不是個人的享受,
[00:15:41.600 --> 00:15:43.600]  是為了教會而建造。
[00:15:43.600 --> 00:15:45.600]  耶穌基督升天之後,
[00:15:45.600 --> 00:15:49.600]  他將各樣的職事賞賜給教會,
[00:15:49.600 --> 00:15:52.600]  目的就像十二節那樣說,
[00:15:52.600 --> 00:15:55.600]  要裝備聖徒做侍奉的工作,
[00:15:55.600 --> 00:15:57.600]  去建立基督的身體。
[00:15:57.600 --> 00:16:01.600]  十一節保羅列出四種的職事,
[00:16:01.600 --> 00:16:04.600]  當然教會不單單是這幾個職事,
[00:16:04.600 --> 00:16:08.600]  但他特別強調這四種職事,
[00:16:08.600 --> 00:16:12.600]  就是使徒,先知,傳福音,牧師和教師。
[00:16:12.600 --> 00:16:15.600]  你可能會說,不是,明明有五個職事,
[00:16:15.600 --> 00:16:17.600]  為什麼你說有四個呢?
[00:16:17.600 --> 00:16:24.600]  因為在原文,牧師和教師是在同一個貫詞底下,
[00:16:24.600 --> 00:16:27.600]  兩者是密不可分的。
[00:16:27.600 --> 00:16:29.600]  牧師必須是教師,
[00:16:29.600 --> 00:16:32.600]  肩負著教導和牧養的責任。
[00:16:32.600 --> 00:16:42.600]  而基督就是將這些職事送給教會,
