
[00:00:00.000 --> 00:00:05.000]  今天的經文就是菲勒比書第三章十三節到第十四節
[00:00:05.000 --> 00:00:09.000]  這一段經文是耳熟能詳的
[00:00:09.000 --> 00:00:13.000]  但是我也讀一篇給你們聽
[00:00:13.000 --> 00:00:18.000]  菲勒比書第三章第十三節和第十四節
[00:00:18.000 --> 00:00:19.000]  保羅這麼說
[00:00:19.000 --> 00:00:24.000]  他說:弟兄們,我不是以為自己已經得著
[00:00:25.000 --> 00:00:30.000]  我只有一件事就是忘記背後努力面前的
[00:00:30.000 --> 00:00:33.000]  向著標竿直跑
[00:00:33.000 --> 00:00:40.000]  要得神在基督耶穌裡從上面召我來得的賞賜
[00:00:40.000 --> 00:00:46.000]  每個人都有不同的過去
[00:00:46.000 --> 00:00:51.000]  有很多時候我們的過去會令我們遺憾
[00:00:51.000 --> 00:00:56.000]  有很多時候我們的過去會令我們內疚感
[00:00:56.000 --> 00:00:58.000]  甚至是羞恥
[00:00:58.000 --> 00:01:05.000]  令我們的人生很難前進
[00:01:05.000 --> 00:01:07.000]  舉個例子
[00:01:07.000 --> 00:01:12.000]  有一些年青時代失戀過
[00:01:12.000 --> 00:01:18.000]  可能一朝見蛇,十年見到那條繩都在爬
[00:01:19.000 --> 00:01:24.000]  所以影響了他交往的經驗
[00:01:24.000 --> 00:01:27.000]  或者那種意願
[00:01:27.000 --> 00:01:33.000]  甚至是一生人再不去找男朋友
[00:01:33.000 --> 00:01:35.000]  或者再不去找女朋友
[00:01:35.000 --> 00:01:39.000]  在這裡說個秘密給你們聽
[00:01:39.000 --> 00:01:41.000]  我追師母的時候
[00:01:41.000 --> 00:01:44.000]  被她拒絕了不下十次
[00:01:44.000 --> 00:01:50.000]  但幸好神比我的臉皮厚一點
[00:01:50.000 --> 00:01:54.000]  終於追到美人歸
[00:01:54.000 --> 00:01:58.000]  她其中一封想跟我分手的信
[00:01:58.000 --> 00:02:00.000]  我留到今天
[00:02:00.000 --> 00:02:08.000]  有很多時候小朋友吃魚,啃到骨
[00:02:08.000 --> 00:02:11.000]  以後他就不會吃魚了
[00:02:11.000 --> 00:02:17.000]  所以我們有很多過去的問題
[00:02:17.000 --> 00:02:19.000]  如果我們不處理好的時候
[00:02:19.000 --> 00:02:23.000]  是會陷入一個後悔之中
[00:02:23.000 --> 00:02:29.000]  後悔是會引致憂鬱
[00:02:29.000 --> 00:02:33.000]  憂鬱如果再處理不好的時候
[00:02:33.000 --> 00:02:41.000]  可能會選擇用結束自己的生命來做一個了斷
[00:02:41.000 --> 00:02:44.000]  因為很多時候
[00:02:44.000 --> 00:02:48.000]  有些人不能夠處理自己的內疚感
[00:02:48.000 --> 00:02:52.000]  以及那種羞恥的感覺
[00:02:52.000 --> 00:02:55.000]  有一個十八歲的年輕人
[00:02:55.000 --> 00:03:04.000]  他開始吸大麻,吃毒品
[00:03:04.000 --> 00:03:10.000]  開始令他的性格有些大變
[00:03:10.000 --> 00:03:12.000]  經常跟他母親說
[00:03:12.000 --> 00:03:15.000]  他想結束自己的生命
[00:03:15.000 --> 00:03:20.000]  當然他母親覺得年輕人,說說而已
[00:03:20.000 --> 00:03:22.000]  但有一天,週末星期六
[00:03:22.000 --> 00:03:26.000]  他跟他的小兒子出去辦一些事
[00:03:26.000 --> 00:03:31.000]  結束之後就出去買一些菜
[00:03:31.000 --> 00:03:35.000]  前後不過一個小時左右
[00:03:35.000 --> 00:03:38.000]  但當他母親回到家裡的時候
[00:03:38.000 --> 00:03:41.000]  去到他的墓地的時候
[00:03:41.000 --> 00:03:46.000]  就發覺他的兒子上吊死亡
[00:03:46.000 --> 00:03:52.000]  可能這個年輕人沒有辦法面對
[00:03:52.000 --> 00:03:56.000]  他自己的一些過去
[00:03:56.000 --> 00:04:04.000]  也有一位姊妹,他的家婆病危
[00:04:04.000 --> 00:04:09.000]  已經到了生命的盡頭
