
[00:00:00.000 --> 00:00:05.320]  在上個月中,倫敦有一座大廈大火
[00:00:05.320 --> 00:00:08.920]  消防員用了31個小時才救出
[00:00:08.920 --> 00:00:11.720]  至少有80個人死亡
[00:00:11.720 --> 00:00:15.520]  27層這麼高的大廈燒通頂
[00:00:15.520 --> 00:00:17.520]  燒到只剩下一個殼
[00:00:17.520 --> 00:00:21.440]  經過調查之後
[00:00:21.440 --> 00:00:26.000]  火災的原因可能是一個雪櫃起火
[00:00:26.000 --> 00:00:34.360]  在調查過程中,為何這場火會這麼迅速的蔓延
[00:00:34.360 --> 00:00:38.440]  原來上面是外牆翻新的時候
[00:00:38.440 --> 00:00:43.480]  用了一些保溫材料和外牆包層的建材
[00:00:43.480 --> 00:00:50.480]  原來通通都未能通過建築材料安全的測試
[00:00:50.480 --> 00:00:58.640]  而其中這個保溫的建材比起外面包層的建材更加容易著火
[00:00:58.640 --> 00:01:01.680]  是易燃的建材
[00:01:01.680 --> 00:01:03.480]  之後倫敦更加發現
[00:01:03.480 --> 00:01:09.440]  25個社區60棟樓的檢測都不達標
[00:01:09.440 --> 00:01:17.600]  在99年921台灣的7.6級大地震中
[00:01:17.600 --> 00:01:20.920]  有2400人死亡
[00:01:20.920 --> 00:01:25.280]  在這次地震中有很多樓都倒塌了
[00:01:25.280 --> 00:01:31.040]  而這些樓是用甚麼建材去做的呢
[00:01:31.040 --> 00:01:33.280]  真的令人非常震驚
[00:01:33.280 --> 00:01:39.760]  原來發現是用空的郵筒和報紙去做
[00:01:39.760 --> 00:01:43.760]  所以當時板橋地方檢察署的檢察官
[00:01:43.760 --> 00:01:48.680]  起訴了15個建築師和15個建築商
[00:01:48.680 --> 00:01:51.360]  豆腐渣工程
[00:01:51.360 --> 00:01:55.920]  當測試一來的時候是無所遁形
[00:01:55.920 --> 00:02:00.480]  火將他們燒盡了
[00:02:00.480 --> 00:02:02.560]  今天我們要和大家分享的經文是
[00:02:02.560 --> 00:02:05.800]  哥倫多前書三章十至十五節
[00:02:05.800 --> 00:02:08.600]  經得起考驗的建造
[00:02:08.600 --> 00:02:11.960]  讓我們來讀完這段經文
[00:02:11.960 --> 00:02:14.360]  我照神所給我的恩
[00:02:14.360 --> 00:02:16.880]  抱著一個聰明的公頭
[00:02:16.880 --> 00:02:18.440]  立好了根基
[00:02:18.440 --> 00:02:20.720]  有別人在上面建造
[00:02:20.720 --> 00:02:25.000]  只是各人要謹慎怎樣在上面建造
[00:02:25.000 --> 00:02:27.640]  因為那已經立好的根基
